Bulgarian	Russian	probability
<#	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_lʲ	1.0
<#_lʲ	<#_lʲ	1.0
<#_n	<#_n	1.0
<#_r	<#_r	1.0
<#_v	<#_v	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʒ	<#_ʐ	1.0
<#_ʧ	<#_ʨ	1.0
<#_ˈɔ	<#_ɐ	1.0
b	b	1.0
d	d	1.0
d_ˈi	dʲ_ˈi	1.0
f_#>	v_ɨ	1.0
j_ɐ	tʲ	1.0
k_#>	k_#>	1.0
lʲ_ˈa	lʲ_ˈe	1.0
m	mʲ	1.0
n	n	1.0
n_#>	nʲ_#>	1.0
o_#>	ə_#>	1.0
o_r	ɐ_r	1.0
p	pʲ	1.0
p_#>	p_#>	1.0
r_ˈa	ɐ_r	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
s_ɛ	sʲ_ɪ	1.0
vʲ_ˈa	vʲ_ˈe	1.0
x	x	1.0
ɐ_k_#>	kʲ	1.0
ɛ_l	ɪ_lʲ	1.0
ɛ_n	n_ɨ	1.0
ɡ	ɡ	1.0
ɫ	ɫ	1.0
ɫ_ˈa	ɫ_ˈo	1.0
ʃ	ʂ	1.0
ʦ	ʦ	1.0
ˈa_#>	ˈa_#>	1.0
ˈɔ	ˈo	1.0
ˈɔ_#>	ə	1.0
ˈɤ_r	ˈɵ_r	1.0
ˈɤ_ɫ	ˈo_ɫ	1.0
<#_t	<#_tʲ	0.571
r	r_ɨ	0.1
z	zʲ	0.571
ˈɛ	ˈa	0.111
t	tʲ	0.222
t_#>	t_#>	0.412
i	e_#>	0.333
i	-	0.333
i	ˈɨ	0.333
ɐ	ʊ	0.143
ɐ	ˈe	0.143
ɐ	-	0.143
ɐ	ˈo	0.143
ɐ_#>	tʲ	0.3
ˈi	ˈɨ	0.333
ˈɤ	ˈu	0.333
k	k	0.714
o	ɐ	0.714
s	s	0.714
ɐ	ə	0.214
ɐ	ɪ	0.214
ˈa	ə	0.154
ˈa	ɪ	0.154
<#_d	<#_dʲ	0.5
<#_d	<#_d	0.5
<#_m	<#_mʲ	0.375
<#_m	<#_m	0.625
<#_p	<#_p	0.5
<#_p	<#_pʲ	0.5
<#_s	<#_sʲ	0.375
<#_s	<#_s	0.625
r	rʲ	0.45
r	r	0.45
v	v	0.385
v	vʲ	0.615
ɫ_#>	ɫ_#>	0.25
ɫ_#>	lʲ_#>	0.375
ɫ_#>	ɫ_ɨ	0.375
ˈa	ˈe	0.385
k	j	0.286
o	ˈo	0.286
s	sʲ	0.286
ɛ	ɐ	0.176
ˈɛ	ˈe	0.556
ɐ_#>	ə_#>	0.7
ˈi	ˈi	0.667
ˈɛ	ˈɵ	0.167
ˈɛ	ɪ	0.167
ˈɤ	ˈo	0.667
t	t	0.778
t_#>	tʲ_#>	0.588
ɛ	ə	0.118
ɛ	-	0.118
ɛ	ɪ	0.588
ˈa	ˈa	0.308
<#_t	<#_t	0.429
z	z	0.429
