Swiss German	Pennsylvania German	probability
b̥	b	0.651
b̥	v	0.169
b̥	p	0.128
b̥	-	0.047
d̥	d	0.454
d̥	t	0.434
d̥	-	0.107
f	f	1.0
fː	f	1.0
h	h	0.868
h	-	0.125
i	ɪ	0.813
i	ə	0.186
j	j	1.0
k	k	1.0
l	l	0.975
l	n	0.031
m	m	1.0
mː	m	0.494
n	n	0.924
n	-	0.076
nː	n	1.0
p	p	1.0
p͡f	p	0.262
p͡f	p͡f	0.241
p͡f	f	0.183
r	ɾ	0.459
r	-	0.329
r	ɑ	0.17
r	ɾ_ɪ	0.04
rː	ɑ	0.244
s	s	0.971
s	-	0.035
sː	s	1.0
t	t	0.608
t	d	0.35
tː	d	1.0
w	l	0.244
ŋ	ŋ	0.674
ŋ	n_t	0.242
ŋ	-	0.053
ŋ_ɡ̊	ŋ	1.0
ə	ə	0.488
ə	ɑ	0.292
ə	-	0.218
ɡ̊	ɡ	0.375
ɡ̊	ç	0.198
ɡ̊	k	0.13
ɡ̊	j	0.091
ɡ̊	ɣ	0.084
ɡ̊	-	0.069
ɡ̊	t	0.039
ɡ̊ː	k	1.0
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʋ	ʋ	0.963
ʋ	v	0.046
ʦ	ʦ	0.802
ʦ	s	0.195
ˈa	ˈa	0.74
ˈa	ˈaː	0.194
ˈau̯	ˈɔː	1.0
ˈe	ˈɛ	0.562
ˈe	ˈa	0.203
ˈe	ˈɛː	0.175
ˈei̯	ˈeː	0.675
ˈei̯	ˈaɪ̯	0.106
ˈei̯	ˈɔɪ̯	0.106
ˈeː	ˈeː	1.0
ˈi	ˈɪ	0.896
ˈi	ˈɛː	0.056
ˈi	ˈɛ	0.054
ˈiə̯	ˈiː	0.594
ˈiə̯	ˈaɪ̯	0.183
ˈiə̯	ˈɪ	0.113
ˈiː	ˈaɪ̯	1.0
ˈo	ˈɔ	0.595
ˈo	ˈʊ	0.153
ˈo	ˈa	0.088
ˈo	ˈoː	0.088
ˈo	ˈɛː	0.057
ˈo	ˈɔː	0.036
ˈo_r	ˈaː	1.0
ˈou̯	ˈɔː	0.613
ˈou̯	ˈaʊ̯	0.222
ˈou̯	ˈɔ	0.136
ˈoː	ˈoː	0.805
ˈoː	ˈɔ	0.092
ˈoː	ˈaː	0.09
ˈu	ˈʊ	0.56
ˈu	ˈɪ	0.169
ˈu	ˈaː	0.148
ˈu	ˈuː	0.061
ˈu	ˈɔ	0.057
ˈuə̯	ˈuː	0.738
ˈuə̯	ˈʊ	0.259
ˈuː	ˈaʊ̯	0.837
ˈuː	ˈʊ	0.156
ˈy	ˈɪ	0.743
ˈy	ˈiː	0.114
ˈy	ˈaɪ̯	0.111
ˈyə̯	ˈiː	0.74
ˈyə̯	ˈuː	0.194
ˈyː	ˈaɪ̯	0.498
ˈyː	ˈiː	0.415
ˈyː	ˈɪ	0.081
ˈæ	ˈɛ	0.641
ˈæ	ˈɛː	0.128
ˈæ	ˈeː	0.125
ˈæ	ˈɔː	0.058
ˈæ	ˈa	0.041
ˈæi̯	ˈeː	1.0
ˈæː	ˈɛ	0.457
ˈæː	ˈɛː	0.347
ˈæː	ˈeː	0.149
ˈø	ˈɛ	0.803
ˈø	ˈa	0.119
ˈøi̯	ˈaɪ̯	0.341
ˈøi̯	ˈeː	0.194
ˈøi̯	ˈʊ	0.194
ˈøi̯	ˈɔː	0.08
ˈøː	ˈeː	1.0
ˈɒ	ˈa	0.789
ˈɒ	ˈɔː	0.166
ˈɒ	ˈaː	0.046
ˈɒː	ˈɔː	0.447
ˈɒː	ˈoː	0.264
ˈɒː	ˈaː	0.133
ˈɒː	ˈa	0.122
ˈɛi̯	ˈaɪ̯	0.415
ˈɛi̯	ˈeː	0.357
χ	kʰ	0.293
χ	ç	0.273
χ	x	0.258
χ	k	0.095
χ	ɡ	0.037
χ	-	0.034
χ	h	0.03
