East Low German	Luxembourgish	probability
b	b	0.942
b	f	0.059
b_m	n	1.0
d	d	0.549
d	t	0.373
d	d_ə	0.053
f	f	0.823
f	ə_f	0.159
h	h	0.968
j	ɡ	0.723
j	j	0.203
k	k	0.419
k	ɕ	0.274
k	χ	0.167
k	-	0.101
kʰ	kʰ	1.0
l	l	1.0
m	m	0.798
m	ə_n	0.153
n	n	0.908
n	-	0.054
p	f	0.707
p	p	0.279
r	ʀ	0.958
s	s	0.651
s	ʃ	0.262
s	z	0.08
t	t	0.511
t	s	0.243
t	ʦ	0.11
t	-	0.075
t	s_ə	0.053
tʰ	ʦ	0.894
tʰ	tʰ	0.082
v	v	0.809
v	w	0.188
w	w	0.489
x	ɕ	0.389
x	χ	0.389
x	-	0.107
x	ʃ	0.075
z	z	0.915
z	m	0.085
æ	ɐ	0.85
æ	ə_ʀ	0.076
æ_n	ʀ	1.0
ç	ɕ	0.436
ç	-	0.302
ç	k	0.243
ŋ	ŋ	0.644
ŋ	n	0.2
ŋ	ŋ_ə	0.136
ɡ	ɡ	0.729
ɡ	-	0.183
ɡ	ʑ	0.067
ɣ	ŋ	1.0
ɪ	ə	0.74
ɪ	e	0.192
ɾ	d	0.733
ɾ	s	0.185
ʃ	ʃ	1.0
ˈa	ˈaː	0.49
ˈa	ˈɑ	0.37
ˈa	ˈuə̯	0.073
ˈa	ˈæ	0.055
ˈae̯	ˈeː	0.437
ˈae̯	ˈəɪ̯	0.313
ˈae̯	ˈi	0.088
ˈae̯	ˈə	0.058
ˈaɪ̯	ˈəɪ̯	0.489
ˈaʊ̯	ˈəʊ̯	0.341
ˈaʊ̯	ˈaː	0.29
ˈaʊ̯	ˈʊ	0.15
ˈaʊ̯	ˈu	0.139
ˈaː	ˈaː	0.744
ˈaː	ˈɛː	0.127
ˈaː	ˈiː	0.082
ˈeː	ˈəɪ̯	0.594
ˈeː	ˈiː	0.392
ˈiː	ˈæːɪ̯	0.327
ˈiː	ˈɑɪ̯	0.153
ˈiː	ˈə	0.15
ˈiː	ˈɛː	0.13
ˈiː	ˈəɪ̯	0.099
ˈiː	ˈæɪ̯	0.086
ˈoː	ˈoː	0.401
ˈoː	ˈaː	0.171
ˈoː	ˈuː	0.171
ˈoː	ˈiː	0.104
ˈuː	ˈæːʊ̯	0.374
ˈuː	ˈaː	0.236
ˈuː	ˈuː	0.13
ˈuː	ˈəʊ̯	0.069
ˈuː	ˈo	0.065
ˈuː	ˈɑɪ̯	0.065
ˈuː	ˈu	0.053
ˈyː	ˈɑɪ̯	0.488
ˈyː	ˈəɪ̯	0.28
ˈyː	ˈæːɪ̯	0.171
ˈøː	ɐ	0.281
ˈøː	ˈi	0.281
ˈœ	ˈiə̯	0.574
ˈœ	ˈɑ	0.088
ˈœ	ˈɛ	0.088
ˈœː	ˈi	0.341
ˈœː	ˈiː	0.208
ˈœː	ˈə	0.192
ˈœː	ˈæːʊ̯	0.071
ˈɒː	ˈoː	0.364
ˈɒː	ˈuə̯	0.191
ˈɒː	ˈu	0.099
ˈɒː	ˈaː	0.098
ˈɒː	ˈəʊ̯	0.096
ˈɒː	ˈəɪ̯	0.085
ˈɔ	ˈo	0.351
ˈɔ	ˈɑ	0.226
ˈɔ	ˈaː	0.098
ˈɔ	ˈu	0.098
ˈɔ	ˈuː	0.091
ˈɔ	ˈʊɪ̯	0.067
ˈɔʏ̯	ˈəɪ̯	0.533
ˈɔʏ̯	ˈe	0.193
ˈɔʏ̯	ˈi	0.13
ˈɔʏ̯	ˈeː	0.088
ˈɛ	ˈeː	0.326
ˈɛ	ˈiə̯	0.147
ˈɛ	ˈɑ	0.097
ˈɛ	ˈu	0.095
ˈɛ	ˈoː	0.086
ˈɛ	ˈɛ	0.086
ˈɛ	ˈiː	0.064
ˈɛɪ̯	ˈəɪ̯	1.0
ˈɛː	ˈiə̯	0.339
ˈɛː	ˈe	0.194
ˈɛː	ˈɛ	0.136
ˈɛː	ˈuə̯	0.092
ˈɛː	ˈi	0.084
ˈɛː	ˈɑ	0.057
ˈɪ	ˈɑ	0.322
ˈɪ	ˈə	0.303
ˈɪ	ˈe	0.125
ˈɪ	ˈiː	0.085
ˈɪ	ˈæːɪ̯	0.056
ˈʊ	ˈo	0.601
ˈʊ	ˈɔ	0.219
ˈʊ	ˈʊ	0.091
ˈʊ	ˈɑɪ̯	0.067
ˈʏ	ˈə	0.626
ˈʏ	ˈe	0.372
