Slovak	Polish	probability
ˈɫ̩	w	1.0
ˈuː	ˈu	1.0
ˈu	ˈu	1.0
ˈaː	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ʧ	ʈ͡ʂ	1.0
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʎ	l	1.0
ʋ_#>	f_#>	1.0
ʊ̯ˈɔ	ˈɔ	1.0
ʃ	ʂ	1.0
ɲ	ɲ	1.0
ɪ̯ɛ	ɛ	1.0
ɦ	ɡ	1.0
ɟ	ʥ	1.0
ɔ	ɔ	1.0
v	v	1.0
t	t	1.0
r_ˈa	r_ˈɔ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j	j	1.0
i	ɨ	1.0
f	p	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_r	<#_r	1.0
ɫ	w	0.882
iː	ɨ	0.75
ɛ	ɛ	0.733
x	x	0.667
l	l	0.667
c	ʨ	0.667
ˈɔ	ˈɔ	0.647
ˈɛ	ˈɛ	0.625
ˈi	ˈɨ	0.625
r	r	0.611
z	z	0.6
s	s	0.6
ʋ	v	0.533
ˈr̩	ˈɛ_r	0.5
ˈr̩	r	0.5
ʋ	v_j	0.467
ˈa	ˈɔ	0.417
ɪ̯ˈɛ	ˈɛ	0.4
z	ʑ	0.4
s	ɕ	0.4
ˈi	ˈi	0.375
x	k	0.333
l	w	0.333
ɪ̯ˈɛ	ˈa	0.3
ɪ̯ˈɛ	j_ˈa	0.3
r	ʐ	0.278
ˈa	ˈa	0.25
iː	i	0.25
c	ɲ_ʨ	0.238
ˈɔ	ˈu	0.235
ˈɛ	ˈa	0.208
ˈa	ˈɛ_w̃	0.167
ˈa	ˈu	0.167
ɛ	ˈɔ	0.133
ɛ	ˈa	0.133
ˈɔ	ɔ	0.118
ɫ	l	0.118
r	ʂ	0.111
c	ʈ͡ʂ	0.095
ˈɛ	ˈɔ	0.083
ˈɛ	ɛ	0.083
