Ligurian	Lengadocian	probability
ˈɛː_r	ˈɛ_ʀ	1.0
ˈøː	ˈɔ	1.0
ˈy_t	ˈu_t	1.0
ˈy	ˈy	1.0
ˈu_ŋ_#>	ˈu_#>	1.0
ˈiː_#>	ˈi_#>	1.0
ˈi_ŋ	ˈi	1.0
ˈe_j	ˈe	1.0
ˈaː_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʤ_u	l	1.0
ʒ_e	ʦ	1.0
ʃ	j_s	1.0
ɡ_u_#>	k_#>	1.0
ŋ_t_u_#>	n_#>	1.0
ŋ_a	n_ɔ	1.0
ŋ_#>	#>	1.0
w_ˈiː	ˈu_s	1.0
w_e_#>	#>	1.0
v_u	w	1.0
v_e_#>	w_#>	1.0
t_e_#>	#>	1.0
s_k	s_k	1.0
r_u	ɾ_e	1.0
r_n	ʀ	1.0
p	p	1.0
m_e_#>	m_#>	1.0
l_ˈeː	ˈe_l	1.0
l	l	1.0
k	k	1.0
j_v	w	1.0
j_a	ɾ_ɔ	1.0
j_#>	#>	1.0
i_#>	s_#>	1.0
f	f	1.0
e_#>	#>	1.0
d_u	t	1.0
a_v	a_β	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_p_l	1.0
<#_ʒ	<#_b	1.0
<#_ʃ	<#_f_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_b	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
m	m	0.933
s	s	0.926
u_#>	#>	0.918
b	b	0.857
ˈaː	ˈa	0.842
v	β	0.818
n	n	0.818
ˈi	ˈi	0.812
a	ɔ	0.812
ˈɔ	ˈɔ	0.8
e	e	0.793
ˈiː	ˈi	0.778
ɲ	ɲ	0.778
ˈu	ˈu	0.762
ˈø	ɥ_ˈɛ	0.75
ˈyː	ˈy	0.714
ˈuː	ˈu	0.714
d	d	0.696
ˈɛ	ˈɛ	0.667
ˈe	ˈe	0.6
ɡ	ɣ	0.6
ˈɔː	ˈɔ	0.583
z	ʤ	0.529
r	ɾ	0.528
ŋ	n	0.522
t	t	0.514
ʧ	k_l	0.5
ʧ	-	0.5
ʒ	z	0.5
ʒ	-	0.5
w	-	0.5
ˈeː	ˈɛ	0.45
i	i	0.429
ˈɔː	ˈa_w	0.417
ˈe	ˈɛ	0.4
ʤ	ʤ	0.368
ʤ	ʎ	0.368
i	e	0.357
ˈɛ	ˈe_j	0.333
r	ʀ	0.333
ˈɛː	ˈa	0.308
u	u	0.308
u	e	0.308
ŋ	ŋ	0.304
d	-	0.304
ˈeː	j_ˈɛ	0.3
#>	s_#>	0.3
#>	e_#>	0.3
z	-	0.294
ˈyː	-	0.286
j	e	0.267
j	-	0.267
ʤ	l	0.263
ˈø	-	0.25
ˈɛː	j_ɾ	0.231
ˈiː	-	0.222
ɲ	n	0.222
t	ʧ	0.216
w	u	0.214
i	-	0.214
ˈɔ	-	0.2
j	u	0.2
#>	ɔ_#>	0.2
ˈi	-	0.188
v	w	0.182
n	-	0.182
z	z	0.176
ŋ	-	0.174
ˈaː	ˈa_l	0.158
a	a	0.156
ˈɛː	ˈe	0.154
ˈɛː	ˈa_t	0.154
ˈɛː	e	0.154
ˈeː	e	0.15
ˈuː	ˈu_l	0.143
ˈuː	-	0.143
ˈu	ˈy	0.143
w	ˈa	0.143
w	w	0.143
b	-	0.143
r	-	0.139
e	-	0.138
ɡ	ʤ	0.133
ɡ	k	0.133
ɡ	-	0.133
j	j	0.133
j	d_ɾ	0.133
u	ʀ	0.115
u	l	0.115
t	ð	0.108
t	w_t	0.108
ˈeː	ˈɛ_l	0.1
#>	ʀ_#>	0.1
#>	w_#>	0.1
ˈu	-	0.095
u_#>	i_#>	0.082
u	ɔ	0.077
u	w	0.077
e	s	0.069
m	-	0.067
t	-	0.054
