Min Bei	Meixian	probability
⁵⁵	⁵³	1.0
⁵⁴	⁴⁴	1.0
ʦ	ʦ	1.0
ɥ	-	1.0
w_ɛ	a_j	1.0
u_j	a	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
n	ɲ	1.0
m	m	1.0
l	l	1.0
j_ŋ	n	1.0
e_j	i	1.0
a_ŋ	a_m	1.0
a_j	ɛ	1.0
<#_ʦ	<#	1.0
<#_œ	<#_i	1.0
<#_ŋ	<#_ŋ	1.0
<#_t	<#	1.0
<#_n	<#_n	1.0
<#_kʰ	<#	1.0
³³	¹¹	0.793
ʦʰ	ʦʰ	0.778
²⁴	¹	0.75
u	u	0.75
x	f	0.7
j_a	j_a	0.667
e	i	0.667
o	o	0.6
kʰ	kʰ	0.6
²¹	³¹	0.588
a	a	0.571
i	i	0.562
s	s	0.538
ŋ	ŋ	0.5
j_u	u	0.5
j_u	i_w	0.5
s	ɕ	0.462
p	p	0.455
k	k	0.455
ŋ	n	0.447
w	w	0.438
j	-	0.429
o	-	0.4
kʰ	h	0.4
t	tʰ	0.375
t	t	0.375
ɛ	ɛ_t̚	0.364
ɛ	o_j	0.364
ɔ	ʊ	0.333
ɔ	ɔ	0.333
j_a	a	0.333
e	e_w	0.333
y	j	0.316
x	h	0.3
²¹	¹¹	0.294
j	j	0.286
j	a	0.286
ɛ	-	0.273
p	pʰ	0.273
p	f	0.273
k	cʰ	0.273
k	c	0.273
y	-	0.263
⁴²	⁵³	0.25
⁴²	⁵	0.25
⁴²	k̚_⁵	0.25
⁴²	k̚_¹	0.25
²⁴	t̚_¹	0.25
w	ʋ	0.25
u	ʊ_k̚	0.25
t	ʦʰ	0.25
ʦʰ	ʨʰ	0.222
y	j_ʊ	0.211
³³	⁵³	0.207
w	o	0.188
i	z̩	0.188
ɔ	u	0.143
a	ɔ	0.143
w	-	0.125
i	j_a	0.125
i	i_t̚	0.125
²¹	⁴⁴	0.118
y	u	0.105
y	i	0.105
ɔ	ɔ_k̚	0.095
ɔ	-	0.095
a	j_a	0.095
a	a_k̚	0.095
a	-	0.095
ŋ	m	0.053
