Standard Mandarin	Gan	probability
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʐ̩	z̩	1.0
ʐ	nʲ	1.0
ʊ	u	1.0
ʈ͡ʂʰ	ʦʰ	1.0
ʈ͡ʂ	ʦ	1.0
ʂ	s	1.0
ɥ	ɥ	1.0
ɤ_ŋ	a_ŋ	1.0
ɤ	a	1.0
ə	ɨ	1.0
ɕ	ɕ	1.0
ɑ_w	a_w	1.0
ŋ	ŋ	1.0
z̩	z̩	1.0
x_w	f	1.0
w_ə	u	1.0
w_a	ɵ	1.0
u	u	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
n_a	l_a	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_o	i	1.0
j	j	1.0
i_ŋ	i_n	1.0
i	i	1.0
f	f	1.0
<#_ɤ_ɻ	<#_ɵ	1.0
<#_n	<#_nʲ	1.0
²¹⁴	²¹³	0.909
⁵⁵	⁴²	0.865
w	w	0.864
a	a	0.84
y	y	0.714
x	h	0.714
ɑ	ɔ	0.643
³⁵	³⁵	0.6
w_ɔ	o	0.6
t	tʰ	0.6
<#	<#_ŋ	0.6
o	ɛ	0.5
e	ɨ	0.5
e	-	0.5
⁵¹	¹¹	0.419
³⁵	²⁴	0.4
w_ɔ	ɔ_ʔ	0.4
t	t	0.4
<#	<#_nʲ	0.4
ɛ	ɵ	0.375
ɛ	ɛ	0.375
ɑ	ɛ	0.357
⁵¹	⁵	0.29
y	e	0.286
x	f	0.286
ɛ	ɵ_t̚	0.25
o	ɨ	0.25
o	-	0.25
⁵¹	²¹³	0.194
a	ɵ	0.16
w	u	0.136
⁵¹	³⁵	0.097
²¹⁴	⁵	0.091
⁵⁵	t̚_⁵	0.081
⁵⁵	⁵	0.054
