Swiss German	Ripuarian	probability
b̥	b	0.625
b̥	f	0.209
b̥	v	0.156
d̥	d	0.578
d̥	t	0.225
d̥	-	0.107
d̥	k	0.09
f	f	0.878
f	ə_f	0.085
h	h	0.901
h	-	0.078
i	ə	0.608
i	ɪ	0.392
j	j	1.0
k	k	1.0
kː	k	1.0
l	l	0.992
m	m	1.0
mː	m	1.0
n	n	0.752
n	ŋ	0.248
p	p	1.0
p͡f	p	0.876
p͡f	f	0.124
r	ɐ	0.523
r	ʀ	0.435
rː	ɐ	1.0
s	z	0.5
s	s	0.447
sː	s	1.0
t	t	0.528
t	d	0.4
t	k	0.072
tː	d	1.0
w	l	1.0
æ	e	1.0
ŋ	ŋ	1.0
ə	ə	0.676
ə	ɐ	0.283
ɡ̊	j	0.473
ɡ̊	ɕ	0.266
ɡ̊	-	0.092
ɡ̊	ɣ	0.068
ɡ̊ː	k	1.0
ʃ	ʃ	0.848
ʃ	s	0.152
ʃː	ʃ	1.0
ʋ	ʋ	0.957
ʦ	ʦ	1.0
ˈau̯	ˈaʊ̯	0.828
ˈau̯	ˈoː	0.172
ˈe	ˈɛ	0.412
ˈe	ˈe	0.321
ˈe	ˈa	0.19
ˈe	ˈɛː	0.077
ˈei̯	ˈeː	0.543
ˈei̯	ˈeɪ̯	0.457
ˈeː	ˈiː	0.809
ˈeː	ˈeː	0.191
ˈi	ˈe	0.439
ˈi	ˈɪ	0.296
ˈi	ˈyː	0.081
ˈi	ˈa	0.074
ˈi	ˈiː	0.051
ˈiə̯	ˈiː	0.548
ˈiə̯	ˈeː	0.452
ˈiː	ˈiː	0.618
ˈiː	ˈe	0.123
ˈiː	ˈøː	0.088
ˈiː	ˈɛ	0.086
ˈiː	ˈɪ	0.086
ˈo	ˈɔ	0.673
ˈo	ˈu	0.133
ˈo	ˈoʊ̯	0.066
ˈo	ˈo	0.051
ˈou̯	ˈoː	0.541
ˈou̯	ˈoʊ̯	0.233
ˈou̯	ˈaʊ̯	0.139
ˈou̯	ˈɔ	0.087
ˈoː	ˈuː	0.451
ˈoː	ˈoː	0.367
ˈoː	ˈo	0.137
ˈu	ˈo	0.524
ˈu	ˈɔ	0.198
ˈu	ˈʊ	0.122
ˈu	ˈœ	0.076
ˈuə̯	ˈoː	0.862
ˈuə̯	ˈøː	0.138
ˈuː	ˈuː	0.734
ˈuː	ˈaʊ̯	0.204
ˈuː	ˈɔ	0.062
ˈy	ˈœ	0.446
ˈy	ˈʏ	0.225
ˈy	ˈyː	0.16
ˈy	ˈɛ	0.075
ˈyə̯	ˈøː	0.647
ˈyə̯	ˈoː	0.353
ˈyː	ˈeː	0.384
ˈyː	ˈyː	0.244
ˈyː	ˈʏ	0.16
ˈyː	ˈøː	0.11
ˈyː	ˈœ	0.075
ˈæ	ˈɛː	0.472
ˈæ	ˈɛ	0.283
ˈæ	ˈa	0.119
ˈæ	ˈɪ	0.07
ˈæ	ˈaː	0.057
ˈæi̯	ˈeː	1.0
ˈæː	ˈɛ	0.501
ˈæː	ˈiː	0.185
ˈæː	ˈɛː	0.185
ˈæː	ˈeː	0.13
ˈø	ˈœ	0.602
ˈø	ˈɛ	0.31
ˈø	ˈa	0.089
ˈøi̯	ˈʊ	0.347
ˈøi̯	ˈeː	0.226
ˈøi̯	ˈɔʏ̯	0.226
ˈøi̯	ˈøː	0.202
ˈøː	ˈyː	0.63
ˈøː	ˈʏ	0.37
ˈɒ	ˈa	0.678
ˈɒ	ˈaː	0.206
ˈɒ	ˈɛ	0.074
ˈɒː	ˈoː	0.406
ˈɒː	ˈa	0.253
ˈɒː	ˈaː	0.23
ˈɒː	ˈɛː	0.095
ˈɛi̯	ˈɛ	0.726
ˈɛi̯	ˈeː	0.274
χ	k	0.462
χ	ɕ	0.339
χ	x	0.167
