Nynorsk Norwegian	Swiss German	probability
b	b̥	1.0
d	t	0.687
d	d̥	0.19
d	ʦ	0.065
d	-	0.055
d_e	d̥	1.0
e	-	0.472
e	ə	0.336
e	b̥_ə	0.067
e	i	0.061
e	ˈau̯	0.053
f	f	1.0
h	h	0.943
h	-	0.056
j	ɡ̊	0.454
j	-	0.253
j	ˈæ	0.117
j	t	0.099
j	ˈæː	0.056
k	χ	0.883
k	ʃː	0.104
kʰ	χ	0.653
kʰ	-	0.204
kʰ	f	0.115
l	l	0.962
lː	l	0.811
lː	r	0.149
m	m	0.864
m	f	0.104
n	n	0.56
n	-	0.315
n	r	0.086
nː	n	0.514
nː	-	0.197
nː	ŋ	0.186
nː	nː	0.084
p	f	0.457
p	fː	0.339
p	p͡f	0.112
pʰ	p͡f	0.489
s	s	0.547
s	ʃ	0.373
s	-	0.052
s_k	ʃ	1.0
sː	s	0.489
t	sː	0.42
t	t	0.299
t	s	0.131
t	ʦ	0.131
tʰ	d̥	0.413
tʰ	ʦ	0.339
tʰ	ʦ_ʋ	0.141
tʰ	t	0.062
v	ʋ	1.0
ç	χ	0.416
ç	d̥	0.228
ç	k	0.173
ç	t	0.121
çː	ʦ	0.489
ŋ	-	0.574
ŋ	i	0.281
ŋː	ŋ	1.0
ɑ	ə	0.836
ɑ	-	0.127
ə	ə	0.489
ɛ	-	0.574
ɛ	ə	0.281
ɡ	ɡ̊	0.862
ɡ	χ	0.081
ɡ	-	0.053
ɡː	ɡ̊ː	0.822
ɡː	-	0.11
ɪ	ə	1.0
ɲ	ŋ	1.0
ɾ	r	0.915
ɾ	-	0.083
ʃ	ʃ	0.639
ʃ	s	0.339
ʉ	-	1.0
ʋ	ʋ	0.49
ʋ	-	0.268
ʋ	f	0.162
ʰkː	ŋ_k	0.644
ʰkː	k	0.239
ʰtː	χ_t	1.0
ˈeː	ˈi	0.278
ˈeː	ˈæ	0.242
ˈeː	ˈyː	0.153
ˈeː	ˈiə̯	0.101
ˈeː	ˈe	0.075
ˈeː	ˈæː	0.075
ˈiː	ˈiː	0.556
ˈiː	ˈi	0.133
ˈiː	ˈyː	0.093
ˈiː	ˈiə̯	0.075
ˈiː	ˈæː	0.075
ˈiː	ˈy	0.055
ˈoː	ˈɒː	0.563
ˈoː	ˈeː	0.159
ˈoː	ˈo	0.072
ˈoː	ˈou̯	0.072
ˈoː	ˈɒ	0.071
ˈoː	ˈy	0.056
ˈuː	ˈuə̯_t	0.274
ˈuː	ˈuə̯	0.267
ˈuː	ˈyə̯	0.214
ˈuː	ˈøi̯	0.089
ˈuː	-	0.068
ˈyː	ˈyː	0.566
ˈyː	ˈiə̯	0.149
ˈyː	ˈøi̯	0.149
ˈyː	ˈy	0.107
ˈæ	ˈæ	0.117
ˈæɪ̯	ˈæi̯	0.467
ˈæɪ̯	ˈei̯	0.262
ˈæɪ̯	ˈæ	0.121
ˈæɪ̯	ˈɛi̯	0.082
ˈæʉ̯	ˈau̯	0.351
ˈæʉ̯	ˈoː_t	0.299
ˈæʉ̯	ˈoː	0.138
ˈæʉ̯	ˈou̯	0.127
ˈæːɪ̯	ˈɛi̯	0.489
ˈøː	ˈyə̯	0.389
ˈøː	ˈeː	0.206
ˈøː	ˈæ	0.125
ˈøː	ˈøː	0.121
ˈøː	ə	0.085
ˈœ	ˈi	0.574
ˈœ	rː	0.281
ˈœʏ̯	ˈøː	0.226
ˈœʏ̯	ˈoː	0.181
ˈœʏ̯	ˈøi̯	0.181
ˈœʏ̯	ˈou̯	0.11
ˈɑ	ˈɒ	0.598
ˈɑ	ˈa	0.187
ˈɑ	ˈɒː	0.138
ˈɑː	ˈɒ	0.515
ˈɑː	ˈɒː	0.481
ˈɔ	ˈu	0.216
ˈɔ	ˈoː	0.188
ˈɔ	ˈɒ	0.188
ˈɔ	ˈo	0.124
ˈɔ	ˈøi̯	0.09
ˈɔ	ˈø	0.087
ˈɔ	-	0.063
ˈɛ	ˈæ	0.338
ˈɛ	ˈe	0.207
ˈɛ	ˈyː	0.131
ˈɛ	ˈɒ	0.075
ˈɛ	ˈy	0.059
ˈɛ	ˈæː	0.059
ˈɛ	ˈei̯	0.052
ˈɛ	ˈiə̯	0.052
ˈɛː	ˈe	0.5
ˈɛː	ˈæ	0.5
ˈɪ	ˈi	0.864
ˈɪ	-	0.072
ˈɪ	ˈy	0.052
ˈʉ	ˈo	0.5
ˈʉ	ˈyː	0.149
ˈʉ	ˈø	0.149
ˈʉ	ˈuː	0.104
ˈʉ	ˈu	0.073
ˈʉː	ˈuː	0.443
ˈʉː	ˈyː	0.177
ˈʉː	ˈo	0.088
ˈʉː	ˈuə̯	0.088
ˈʉː	ˈæ	0.088
ˈʉː	ˈu	0.058
ˈʉː	ˈiə̯	0.053
ˈʊ	ˈu	0.246
ˈʊ	j	0.163
ˈʊ	ˈo	0.15
ˈʊ	ˈæ	0.114
ˈʊ	ˈøː	0.114
ˈʊ	ˈi	0.11
ˈʏ	ˈu	0.256
ˈʏ	ˈi	0.189
ˈʏ	ʋ_ˈy	0.125
ˈʏ	ˈo	0.109
ˈʏ	ˈy	0.109
ˈʏ	ˈyː	0.109
ˈʏ	ˈø	0.083
