Yiddish	Northern Low Saxon	probability
χ_t	ç	1.0
ˈɛɪ̯_n	n	1.0
ˈɛ_n	ˈaɪ̯_n	1.0
ˈɔ_ʀ	ˈaʊ̯_ɐ	1.0
ˈa_ʀ	ˈaː	1.0
ʧ	-	1.0
ʀ_ʦ	d	1.0
ʀ_#>	#>	1.0
ɫ_ˈʊ	l_ˈaʊ̯	1.0
ɫ_ˈɪ	l_ˈaɪ̯	1.0
ɫ_d	l_d	1.0
ɫ_b	f	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɡ_n	ŋ	1.0
ɛ	-	1.0
ə_ʀ	ɐ	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	v	1.0
t_#>	#>	1.0
p	-	1.0
n_ˈɔ	n_ˈoː	1.0
n_ə	nː	1.0
n_d	n	1.0
m	m	1.0
k_s	s	1.0
k_#>	ɡ_#>	1.0
j	ʒ	1.0
h	h	1.0
f_n	b_m	1.0
d_ʀ	d_r	1.0
d_z	s	1.0
b_n	m	1.0
#>	t_#>	1.0
d	d	0.889
b	b	0.882
f	f	0.848
ʃ	ʃ	0.846
ɡ	ɡ	0.833
t	d	0.826
s	d	0.824
ˈɛɪ̯	ˈaɪ̯	0.818
n	n	0.785
ʦ	tʰ	0.727
z	z	0.692
ˈa	ˈa	0.667
χ	ɡ	0.647
k	kʰ	0.619
ʀ	r	0.575
ɡ_#>	#>	0.556
ˈɪ	ˈɪ	0.5
ˈaɪ̯	ˈiː	0.5
ˈɔɪ̯	ˈaʊ̯	0.462
ɡ_#>	ç_#>	0.444
ˈɔɪ̯	ˈuː	0.423
ˈʊ	ˈʊ	0.357
χ	x	0.353
z	z̥	0.308
ˈɔ	ˈoː	0.296
ˈɛ	-	0.292
ʀ	ɐ	0.275
ʦ	d	0.273
ˈʊ	ˈaʊ̯	0.25
ˈɛ	ˈɛ	0.25
ˈʊ	-	0.214
ˈɛ	ˈeː	0.208
ˈaɪ̯	ˈyː	0.2
k	ç	0.19
n	-	0.185
ˈɛɪ̯	ˈɪ	0.182
s	s	0.176
t	t	0.174
ɡ	x	0.167
ʃ	s	0.154
f	b	0.152
ˈɔ	ˈʊ	0.148
ˈɔ	ˈɔ	0.148
ˈɔ	-	0.148
ˈɪ	ˈaɪ̯	0.125
ˈɪ	-	0.125
b	v	0.118
ˈɔɪ̯	-	0.115
ˈɔ	ˈa	0.111
d	-	0.111
ˈʊ	ˈɔ	0.107
ˈɪ	ˈʏ	0.1
ˈɪ	ˈɔʏ̯	0.1
ˈaɪ̯	ˈɪ	0.1
ˈaɪ̯	ˈaɪ̯	0.1
ˈaɪ̯	-	0.1
ˈa	ˈoː	0.1
ˈa	ˈaʊ̯	0.1
ʀ	-	0.1
k	ɡ	0.095
k	k	0.095
ˈɛ	ˈɛɪ̯	0.083
ˈɛ	ˈɔʏ̯	0.083
ˈɛ	ˈœ	0.083
ˈɔ	ˈɛ	0.074
ˈɔ	ˈeː	0.074
ˈʊ	ˈɔʏ̯	0.071
ˈa	ˈaː	0.067
ˈa	-	0.067
