Belarusian	Ukrainian	probability
ˈɵ	ˈɛ	1.0
ˈɨ	ˈɪ	1.0
ˈɛ	ˈi	1.0
ˈu	ˈu	1.0
ˈi	ˈɪ	1.0
ʧ	ʧ	1.0
ʣʲ	d	1.0
ʐ	ʒ	1.0
ʌ	ɔ	1.0
ʂ	ʒ	1.0
ɫ	ɫ	1.0
ɣ	ɦ	1.0
z	z	1.0
xʲ	x	1.0
w_#>	w_#>	1.0
u	ʊ	1.0
t_#>	d_#>	1.0
t	t	1.0
s	s	1.0
r_a	rʲ_i	1.0
nʲ	nʲ	1.0
n_ˈo	nʲ_ˈi	1.0
n	n	1.0
m	m	1.0
k_ˈo	kʲ_ˈi	1.0
k	k	1.0
j	j	1.0
d	d	1.0
b	b	1.0
a_ʦʲ	ɔ_tʲ	1.0
#>	j_#>	1.0
r	r	0.9
ˈa	ˈɑ	0.882
ɨ	e_j	0.846
ˈo	ˈɔ	0.788
a	ɔ	0.727
lʲ	lʲ	0.714
ˈe	ˈi	0.696
mʲ	m	0.667
x	x	0.6
w	ʋ	0.6
sʲ	sʲ	0.6
pʲ	p	0.6
e	i	0.6
vʲ	ʋʲ	0.583
ˈæ	ˈɑ	0.571
p	p	0.556
ʦʲ	tʲ	0.5
ʦ	ʦʲ	0.5
ʦ	ʦ	0.5
zʲ	zʲ	0.5
zʲ	z	0.5
kʲ	k_e	0.5
kʲ	k	0.5
p	b	0.444
ˈæ	j_ˈɑ	0.429
i	j	0.429
vʲ	ʋ	0.417
x	ɦ	0.4
w	ʍ	0.4
v	ʋ	0.4
sʲ	s	0.4
pʲ	pʲ	0.4
e	ɛ	0.4
v	w	0.333
mʲ	mʲ	0.333
ˈe	ˈɛ	0.304
ʦʲ	t	0.3
æ	ɛ	0.3
æ	ɐ	0.3
lʲ	ɫ	0.286
i	i	0.286
i	e_j	0.286
ˈo	ˈi	0.212
ʦʲ	t_e	0.2
æ	j_ɐ	0.2
æ	i	0.2
a	ɐ	0.182
ɨ	ɪ	0.154
v	ʋʲ	0.133
v	-	0.133
ˈa	ˈa	0.118
r	rʲ	0.1
a	ɛ	0.091
