East Low German	Gothic	probability
b	b	0.762
b	β	0.159
b	p	0.074
d	d	0.465
d	θ	0.444
f	f	0.69
f	f_s	0.176
f	b	0.064
f	β	0.064
h	h	1.0
j	ɡ	0.561
j	j	0.425
k	k	0.654
k	ɡ_s	0.339
kʰ	k	0.903
kʰ	-	0.073
l	l	0.714
l	lː	0.12
l	l_s	0.082
m	m	0.553
m	a_n	0.112
m	β	0.112
m	m_s	0.106
m	i	0.057
m	aː	0.056
n	n	0.883
n	nː	0.069
p	p	0.329
p	p_s	0.188
p	β	0.087
r	r	1.0
s	s	1.0
t	t	0.631
t	θ	0.162
t	-	0.068
t	d	0.058
tʰ	t	1.0
v	w	0.796
v	ʍ	0.136
v	f	0.067
w	w	1.0
x	h	0.648
x	x	0.174
x	ɡ	0.122
z	s	0.942
z	m	0.059
æ	r	0.467
æ	a_r	0.179
æ	-	0.113
æ	oː	0.096
æ	a	0.065
æ	r_a	0.051
ç	j	0.253
ç	h	0.17
ç	x	0.17
ç	ɡ	0.161
ç	ɣ	0.108
ŋ	ŋ	0.69
ŋ	h	0.182
ŋ	ɡ	0.12
ɡ	ɡ	1.0
ɣ	-	0.259
ɪ	a	0.386
ɪ	ˈi	0.197
ɾ	ð	0.53
ɾ	a	0.349
ɾ	i	0.076
ʃ	s	0.513
ʃ	s_k	0.397
ʃ	z	0.087
ˈa	ˈa	1.0
ˈae̯	ˈɛː	0.284
ˈae̯	ˈiu̯	0.275
ˈae̯	ˈɛ	0.163
ˈae̯	ˈiː	0.124
ˈae̯	ˈi	0.09
ˈaʊ̯	ˈoː	0.44
ˈaʊ̯	ˈɔː	0.237
ˈaʊ̯	ˈa	0.175
ˈaʊ̯	ˈɔ	0.122
ˈaː	ˈɛ_r	0.561
ˈaː	ˈa	0.425
ˈeː	ˈɛː	0.259
ˈeː	ˈa	0.132
ˈiː	ˈiː	0.309
ˈiː	ˈi	0.155
ˈiː	ˈiu̯	0.151
ˈiː	ˈɛ	0.151
ˈiː	ˈiː_s	0.132
ˈiː	ˈeː	0.07
ˈoː	ˈɔː	0.322
ˈoː	ˈɛ	0.204
ˈoː	ˈeː	0.188
ˈoː	ˈɔ	0.12
ˈuː	ˈuː	0.452
ˈuː	ˈɔ	0.239
ˈuː	ˈu	0.174
ˈuː	ˈɔː	0.073
ˈyː	ˈiu̯	0.392
ˈyː	ˈoː	0.229
ˈyː	ˈɔː	0.229
ˈœ	ˈa	0.333
ˈœ	ˈɔ	0.333
ˈœ	ˈɛ	0.333
ˈœː	ˈu	0.699
ˈœː	ˈi	0.297
ˈɒː	ˈa	0.465
ˈɒː	ˈeː	0.361
ˈɒː	ˈu	0.114
ˈɔ	ˈu	0.481
ˈɔ	ˈa	0.286
ˈɔ	ˈɔː	0.127
ˈɔ	ˈɔ	0.065
ˈɔʏ̯	ˈɔː	1.0
ˈɛ	ˈi	0.514
ˈɛ	ˈa	0.142
ˈɛ	ˈɛ	0.135
ˈɛ	ˈɛː	0.135
ˈɛː	ˈi	0.401
ˈɛː	ˈu	0.149
ˈɛː	ˈiu̯	0.137
ˈɛː	ˈa	0.08
ˈɪ	ˈi	0.665
ˈɪ	ˈɛː	0.164
ˈɪ	ˈiː	0.106
ˈɪ	ˈa	0.061
ˈʊ	ˈu	0.902
ˈʊ	ˈuː	0.094
ˈʏ	j	0.66
ˈʏ	ˈi	0.171
