Standard German	Dutch	probability
ˈɛː	ˈaː	1.0
ˈœ	-	1.0
ˈøː	ˈoː	1.0
ˈuː	ˈu	1.0
ˈiː_ɐ_#>	ˈɛi̯_#>	1.0
ˈaː_d̥	ˈɑ_d̥	1.0
ˈaɪ̯_n	ˈeː_n	1.0
ˈa_l	ˈɑu̯	1.0
ˈa_f	ˈaː_p	1.0
ʦ	t	1.0
ɡ̊_#>	χ_#>	1.0
ɡ_ʁ	χ_ɾ	1.0
ɐ_t	ɾ_d̥	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
ç_t	χ_t	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
v	ʋ	1.0
tʰ	d	1.0
s_t	s_t	1.0
p͡f	p	1.0
p	-	1.0
m	m	1.0
l_ˈaʊ̯	ɫ_ˈoː	1.0
l	ɫ	1.0
kʰ	k	1.0
k_ə	χ	1.0
k_s	s	1.0
k_n	χ	1.0
j	j	1.0
h	ɦ	1.0
d̥	d̥	1.0
b̥	v̥	1.0
<#_ʦ	<#_t	1.0
<#_ʁ	<#_ɾ	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
n	n	0.96
ə_#>	#>	0.885
ˈʊ	ˈɔ	0.875
ˈa	ˈɑ	0.871
ˈiː	ˈi	0.867
ˈɪ	ˈɪ	0.846
ˈoː	ˈoː	0.786
d	d	0.783
ʁ	ɾ	0.773
b	b	0.767
s	t	0.737
ˈʏ	ˈʏ	0.714
ɐ	ɾ	0.708
f	v	0.703
ç	k	0.692
ˈɛ	ˈɛ	0.667
ˈaː	ˈaː	0.667
ə	ə	0.667
ɪ	ə	0.6
ɡ	χ	0.591
ˈaʊ̯	ˈœy̯	0.588
ˈaɪ̯	ˈɛi̯	0.577
k	k_ə	0.571
ʃ	s	0.552
x	χ	0.545
ˈeː	ˈeː	0.533
ˈɔ	ˈɔ	0.5
ˈyː	ˈu	0.5
ˈyː	-	0.5
x	k	0.455
ˈɔʏ̯	-	0.444
t	d̥	0.438
k	k	0.429
ɡ	χ_ə	0.409
ˈɔ	ˈoː	0.4
ɪ	ɪ	0.4
t	t	0.375
ˈaɪ̯	ˈeː	0.346
ˈɔʏ̯	ˈœy̯	0.333
ˈaʊ̯	ˈoː	0.294
ˈʏ	-	0.286
s	t_ə	0.263
ɐ	ə_ɾ	0.25
ʃ	s_χ	0.241
ˈɛ	ˈeː	0.222
ˈɔʏ̯	ˈyː	0.222
ˈaː	ˈɑ	0.222
ˈoː	-	0.214
ʃ	z	0.207
ˈeː	ˈi	0.2
ə	ə_n	0.2
t	d_ə	0.188
b	v_ə	0.167
ˈɪ	ˈɛ	0.154
ç	χ	0.154
ç	ŋ	0.154
ʁ	-	0.136
ˈiː	-	0.133
ˈeː	ˈɛ	0.133
ˈeː	ˈaː	0.133
ə	-	0.133
d	d_ə	0.13
ˈa	ˈaː	0.129
ˈʊ	-	0.125
ˈaʊ̯	ˈɑu̯	0.118
ə_#>	ə_#>	0.115
ˈɛ	ˈɑ	0.111
ˈaː	ˈɛ	0.111
f	p	0.108
ˈɔ	-	0.1
ʁ	ɾ_ˈi	0.091
d	-	0.087
f	p_ə	0.081
ˈaɪ̯	ˈɪ	0.077
b	-	0.067
f	ə_v̥	0.054
f	v̥	0.054
