Portuguese	Romanian	probability
b	b	0.957
d	d	0.56
d	z	0.382
d	-	0.059
ẽ	e	0.661
ẽ	i	0.339
f	f	0.915
f	-	0.085
i	-	0.542
i	a	0.236
i	i	0.129
i	ˈi	0.069
ĩ	i	0.77
ĩ	j	0.23
j	-	0.341
j	p	0.157
j	n	0.147
j	j	0.111
j	ʦ	0.073
j	w	0.068
j	ə	0.059
j̃	n_e	0.493
j̃	e	0.318
j̃	j	0.148
k	k	0.833
k	ʧʲ	0.06
l	l	0.756
l	-	0.127
l	j	0.055
l	e̯ˈa	0.054
m	m	0.963
n	n	0.899
n	m_n	0.061
o	-	0.63
o	u	0.37
p	p	0.976
s	s	0.286
s	ʧ	0.262
s	ʃ	0.255
s	r_s	0.083
t	t	0.52
t	n_t	0.156
t	ʦ	0.119
t	d	0.085
u	-	0.684
u	u	0.096
u	e	0.075
u	ə	0.058
ũ	-	1.0
v	v	0.454
v	-	0.369
v	b	0.081
v	p	0.052
w	u	0.319
w	z	0.245
w	-	0.146
w	e	0.11
w	w	0.102
w̃	j	0.469
w̃	t	0.229
w̃	w	0.155
w̃	n	0.146
z	ʧ	0.688
z	s	0.212
z	ʃ	0.081
ð	t	0.797
ð	ˈa_t	0.136
ɐ	ə	0.557
ɐ	-	0.135
ɐ	e	0.115
ɐ	a	0.081
ɐ	ˈa	0.057
ɐ̃	-	0.366
ɐ̃	n	0.366
ɐ̃	r	0.215
ɐ̃	u	0.054
ɔ	u	0.49
ɔ	o̯ˈa	0.337
ɔ	o	0.173
ɡ	ɡ	0.732
ɡ	-	0.149
ɡ	b	0.098
ɣ	k	0.795
ɣ	ɡ	0.119
ɣ	p	0.085
ɨ	e	0.554
ɨ	ə	0.159
ɨ	i	0.124
ɨ	-	0.078
ɫ	l	0.443
ɫ	r	0.389
ɫ	e	0.108
ɫ	i	0.06
ɲ	n	0.691
ɲ	m_n	0.159
ɲ	ʧʲ	0.071
ɾ	r	0.879
ɾ	-	0.103
ʁ	r	1.0
ʃ	s	0.369
ʃ	-	0.17
ʃ	ʧ	0.101
ʃ	v	0.097
ʃ	k	0.076
ʃ	p	0.062
ʎ	-	0.357
ʎ	kʲ	0.26
ʎ	n	0.172
ʎ	k	0.147
ʎ	j	0.065
ʒ	ʤ	0.399
ʒ	ʒ	0.226
ʒ	n_ʤ	0.216
ʒ	ŋ	0.086
ʒ	ʃ	0.072
ˈa	ˈa	0.857
ˈa	ˈe	0.065
ˈe	ˈe	0.28
ˈe	ˈi	0.124
ˈe	d_ˈe	0.112
ˈe	e	0.112
ˈe	t_e	0.112
ˈe	-	0.107
ˈe	e̯ˈa	0.07
ˈe	ˈa	0.061
ˈẽ	ˈi	0.479
ˈẽ	ˈɨ	0.249
ˈẽ	ˈe	0.125
ˈẽ	ɨ	0.092
ˈẽ	ˈu	0.055
ˈi	ˈi	0.652
ˈi	ˈu	0.1
ˈi	j	0.069
ˈi	-	0.053
ˈĩ	ˈi	0.664
ˈĩ	e	0.336
ˈo	ˈo	0.443
ˈo	o̯ˈa	0.262
ˈo	ˈu	0.228
ˈo	ˈa	0.053
ˈõ	ˈu	1.0
ˈu	ˈu	0.777
ˈu	ˈo	0.14
ˈũ	ˈu	1.0
ˈɐ	ˈe	0.262
ˈɐ	ˈi	0.262
ˈɐ	ˈa	0.208
ˈɐ	-	0.087
ˈɐ	ˈɨ	0.076
ˈɐ	ˈu	0.057
ˈɐ̃	ˈɨ	0.447
ˈɐ̃	ˈi	0.258
ˈɐ̃	-	0.216
ˈɐ̃	ˈa	0.078
ˈɔ	o̯ˈa	0.545
ˈɔ	ˈo	0.317
ˈɔ	ˈu	0.098
ˈɛ	ˈe	0.438
ˈɛ	ˈa	0.27
ˈɛ	j	0.174
ˈɛ	e̯ˈa	0.097
ˈɨ	ˈe	0.5
ˈɨ	ˈə	0.5
β	p	0.705
β	t	0.177
β	-	0.095
