Luxembourgish	Gothic	probability
b	b	1.0
d	d	0.518
d	θ	0.475
f	f	0.514
f	p	0.161
f	f_s	0.152
f	p_s	0.11
f	-	0.055
h	h	1.0
j	j	1.0
k	ɡ_s	0.461
k	h	0.204
k	k	0.204
kʰ	k	0.944
kʰ	-	0.051
l	l	0.888
l	lː	0.109
m	m	0.714
m	m_s	0.252
m	-	0.047
n	n	0.876
n	nː	0.054
n	-	0.049
p	p	0.259
p	β	0.067
s	t	0.455
s	s	0.33
s	t_s	0.201
t	t	0.258
t	θ	0.178
t	θ_s	0.113
t	d_s	0.091
t	t_s	0.091
v	w	0.583
v	β	0.118
v	ʍ	0.118
v	f	0.089
v	h	0.074
w	w	1.0
z	s	1.0
ŋ	ŋ	0.56
ŋ	h	0.312
ŋ	n	0.122
ɐ	r	0.337
ɐ	a_r	0.197
ɐ	oː	0.158
ɐ	-	0.141
ɐ	r_a	0.06
ɕ	k	0.416
ɕ	s	0.298
ɕ	h	0.177
ɕ	x	0.09
ə	a	0.517
ə	-	0.2
ə	u	0.139
ə	oː	0.046
ə	j	0.046
ɡ	ɡ	0.874
ɡ	-	0.114
ʀ	r	0.79
ʀ	r_n	0.129
ʀ	-	0.074
ʃ	s	0.59
ʃ	s_k	0.161
ʃ	k_s	0.135
ʃ	-	0.063
ʃ	z	0.045
ʦ	t	0.877
ʦ	ɣ	0.121
ˈaː	ˈa	0.525
ˈaː	ˈa_r	0.206
ˈaː	ˈɔ	0.13
ˈaː	ˈɔː	0.13
ˈe	ˈiu̯	0.304
ˈe	ˈiː	0.304
ˈe	ˈi	0.178
ˈe	ˈɛ	0.113
ˈeː	ˈɛː	0.715
ˈeː	ˈi_ɡ	0.28
ˈi	ˈu	0.392
ˈi	ʍ	0.229
ˈi	ˈi	0.229
ˈiə̯	ˈa	0.067
ˈiː	ˈɛ	0.613
ˈiː	r	0.156
ˈiː	ˈi	0.099
ˈiː	w	0.069
ˈo	ˈu	0.864
ˈo	ˈuː	0.135
ˈoː	ˈa	0.536
ˈoː	ˈeː	0.441
ˈu	ˈoː	0.407
ˈu	ˈa	0.308
ˈu	ˈu	0.137
ˈu	ˈuː	0.096
ˈuə̯	ˈɔː	0.386
ˈuə̯	ˈa	0.197
ˈuː	ˈɔ	1.0
ˈæ	ˈa	1.0
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.492
ˈæːɪ̯	ˈiː_s	0.317
ˈæːɪ̯	ˈiu̯	0.141
ˈæːʊ̯	ˈuː	1.0
ˈɑ	ˈa	0.448
ˈɑ	ˈi	0.386
ˈɑ	ˈeː	0.073
ˈɑ	ˈu	0.073
ˈɑ	ˈɔ	0.039
ˈɑɪ̯	ˈu	0.225
ˈɑɪ̯	ˈeː	0.18
ˈɑɪ̯	ˈiː	0.17
ˈɑɪ̯	ˈoː	0.114
ˈɑɪ̯	ˈiu̯	0.08
ˈɔ	ˈu	1.0
ˈə	ˈi	0.844
ˈə	ˈu	0.091
ˈə	ˈa	0.065
ˈəɪ̯	ˈiu̯	0.415
ˈəɪ̯	ˈɔː	0.322
ˈəɪ̯	w_s	0.191
ˈəɪ̯	w	0.056
ˈəʊ̯	ˈɔ	0.326
ˈəʊ̯	ˈɔː	0.326
ˈəʊ̯	ˈoː	0.187
ˈəʊ̯	ˈeː	0.126
ˈɛ	ˈɛː	0.31
ˈɛ	ˈɛ	0.27
ˈɛ	ˈa	0.092
ˈɛː	ˈɛ	1.0
ˈʊ	ˈoː	0.758
ˈʊ	ˈu	0.137
ˈʊɪ̯	ˈɔː	0.509
χ	h	0.74
χ	x	0.145
