German	English	probability
a	-	1.0
b	b	0.691
b	v	0.271
d	θ	0.555
d	d	0.309
d	ð	0.136
eː	ˈiː	1.0
f	f	0.661
f	p	0.277
h	h	1.0
j	j	1.0
k	ʤ	0.427
k	k	0.402
k	f	0.081
k	ʧ	0.076
kʰ	kʰ	0.472
kʰ	ʧ	0.451
kʰ	-	0.077
l	l	0.503
l	ɫ	0.485
m	m	0.921
m	-	0.079
n	n	0.868
n	-	0.116
p	f	0.925
p	p	0.075
p͡f	pʰ	0.574
p͡f	d	0.272
p͡f	p	0.154
s	s	0.502
s	t	0.498
t	d	0.639
t	θ	0.165
t	t	0.155
tʰ	d	0.939
tʰ	θ	0.061
v	w	0.972
x	k	0.44
x	ʧ	0.231
x	-	0.197
x	f	0.132
z	s	1.0
ç	k	0.841
ç	ʧ	0.159
ŋ	ŋ	1.0
ɐ	ə	0.532
ɐ	ˈɜː	0.217
ɐ	ˈɔː	0.116
ɐ	-	0.092
ə	-	0.697
ə	ə	0.233
ə	əʊ̯	0.07
ɡ	ɡ	0.491
ɡ	-	0.36
ɡ	j	0.103
ɪ	ɪ	0.93
ɪ	ŋ	0.07
ʁ	ɹ	0.858
ʁ	-	0.118
ʃ	ʃ	0.643
ʃ	s	0.357
ʦ	tʰ	0.647
ʦ	t	0.308
ˈa	ˈæ	0.441
ˈa	ˈɒ	0.124
ˈa	ˈeɪ̯	0.103
ˈa	ˈɐ	0.062
ˈa	ˈaɪ̯	0.052
ˈaɪ̯	ˈaɪ̯	0.433
ˈaɪ̯	ˈəʊ̯	0.264
ˈaɪ̯	ˈe	0.06
ˈaɪ̯	ˈiː	0.053
ˈaʊ̯	ˈiː	0.439
ˈaʊ̯	ˈaʊ̯	0.349
ˈaʊ̯	ˈɐ	0.107
ˈaʊ̯	ˈaɪ̯	0.106
ˈaː	ˈeɪ̯	0.266
ˈaː	ˈiː	0.216
ˈaː	ˈɑː	0.174
ˈaː	ˈuː	0.133
ˈaː	ˈɛ	0.057
ˈaː	ˈæ	0.056
ˈaː	ˈəʊ̯	0.056
ˈeː	ˈəʊ̯	0.314
ˈeː	ˈeɪ̯	0.198
ˈeː	ˈɪ	0.174
ˈeː	ˈe	0.164
ˈeː	ˈiː	0.134
ˈiː	ˈiː	0.417
ˈiː	ˈɪ	0.275
ˈiː	ˈaɪ̯	0.093
ˈiː	ˈuː	0.081
ˈiː	-	0.075
ˈoː	ˈɐ	0.489
ˈoː	ˈe	0.149
ˈoː	ˈuː	0.117
ˈoː	ˈaɪ̯	0.072
ˈoː	ˈeɪ̯	0.053
ˈoː	ˈaʊ̯	0.052
ˈuː	ˈʊ	0.251
ˈuː	ˈuː	0.228
ˈuː	ˈaʊ̯	0.2
ˈuː	ˈɐ	0.182
ˈuː	ˈiː	0.139
ˈyː	ˈiː	0.863
ˈyː	-	0.098
ˈøː	ˈiː	0.574
ˈøː	ˈɪ	0.325
ˈøː	ˈe	0.101
ˈœ	ˈe	1.0
ˈɔ	ˈɔː	0.282
ˈɔ	ˈɐ	0.18
ˈɔ	ˈʊ	0.13
ˈɔ	ˈɒ	0.11
ˈɔ	ˈəʊ̯	0.096
ˈɔ	ˈe	0.063
ˈɔ	-	0.061
ˈɔʏ̯	ˈaɪ̯	0.302
ˈɔʏ̯	ˈiː	0.301
ˈɔʏ̯	ˈe	0.175
ˈɔʏ̯	j	0.077
ˈɔʏ̯	ˈaʊ̯	0.077
ˈɔʏ̯	ˈɪ	0.067
ˈɛ	ˈe	0.603
ˈɛ	ˈɪ	0.128
ˈɛ	ˈiː	0.099
ˈɛː	ˈɪ	0.66
ˈɛː	ˈɛ	0.21
ˈɛː	ˈiː	0.13
ˈɪ	ˈɪ	0.679
ˈɪ	ˈaɪ̯	0.194
ˈɪ	ˈiː	0.064
ˈʊ	ˈɐ	0.638
ˈʊ	ˈaʊ̯	0.174
ˈʊ	-	0.145
ˈʏ	ˈɪ	0.698
ˈʏ	ˈaɪ̯	0.26
