Upper Sorbian	Upper Sorbian	probability
ʒ̊	ʒ	1.0
ʀ_#>	r_#>	1.0
ʀ	r	1.0
ɲ	nʲ	1.0
z̥	-	1.0
z	z	1.0
x_#>	ɦ_#>	1.0
x	x	1.0
w_#>	ɫ_#>	1.0
t_#>	t_#>	1.0
s_#>	s_#>	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_#>	lʲ_#>	1.0
kʲ	k_e	1.0
k_#>	k_#>	1.0
j	-	1.0
d̥_#>	d_#>	1.0
d_w	ɫ	1.0
d	d	1.0
b̥_#>	b_#>	1.0
bʲ	b	1.0
b	b	1.0
<#_ʨ	<#_t	1.0
<#_ɥ	<#_ʋ	1.0
<#_x	<#_x	1.0
<#_w_ɔ	<#_ɔ	1.0
<#_t	<#_t	1.0
<#_n	<#_nʲ	1.0
#>	j_#>	1.0
k	k	0.867
ʥ	d	0.833
ɦ	ɦ	0.824
t	t	0.786
ɥ	ʋʲ	0.778
ʒ	ʒ	0.75
s	s	0.75
<#_j	<#_j	0.75
ɔ_#>	ɔ_#>	0.733
ʀʲ	r	0.7
i	ɪ	0.647
ɔ	ɔ	0.63
ʨ	tʲ	0.611
o	i	0.6
mʲ	m	0.6
l	lʲ	0.6
<#_ʀ	<#_r	0.6
<#_w	<#_ʋʲ	0.6
u	u	0.55
a	ɑ	0.531
ʧ	ʧ	0.5
ʦ	ʦʲ	0.5
ʦ	-	0.5
pʲ	pʲ	0.5
pʲ	p	0.5
e	i_ˈ	0.48
ɪ	e_j	0.452
w	ɫ	0.429
mʲ	mʲ	0.4
l	ɫ	0.4
<#_ʀ	<#	0.4
<#_w	<#	0.4
ɛ	i	0.391
ʨ	t_e	0.389
ɪ	ɪ	0.387
a	ɐ	0.367
ɛ	ɛ	0.348
w	ʋ	0.314
ʀʲ	rʲ	0.3
u	ʊ	0.3
ʃ	ʃ	0.286
ʃ	r	0.286
ʃ	-	0.286
ɔ_#>	#>	0.267
o	ɔ_ˈ	0.267
ʧ	ʧʲ	0.25
ʧ	ʤ	0.25
ʒ	ʒʲ	0.25
s	sʲ	0.25
<#_j	<#	0.25
ɥ	ʋ	0.222
t	-	0.214
w	w	0.2
e	ɛ_ˈ	0.2
i	j	0.176
i	e	0.176
ɔ	ɛ	0.174
ʥ	dʲ	0.167
ɪ	-	0.161
ɔ	i_ˈ	0.152
u	-	0.15
ʃ	ʃʲ	0.143
o	ɔ	0.133
k	kʲ	0.133
ɛ	ɔ	0.13
ɛ	ɐ	0.13
e	ɔ_ˈ	0.12
e	i	0.12
ɦ	-	0.118
e	-	0.08
a	a	0.061
ɦ	ɦʲ	0.059
w	ʋ_e	0.057
