Old Church Slavonic	Old Church Slavonic	probability
ˈ_#>	ˈ_#>	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʊ_ˈ	o_ˈ	1.0
ʊ_#>	#>	1.0
ʃ	ʧ	1.0
ɯ_ˈ	ɨ_ˈ	1.0
ɪ_ˈ	e_ˈ	1.0
ɡ_ʊ_#>	x_#>	1.0
ɛ̃	æ	1.0
ɛ_ˈ	ɵ_ˈ	1.0
ɛ_l	æ_lʲ	1.0
ɔ̃	u	1.0
ɔ_d	a_d	1.0
ɑ_ˈ	a	1.0
ɑ_#>	a_#>	1.0
v_ʊ	v_ɨ	1.0
u_ˈ	u	1.0
t_ʊ_#>	t_#>	1.0
t_ɪ	ʦʲ	1.0
t_i	ʦʲ	1.0
s_ʊ_#>	s_#>	1.0
rʲ	r	1.0
r_ʊ_#>	r_#>	1.0
r_ɪ	ɵ	1.0
n_ɪ	nʲ	1.0
lʲ	lʲ	1.0
l_ʊ_#>	ɫ_#>	1.0
l_ʊ	ɫ_ɨ	1.0
l_ɪ_#>	lʲ_#>	1.0
l_ɪ	o	1.0
l_ɑ	ɫ_o	1.0
i_ˈ	i_ˈ	1.0
i	ɨ	1.0
d_ɪ	ʤ̥	1.0
b_ʊ	b̥	1.0
a	a	1.0
<#_x	<#_x	1.0
<#_v_ʊ	<#_w	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
<#	<#_v	1.0
#>	ˈ_#>	1.0
ɡ	ɣ	0.938
ˈ	ˈ	0.929
ɑ	a	0.875
n	n	0.875
r	r	0.85
ɪ	-	0.846
ɔ_#>	a_#>	0.833
t	t	0.833
ɔ	o	0.8
k	k	0.8
d_ʊ	d̥	0.8
<#_t	<#_ʦʲ	0.75
u	u	0.667
s	s	0.667
b	b	0.636
ʒ	ʐ	0.625
m	m	0.619
æ	e	0.593
j	j	0.571
<#_ɔ	<#_a	0.571
v	vʲ	0.565
l	ɫ	0.55
x	xʲ	0.5
x	x	0.5
p	pʲ	0.5
p	p	0.5
d	ʣʲ	0.467
ɛ	a	0.45
z	zʲ	0.438
z	z	0.438
v	v	0.435
j	-	0.429
<#_ɔ	<#_v_o	0.429
ʊ	ɨ	0.423
d	d	0.4
m	mʲ	0.381
ʒ	ʐ̊	0.375
b	bʲ	0.364
ɛ	e	0.35
u	ʉ	0.333
s	sʲ	0.333
ʊ	i	0.269
<#_t	<#_t	0.25
æ	a	0.222
ɔ	a	0.2
l	ʌ_ɫ	0.2
k	kʲ	0.2
d_ʊ	d̥ʲ	0.2
ɔ_#>	#>	0.167
t	-	0.167
ʊ	a	0.154
ʊ	-	0.154
ɪ	o	0.154
r	-	0.15
l	lʲ	0.15
d	-	0.133
z	z̥	0.125
n	nʲ	0.125
æ	æ	0.111
ɛ	ɨ	0.1
ɛ	æ	0.1
l	-	0.1
æ	ɛ	0.074
ˈ	-	0.071
ɡ	ɣʲ	0.062
ɑ	æ	0.062
ɑ	o	0.062
