Old Church Slavonic	Old Church Slavonic	probability
ˈ_#>	ˈ_#>	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʊ_ˈ	o_ˈ	1.0
ʊ_t	a_ʦʲ	1.0
ʊ_#>	#>	1.0
ʃ	ʧ	1.0
ɯ_ˈ	ɨ_ˈ	1.0
ɪ_ˈ	e_ˈ	1.0
ɪ_#>	#>	1.0
ɡ_ʊ_#>	x_#>	1.0
ɛ̃	æ	1.0
ɛ_l	æ_lʲ	1.0
ɔ̃	u	1.0
ɔ_d	a_d	1.0
ɔ_#>	a_#>	1.0
ɑ_#>	a_#>	1.0
v_ʊ	v_ɨ	1.0
u_ˈ	u	1.0
u	u	1.0
t_ʊ_#>	t_#>	1.0
t_ɪ	ʦʲ	1.0
t_ɔ	t_o	1.0
t_i	ʦʲ	1.0
t	t	1.0
s_ʊ_#>	s_#>	1.0
rʲ	r	1.0
r_ʊ_#>	r_#>	1.0
r_ɪ	ɵ	1.0
nʲ_ɪ	nʲ	1.0
n_ɪ	nʲ	1.0
l_ʊ_#>	ɫ_#>	1.0
l_ɪ_#>	lʲ_#>	1.0
l_ɪ	o	1.0
l_ɑ	ɫ_o	1.0
k_ʊ_#>	k_#>	1.0
i_ˈ	i_ˈ	1.0
i	ɨ	1.0
d_ʊ	d̥	1.0
d_ɪ	ʤ̥	1.0
b_ʊ	b̥	1.0
b	b	1.0
a	a	1.0
<#_x	<#_x	1.0
<#_v_ʊ	<#_w	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#_d	<#_d	1.0
<#_b	<#_bʲ	1.0
<#	<#_v	1.0
#>	ˈ_#>	1.0
ɡ	ɣ	0.938
ˈ	ˈ	0.909
n	n	0.875
r	r	0.85
k	k	0.833
ɑ	a	0.81
ɪ	-	0.8
ɔ	o	0.783
<#_t	<#_ʦʲ	0.75
s	s	0.667
l_ʊ	ɫ_ɨ	0.667
j	j	0.667
æ	e	0.654
ɑ_ˈ	a_ˈ	0.643
ʒ	ʐ	0.625
m	m	0.619
l	ɫ	0.611
ɛ_ˈ	ɵ_ˈ	0.6
<#_ɔ	<#_a	0.571
v	vʲ	0.565
p	p	0.556
x	xʲ	0.5
x	x	0.5
ɛ	a	0.45
p	pʲ	0.444
z	zʲ	0.438
z	z	0.438
d	ʣʲ	0.438
v	v	0.435
<#_ɔ	<#_v_o	0.429
ʊ	ɨ	0.423
ɛ_ˈ	ˈ	0.4
m	mʲ	0.381
ʒ	ʐ̊	0.375
d	d	0.375
ɛ	e	0.35
s	sʲ	0.333
l_ʊ	o	0.333
j	-	0.333
ʊ	i	0.269
<#_t	<#_t	0.25
ʊ	-	0.231
l	ʌ_ɫ	0.222
ɔ	a	0.217
ɑ_ˈ	a	0.214
ɪ	o	0.2
l	lʲ	0.167
k	kʲ	0.167
æ	a	0.154
r	-	0.15
ɑ_ˈ	ˈ	0.143
z	z̥	0.125
n	nʲ	0.125
d	-	0.125
æ	æ	0.115
ɛ	ɨ	0.1
ɛ	æ	0.1
ɑ	o	0.095
ɑ	a_ˈ	0.095
ˈ	-	0.091
ʊ	a	0.077
æ	ɛ	0.077
ɡ	ɣʲ	0.062
d	d̥ʲ	0.062
