Swiss German	Eastphalian	probability
χː_tː	x_t	1.0
χː_#>	k_#>	1.0
ˈøː	-	1.0
ˈøi̯	-	1.0
ˈæi̯_#>	ˈɛɪ̯_n_#>	1.0
ˈæi̯	ˈɛɪ̯	1.0
ˈyə̯	ˈɔʏ̯	1.0
ˈuː	ˈuː	1.0
ˈiə̯_χː	ˈɪ_ç	1.0
ˈiə̯	ˈɛɪ̯	1.0
ˈeː	ˈɛɪ̯	1.0
ˈe	-	1.0
ʦ	t	1.0
ʋ_ˈu	v	1.0
ɣ̊	k	1.0
ə_r	ɐ	1.0
ŋ_#>	n_d̥_#>	1.0
ŋ	ŋ	1.0
z̥_#>	z̥_#>	1.0
z̥	z	1.0
v̥	f	1.0
tː_ə	n	1.0
tː_#>	#>	1.0
sː_ə	t_n	1.0
r_ʦ	ɐ_t	1.0
p͡f	p	1.0
n_ə	nː	1.0
m_ˈi	m	1.0
m	m	1.0
l	l	1.0
j	j	1.0
h	h	1.0
fː_ə	b_m	1.0
d̥_#>	#>	1.0
b̥	b	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
n	n	0.913
#>	ə_#>	0.905
ˈi	ˈɪ	0.895
sː	t	0.867
ʋ	v	0.833
ˈuə̯	ˈaʊ̯	0.778
kː	k	0.778
χː	k	0.75
ˈiː	ˈiː	0.75
ˈau̯	ˈeo̯	0.667
ɡ̊	ɣ	0.667
fː	p	0.667
ʃː	ʃ	0.636
ʒ̊	s	0.611
i	ɪ	0.6
b̥_#>	f_#>	0.6
ɡ̊_#>	ç_#>	0.571
ˈɒ	ˈa	0.567
ˈɒː	ˈɒː	0.538
ˈø	ˈœ	0.5
ˈø	-	0.5
ˈæː	ˈɛɪ̯	0.5
ˈæː	-	0.5
ˈy	ˈʏ	0.5
ˈoː	ˈeo̯	0.5
ˈo	ˈɔ	0.5
ɡ̊_ə	ŋ	0.5
ɡ̊_ə	n	0.5
n_d̥	nː	0.5
n_d̥	n	0.5
d̥	d	0.5
b̥_ə	v_n	0.5
b̥_ə	v	0.5
r	ɐ	0.489
ˈyː	ˈɛɪ̯	0.467
r	r	0.467
ə	n	0.462
ˈu	ˈʊ	0.438
ɡ̊_#>	#>	0.429
tː	d	0.419
i	ə	0.4
b̥_#>	#>	0.4
ˈæ	ˈɛ	0.389
ʒ̊	ʃ	0.389
d̥	d̥	0.375
ʃː	s	0.364
ə	ə	0.359
ˈyː	-	0.333
ˈo	-	0.333
ˈau̯	-	0.333
ɡ̊	j	0.333
fː	f	0.333
ˈɒː	ˈa	0.308
tː	t	0.302
ˈy	-	0.3
ˈoː	ˈoː	0.286
tː	d̥	0.279
χː	x	0.25
ˈu	ˈɔ	0.25
ˈiː	-	0.25
ˈuə̯	ˈʊ	0.222
kː	ɡ	0.222
ˈoː	ˈɒː	0.214
ˈyː	ˈyː	0.2
ˈy	ˈɪ	0.2
ˈu	-	0.188
ə	-	0.179
ˈæ	ˈɛː	0.167
ˈæ	ˈeː	0.167
ˈæ	ˈa	0.167
ˈo	ˈʊ	0.167
ʋ	w	0.167
ˈɒː	-	0.154
ˈɒ	ˈɒː	0.133
sː	-	0.133
ˈu	ˈʏ	0.125
d̥	-	0.125
ˈæ	-	0.111
ˈi	-	0.105
ˈɒ	ˈɛː	0.1
ˈɒ	ˈɔ	0.1
ˈɒ	-	0.1
#>	d̥_#>	0.095
n	ˈɪ_n	0.087
