Romanian	Corsican	probability
a	a	0.757
a	-	0.153
a	ˈa	0.084
b	b	0.795
b	-	0.099
b	p	0.065
b	ɡ	0.058
d	d	1.0
e	e	0.432
e	-	0.259
e	u	0.12
e	a	0.075
e_r	e	1.0
e̯ˈa	ˈɛ	0.598
e̯ˈa	ˈa	0.229
e̯ˈa	ˈe	0.129
f	f	1.0
i	i	0.463
i	a	0.224
i	ˈa	0.112
i	ˈe	0.072
i	-	0.069
i	ˈɛ	0.069
j	-	0.529
j	ɲ	0.135
j	j	0.115
j	ʎ	0.071
j	ˈe	0.066
j	ˈi	0.066
j_e	a	0.518
j_ˈe	ˈe	1.0
k	k	0.823
k	c	0.053
kʲ	c_u	0.683
kʲ	c	0.233
l	l	0.826
l	j	0.146
m	m	0.753
m	ɲ	0.082
m	m_u	0.07
m	-	0.06
n	n	0.682
n	-	0.11
n	n_u	0.102
n	ŋ	0.077
n_ə	e	0.74
n_ə	a	0.15
nʲ	i	0.518
o	u	0.53
o	o	0.259
o	ˈɔ	0.084
o̯ˈa	ˈɔ	0.752
o̯ˈa	ˈo	0.19
p	p	0.614
p	t	0.2
p	p_u	0.075
p_j	p	1.0
r	r	0.662
r	-	0.201
r	l	0.065
r	l_u	0.057
r_e	e	0.871
r_e	a	0.103
s	s	0.804
s	z	0.074
s	ʃ	0.056
t	t	0.646
t	t_u	0.174
t	-	0.059
u	u	0.552
u	o	0.126
u	ˈɔ	0.116
u	ˈu	0.093
u	u_n	0.061
v	v	1.0
w	j	0.317
w	v_u	0.151
w	u	0.133
w	ʎ	0.115
w	ʧ	0.09
w	v	0.088
w	a	0.074
z	d	0.464
z	-	0.188
z	v	0.182
z	ʣ	0.089
ŋ	ŋ	0.608
ŋ	-	0.274
ə	a	0.738
ə	e	0.124
ɡ	ɡ	0.622
ɡ	ɟ	0.251
ɡ	-	0.11
ɨ	-	0.488
ɨ	ˈa	0.208
ɨ	ˈɛ	0.192
ʃ	s	0.403
ʃ	ʃ	0.281
ʃ	-	0.12
ʃ	ʒ	0.12
ʃ	r	0.073
ʒ	ɟ	0.758
ʒ	j	0.192
ʤ	ɟ	0.658
ʤ	-	0.12
ʤ	ʤ	0.12
ʤ	ɡ	0.096
ʦ	t	0.411
ʦ	ʦ	0.213
ʦ	ɟ	0.14
ʦ	-	0.104
ʦ	ʧ	0.058
ʦʲ	t	0.268
ʧ	ʧ	0.561
ʧ	-	0.138
ʧ	k	0.091
ʧ	d	0.071
ʧ	c	0.06
ʧ	s	0.054
ʧʲ	k	0.342
ʧʲ	z	0.154
ʧʲ	t	0.134
ˈa	ˈa	0.808
ˈa	-	0.062
ˈa	a	0.052
ˈe	ˈɛ	0.519
ˈe	ˈe	0.238
ˈe	-	0.141
ˈe	ˈi	0.059
ˈi	ˈi	0.431
ˈi	-	0.228
ˈi	ˈɛ	0.228
ˈi	ˈi_v	0.054
ˈi	ˈe	0.054
ˈo	ˈɔ	0.501
ˈo	ˈo	0.286
ˈo	ˈu	0.163
ˈu	ˈɔ	0.448
ˈu	ˈu	0.35
ˈu	ˈo	0.155
ˈə	ˈɛ	0.594
ˈə	a	0.392
ˈɨ	ˈa	0.734
ˈɨ	ˈɛ	0.186
ˈɨ	ˈi	0.071
