Corsican	Sassarese	probability
ˈɛ_r_e_#>	ˈe_#>	1.0
ˈɔ_r	ˈɔ	1.0
ˈo	ˈo	1.0
ˈe	ˈe	1.0
ˈa_k	ˈa_ɡ	1.0
ˈa_#>	ˈa_i_#>	1.0
ˈa	ˈa	1.0
ʧ	ʦ	1.0
ʦː	ʦː	1.0
ʦ	ʦː	1.0
ʤ	ʤ	1.0
ʎ	ʎː	1.0
ɲ	ɲː	1.0
ɡ	ɡ	1.0
ŋ_ɟ	ɲː	1.0
ŋ	ŋ	1.0
z	z	1.0
w_e	u	1.0
v_u	β_u	1.0
u_t	u_d	1.0
u_l	u_r	1.0
tː	tː	1.0
sː	sː	1.0
s_p	pː	1.0
rː	rː	1.0
r_s	sː	1.0
r_n	rː	1.0
o	u	1.0
nː	nː	1.0
n	n	1.0
m_ˈɔ	m_u	1.0
l_u	r_u	1.0
kː	kː	1.0
j	j	1.0
i_n	i_n	1.0
i_k	i_ɡː	1.0
f	f	1.0
e_r	a_r	1.0
d_u	d_u	1.0
d	d	1.0
b	b	1.0
a_t	a_dː	1.0
a_n	a_n	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
<#	<#_i	1.0
u	u	0.943
a	a	0.925
ˈi	ˈi	0.923
ˈu	ˈu	0.9
p	p	0.895
i	i	0.895
e	i	0.885
e_#>	ˈi_#>	0.833
ɟ	ʤ	0.818
s	s	0.81
ˈɔ	ˈɔ	0.796
r	r	0.787
k	k	0.761
m	m	0.759
t	t	0.744
ˈɛ	ˈɛ	0.732
lː	dː	0.692
l	l	0.679
c	ʧː	0.667
w	w	0.6
v	v	0.567
ʃ	ʃː	0.5
ʃ	i_ɬ	0.5
w	-	0.4
v	β	0.333
c	ʧ	0.333
t	dː	0.256
m	mː	0.241
s	ɬ	0.19
ɟ	ʤː	0.182
l	r	0.179
e_#>	#>	0.167
lː	r	0.154
lː	lː	0.154
ˈɛ	ˈe	0.146
k	ɡː	0.13
ˈɔ	ˈo	0.122
p	bː	0.105
i	ˈi	0.105
ˈu	ˈo	0.1
v	b	0.1
r	j	0.085
ˈi	i	0.077
e	u	0.077
ˈɛ	ˈi	0.073
l	ɬ	0.071
l	-	0.071
k	xː	0.065
r	ɬ	0.064
r	-	0.064
u	i	0.057
