Dutch	German	probability
<#_b	<#_b	1.0
<#_j	<#_j	1.0
<#_k	<#_kʰ	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p͡f	1.0
<#_s	<#_ʃ	1.0
<#_s_χ	<#_ʃ	1.0
<#_t	<#_ʦ	1.0
<#_v	<#_f	1.0
<#_z	<#_z	1.0
<#_z_ʋ	ʃ_v	1.0
<#_ɦ	<#_h	1.0
<#_ɫ	<#_l	1.0
<#_ɾ	<#_ʁ	1.0
<#_ʋ	<#_v	1.0
<#_ˈoː	<#_ˈoː	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ˈɔ	<#_ˈʊ	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈɛi̯	<#_ˈaɪ̯	1.0
<#_ˈɪ	<#_ˈɪ	1.0
<#_χ	<#_ɡ	1.0
d	-	1.0
d_ə_n	t_n	1.0
d_ə_ɾ	t_ɐ	1.0
d̥_#>	d̥_#>	1.0
f_#>	f_#>	1.0
k_ə_n	k_n	1.0
m	m_ə	1.0
m_#>	m_#>	1.0
m_ə	m_ə	1.0
n_d	n_d	1.0
p	p͡f	1.0
p_#>	f_#>	1.0
p_ə_n	f_n	1.0
s	k_s	1.0
s_t	s_t	1.0
t_#>	s_#>	1.0
t_ə_n	s_n	1.0
v_ə_n	b_n	1.0
v_ə_ɾ	b_ɐ	1.0
v̥	b	1.0
v̥_#>	b̥_#>	1.0
z	z	1.0
z̥	z_ə	1.0
ə_χ	ɪ_ç	1.0
ɪ	ɪ	1.0
ɫ	l	1.0
ɫ_ə	l	1.0
ɫ_ˈaː	l_ˈaː	1.0
ɾ_#>	ɐ_#>	1.0
ɾ_d̥	ɐ_t	1.0
ɾ_t	ɐ_ʦ	1.0
ɾ_ˈɑu̯	ʁ_ˈaʊ̯	1.0
ɾ_ˈʏ	ʁ_ˈʏ	1.0
ʋ	v	1.0
ˈaː_p	ˈa_f	1.0
ˈeː_n	ˈaɪ̯_n	1.0
ˈoː_d̥	ˈoː_t	1.0
ˈoː_m	ˈɔ_m	1.0
ˈoː_ɾ	ˈɔ_ɐ	1.0
ˈyː	ˈɔʏ̯	1.0
ˈɑ_n	ˈa_n	1.0
ˈɑu̯	ˈa_l	1.0
ˈɔ_n	ˈʊ_n	1.0
ˈɔ_ɫ	ˈɔ_l	1.0
ˈɔ_ɾ	ˈʊ_ɐ	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɛ_ɫ	ˈɛ_l	1.0
ˈɛi̯	ˈaɪ̯	1.0
ˈɛi̯_#>	ˈiː_ɐ	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈʏ_χ	ˈʏ_k	1.0
χ	-	1.0
χ_ə_n	ɡ_n	1.0
χ_ˈɪ	ˈɪ	1.0
ˈaː	ˈeː	0.1
ˈaː	ˈoː	0.1
ˈoː	ˈyː	0.1
ˈœy̯	ˈɔʏ̯	0.231
ˈɑ	ˈaː	0.231
k_#>	ç_ə	0.2
k_#>	k_#>	0.2
s_#>	ʃ_#>	0.312
ˈeː	ˈɛ	0.2
ˈi	ˈiː	0.812
ˈoː	ˈøː	0.2
ˈu	ˈuː	0.812
χ_#>	ɡ_ə	0.2
χ_#>	k_ə	0.2
n	n	0.333
t	t	0.643
ə_n	ə	0.3
ˈɛ	-	0.143
ˈɛ	ˈeː	0.143
ˈɛ	ˈaː	0.143
<#_d	<#_d	0.484
d̥	-	0.154
k	x_ə	0.4
ŋ	ç	0.154
ŋ	ŋ_ə	0.154
ɾ	ʁ	0.714
ˈeː	ˈeː	0.4
ˈeː	ˈaɪ̯	0.4
ˈɑ	ˈa	0.654
ˈɛ	ˈɪ	0.214
n	n_#>	0.625
s_#>	s_#>	0.5
ŋ	ŋ	0.385
ɫ_#>	l_ə	0.25
ɫ_#>	l_#>	0.75
ˈaː	ˈa	0.15
ˈaː	ˈɛː	0.15
ˈaː	ˈaː	0.5
ˈoː	ˈaʊ̯	0.35
ˈoː	ˈoː	0.35
ˈɑ	ˈɛ	0.115
ˈɔ	ˈɔ	0.5
ˈɔ	ˈʊ	0.5
ˈɪ	ˈaɪ̯	0.125
ˈɪ	ˈɪ	0.875
χ_t	x_t	0.5
χ_t	ç_t	0.5
<#_d	<#_tʰ	0.516
d̥	t	0.846
k	x	0.6
k_#>	ç_#>	0.6
ɾ	ɐ	0.286
χ_#>	ɡ̊_#>	0.6
t	ʦ	0.357
ə	ə	0.077
ə	ɡ	0.077
ə	d	0.077
ə_n	ə_n	0.7
ˈɛ	ˈɛ	0.357
s_#>	ə	0.188
ŋ	ŋ_#>	0.308
ˈi	ˈeː	0.188
ˈu	ˈyː	0.188
ə	-	0.769
ˈœy̯	ˈaʊ̯	0.769
