Xiang	Xiang	probability
ʦʰ	ʦʰ	1.0
ʐ	j	1.0
ʂ	s_ɛː	1.0
ɸ	f	1.0
ɥ	j	1.0
ɕ_j	ʃ	1.0
ɒ	o	1.0
æ	œː	1.0
¹³	²¹	1.0
³³	⁵⁵	1.0
²¹	²²	1.0
w_ə	m_ɐ	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	p	1.0
õ	-	1.0
nʲ	-	1.0
m	m	1.0
l̃	n	1.0
l	l	1.0
j_ə	ɐ	1.0
j_ɒ	iː	1.0
ẽ	n	1.0
<#_i	<#_j_ɐ	1.0
<#	<#_ʧʰ	1.0
k	k	0.8
z̩	iː	0.778
w	w	0.769
⁴⁵	³³	0.75
ʦ	ʦ	0.75
y	ɵ	0.75
x	h	0.75
t	t	0.714
o	ɔː	0.714
ʨ	k	0.667
ɕ	s	0.667
kʰ	h	0.667
j	j	0.667
p	p	0.625
⁴¹	³⁵	0.607
<#_ŋ	<#	0.6
n	ŋ	0.523
e	yː_t̚	0.5
e	e	0.5
a	aː	0.485
a	ɔː	0.455
ə	ʊ	0.435
ʨʰ	ʧʰ	0.429
u	ɐ_t̚	0.4
u	uː	0.4
<#_ŋ	<#_ŋ	0.4
⁴¹	¹³	0.393
²⁴	²	0.375
p	pʰ	0.375
ə	ɐ	0.348
n	n	0.341
ɤ	j_iː	0.333
ɕ	h	0.333
²⁴	³	0.333
kʰ	f	0.333
²⁴	⁵	0.292
ʨʰ	ʦʰ	0.286
ʨʰ	h	0.286
t	tʰ	0.286
o	ɔː_k̚	0.286
⁴⁵	²²	0.25
ʦ	ʦʰ	0.25
y	j_yː	0.25
x	f	0.25
ʨ	kʰ	0.222
ɤ	ɐ_k̚	0.222
ɤ	k̚	0.222
ɤ	aː_k̚	0.222
z̩	-	0.222
i	ɪ	0.214
i	ɐ_j	0.214
i	ɐ	0.214
i	e_j	0.214
u	ŋ̍	0.2
k	kʷ	0.2
w	k̚	0.154
i	-	0.143
n	m	0.136
ə	-	0.13
ʨ	ʧ	0.111
j	yː	0.111
j	iː	0.111
j	-	0.111
ə	u	0.087
w	-	0.077
a	œː	0.061
