Ripuarian	East Low German	probability
b	b	0.952
d	d	0.814
d	ɾ	0.174
e	ae̯	1.0
f	f	0.844
f	p	0.133
h	h	0.958
j	ɡ	0.581
j	j	0.384
k	kʰ	0.328
k	k	0.308
k	ç	0.147
k	d	0.107
k	t	0.076
l	l	0.992
m	m	0.906
m	v	0.055
n	n	0.828
n	æ_n	0.059
p	p	0.826
p	f	0.174
s	s	0.508
s	t	0.477
t	t	0.699
t	d	0.189
t	-	0.097
v	m	0.806
v	v	0.194
x	x	0.824
x	k	0.176
z	z	0.927
z	s	0.073
ŋ	n	0.518
ŋ	ŋ	0.441
ɐ	æ	0.886
ɐ	-	0.114
ɕ	ç	0.563
ɕ	k	0.374
ə	n	0.819
ə	-	0.124
ə	ɪ	0.057
ɣ	ɡ	0.751
ɣ	ŋ	0.249
ɪ	ɪ	0.712
ɪ	-	0.288
ʀ	r	0.955
ʃ	ʃ	1.0
ʋ	v	0.865
ʋ	w	0.135
ʦ	tʰ	0.624
ʦ	t	0.376
ˈa	ˈa	0.55
ˈa	ˈɪ	0.111
ˈa	ˈaʊ̯	0.099
ˈa	ˈɔ	0.075
ˈa	ˈɛː	0.073
ˈaʊ̯	ˈuː	0.47
ˈaʊ̯	ˈaʊ̯	0.209
ˈaʊ̯	ˈoː	0.136
ˈaʊ̯	ˈœ	0.092
ˈaʊ̯	ˈɔ	0.06
ˈaː	ˈa	0.375
ˈaː	ˈɒː	0.255
ˈaː	ˈoː	0.188
ˈaː	ˈɛː	0.078
ˈaː	ˈaː	0.059
ˈe	ˈɪ	0.885
ˈe	ˈae̯	0.11
ˈeɪ̯	ˈae̯	0.717
ˈeɪ̯	ˈiː	0.178
ˈeɪ̯	ˈɪ	0.105
ˈeː	ˈae̯	0.787
ˈeː	-	0.084
ˈeː	ˈiː	0.05
ˈiː	ˈiː	0.65
ˈiː	ˈeː	0.109
ˈiː	ˈɪ	0.098
ˈiː	ˈɛɪ̯	0.082
ˈiː	ˈae̯	0.06
ˈo	ˈʊ	0.866
ˈo	ˈɒː	0.086
ˈoʊ̯	ˈɒː	0.806
ˈoʊ̯	ˈaʊ̯	0.194
ˈoː	ˈaʊ̯	0.445
ˈoː	ˈɒː	0.326
ˈoː	ˈœː	0.062
ˈoː	ˈuː	0.06
ˈu	ˈɔ	0.617
ˈu	ˈɒː	0.383
ˈuː	ˈuː	0.556
ˈuː	ˈaʊ̯	0.392
ˈuː	ˈʊ	0.052
ˈyː	ˈyː	0.428
ˈyː	ˈɔʏ̯	0.287
ˈyː	ˈuː	0.13
ˈyː	ˈœː	0.09
ˈyː	ˈɛː	0.065
ˈøː	ˈɔʏ̯	0.824
ˈøː	ˈɒː	0.114
ˈøː	ˈʏ	0.054
ˈœ	ˈʏ	0.638
ˈœ	ˈœː	0.217
ˈœ	ˈiː	0.144
ˈɔ	ˈʊ	0.303
ˈɔ	ˈɔ	0.303
ˈɔ	ˈuː	0.265
ˈɔ	ˈɒː	0.103
ˈɔʏ̯	ˈiː	1.0
ˈɛ	ˈɛː	0.219
ˈɛ	ˈɛ	0.21
ˈɛ	ˈaː	0.196
ˈɛ	ˈœ	0.119
ˈɛ	ˈʏ	0.09
ˈɛ	ˈɪ	0.089
ˈɛː	ˈɛ	0.425
ˈɛː	ˈoː	0.258
ˈɛː	ˈiː	0.148
ˈɛː	ˈɛː	0.11
ˈɛː	ˈɒː	0.059
ˈɪ	ˈɪ	0.793
ˈɪ	ˈiː	0.159
ˈʊ	ˈʊ	0.346
ˈʊ	ˈʏ	0.346
ˈʊ	ˈoː	0.309
ˈʏ	ˈʏ	0.373
ˈʏ	ˈɛː	0.217
ˈʏ	ˈøː	0.21
ˈʏ	ˈœː	0.123
ˈʏ	ˈyː	0.078
