Zeelandic	Gothic	probability
ˈɪə̯	ˈɛː	1.0
ˈɪ	ˈi	1.0
ˈɒː	ˈa	1.0
ˈɑu̯	ˈa_l	1.0
ˈɑ	ˈa	1.0
ˈøː	ˈu	1.0
ˈæi̯	ˈɛː	1.0
ˈuː	ˈoː	1.0
ˈu	ˈu	1.0
ɾ_#>	#>	1.0
ə_ɫ	l_s	1.0
ə_v̥	b	1.0
ŋ	ŋ	1.0
z	s	1.0
w	-	1.0
t_#>	t_s_#>	1.0
t	t	1.0
p	p	1.0
m	m	1.0
j	j	1.0
d̥_#>	t_#>	1.0
d_ə	a	1.0
b	b	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_z	<#_s	1.0
<#_x	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#	<#_h	1.0
ʋ	w	0.882
v	f	0.875
ɫ	l	0.833
n	n	0.833
ɾ	r	0.8
ˈɔ	ˈu	0.727
k	k	0.7
#>	s_#>	0.672
ˈiː	ˈiu̯	0.667
v̥	f_s	0.667
ˈʊə̯	ˈɔː	0.643
<#_d	<#_d	0.643
ˈyː	ˈuː	0.6
s	s	0.6
d̥	θ	0.556
ˈi	ˈiː	0.545
ˈʏ	ˈu	0.5
ˈʏ	-	0.5
ˈɛː	ˈa	0.5
ˈeː	ˈi	0.5
ˈeː	-	0.5
d	θ	0.5
d	d	0.5
ˈi	ˈi	0.455
ə	a	0.426
ˈæ	ˈi	0.4
ˈyː	-	0.4
s	s_k	0.4
ˈʊə̯	ˈɔ	0.357
ˈɛː	ˈeː	0.357
<#_d	<#_θ	0.357
ˈiː	-	0.333
v̥	i_f	0.333
#>	n_#>	0.328
ˈæ	ˈɛ	0.3
ˈæ	ˈa	0.3
k	ɡ_s	0.3
x	h	0.294
ˈɔ	-	0.273
x	ɣ	0.235
x	ɡ	0.235
d̥	d_s	0.222
ə	-	0.213
ɫ	lː	0.167
ə	oː	0.148
ˈɛː	-	0.143
v	β	0.125
ʋ	ʍ	0.118
x	x	0.118
x	k	0.118
ɾ	s	0.114
n	nː	0.111
d̥	θ_u	0.111
d̥	d	0.111
ɾ	ˈɛ_r	0.086
ə	u	0.066
ə	s	0.066
n	s	0.056
