Slovak	Štokavian	probability
ˈæ	êː	1.0
ˈuː	ûː	1.0
ˈu	ûː	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʎ	l	1.0
ʋ	ʋ	1.0
ʊ̯ˈɔ	ô	1.0
ɦ	ɡ	1.0
ɟ	d	1.0
z	z	1.0
x_#>	ɡ_#>	1.0
x	x	1.0
v	ʋ	1.0
s	s	1.0
r	r	1.0
n	n	1.0
m	m	1.0
j	j	1.0
iː_#>	#>	1.0
iː	iː	1.0
i_#>	#>	1.0
i	i	1.0
f	p	1.0
d_ɫ	l	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈɔ	<#_ô	1.0
#>	a_#>	1.0
k	k	0.92
t	t	0.909
ɔ	o	0.875
ɫ	l	0.857
p	p	0.786
l	l	0.778
c	t	0.722
ɲ	n	0.714
ˈi	î	0.625
ˈɫ̩	ûː	0.6
ɪ̯ˈɛ	j_ěː	0.571
ɛ	e	0.571
ˈr̩	r̩̂	0.5
ˈr̩	r̩̂	0.5
ˈa	â	0.5
ɪ̯ˈɛ	j	0.429
ɛ	a	0.429
ˈɫ̩	û	0.4
ˈi	îː	0.375
ˈɔ	ǒ	0.368
ˈɔ	ôː	0.368
ˈɛ	ě	0.333
ˈa	âː	0.333
ɲ	ɲ	0.286
c	t_i	0.278
ˈɔ	ô	0.263
ˈɛ	j_êː	0.238
ˈɛ	ê	0.238
l	ʎ	0.222
p	b	0.214
ˈa	ǎː	0.167
ɫ	-	0.143
ɔ	a	0.125
ˈɛ	ô	0.095
ˈɛ	â	0.095
t	d	0.091
k	ʦ	0.08
