Slovak	Štokavian	probability
ˈæ	êː	1.0
ˈuː	ûː	1.0
ˈu	ûː	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʎ	l	1.0
ʊ̯ˈɔ	ô	1.0
ʃ	ʒ	1.0
ɦ	ɡ	1.0
ɟ	d	1.0
z	z	1.0
x_iː_#>	x_#>	1.0
x_#>	ɡ_#>	1.0
x	x	1.0
v	ʋ	1.0
s_#>	s_#>	1.0
s	s	1.0
r_iː_#>	r_#>	1.0
r	r	1.0
p_#>	b_#>	1.0
p	p	1.0
n	n	1.0
m	m	1.0
k_iː	a_k	1.0
k	k	1.0
j	j	1.0
iː	-	1.0
i_#>	#>	1.0
i	i	1.0
d_ɫ	l	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈɔ	<#_ô	1.0
#>	e_#>	1.0
ʋ	ʋ	0.889
ɔ	o	0.875
ɫ	l	0.857
t	t	0.842
c	t	0.722
l	l	0.714
ɲ	n	0.667
ɪ̯ˈɛ	j_ěː	0.667
ˈi	î	0.625
ˈɫ̩	ûː	0.6
ɛ	e	0.571
ˈa	â	0.538
ˈr̩	r̩̂	0.5
ˈr̩	r̩̂	0.5
ɛ	a	0.429
ˈɫ̩	û	0.4
ˈi	îː	0.375
ˈɛ	ě	0.368
ˈɔ	ǒ	0.368
ˈɔ	ôː	0.368
ɲ	ɲ	0.333
ɪ̯ˈɛ	j_ê	0.333
ˈa	âː	0.308
l	ʎ	0.286
c	t_i	0.278
ˈɛ	j_êː	0.263
ˈɛ	ê	0.263
ˈɔ	ô	0.263
t	d	0.158
ˈa	ǎː	0.154
ɫ	-	0.143
ɔ	a	0.125
ʋ	ʋ_j	0.111
ˈɛ	â	0.105
