Swabian	Icelandic	probability
a	a	0.761
a	n̥	0.094
a	-	0.07
a	ˈœː	0.046
a	ˈɑːu̯	0.029
b	b̥	0.64
b	v_ʏ	0.168
b	v	0.138
b	-	0.05
b̥͡f	ʰp	0.467
d	d̥	0.274
d	ð	0.255
d	-	0.183
d	θ	0.13
d	t	0.074
e	-	0.284
e	ʏ	0.247
f	f	0.621
f	p	0.139
f	-	0.073
f	v_ʏ	0.073
f	p_ʏ	0.048
h	h	0.942
h	ç	0.057
i	ŋ	0.467
j	-	0.66
j	ˈɑːu̯	0.144
kʰ	kʰ	0.519
kʰ	cʰ	0.326
kʰ	-	0.086
l	l	0.614
l	l̥	0.347
l	-	0.03
l	nː	0.025
m	m	0.633
m	m_ʏ	0.238
m	p	0.066
m	j	0.052
n	n	0.583
n	-	0.28
n	nː	0.082
n	n̥	0.043
p͡f	v	0.218
s	s	0.555
s	t_ʏ	0.144
s	t	0.139
s	sː	0.054
s	ʰt	0.031
t	ð	0.644
t	c	0.228
x	ʰt	0.435
x	r̥	0.213
x	j	0.131
x	k	0.131
ç	k	0.432
ç	s	0.211
ç	ʰt	0.211
ç	c	0.084
ŋ	ŋ	0.91
ŋ	ɲ	0.068
ŋ_ɡ	ʰk	1.0
ɐ	ʏ	0.218
ə	a	0.467
ɡ	ɡ̊	0.442
ɡ	ɟ̊	0.177
ɡ	-	0.126
ɡ	ɣ	0.107
ɡ	ɟ̊ː	0.043
ɪ	-	0.354
ɪ	ɑu̯	0.165
ʁ	r	0.68
ʁ	-	0.102
ʁ	r̥	0.089
ʁ	r_j	0.064
ʁ	s	0.049
ʃ	s	0.474
ʃ	s_k	0.279
ʃ	s_c	0.162
ʃ	s_t	0.067
ʋ	v	0.507
ʋ	-	0.322
ʋ	kʰ	0.082
ʋ	ˈu	0.068
ʌ	ʏ_r̥	0.284
ʌ	ɪ_r̥	0.244
ʌ	r̥	0.211
ʌ	ɪ	0.109
ʌ	n̥	0.072
ʕ	r̥	0.468
ʕ	r	0.295
ʕ	r_t	0.209
ʦ	tʰ	0.543
ʦ	t	0.352
ʦ	-	0.099
ˈa	ˈa	0.423
ˈa	ˈaː	0.233
ˈa	ˈɑu̯	0.144
ˈa	ˈɛ	0.07
ˈa	u	0.047
ˈae̯	ˈiː	0.443
ˈae̯	ˈai̯	0.174
ˈae̯	ˈʏ	0.174
ˈae̯	ˈɛ	0.112
ˈae̯	ˈeːi̯	0.048
ˈao̯	ˈuː	0.531
ˈao̯	ˈœːy̯	0.166
ˈao̯	ˈɑːu̯	0.109
ˈao̯	ˈiː	0.057
ˈao̯	ˈœː	0.057
ˈaː	ˈœ	0.343
ˈaː	ˈaː	0.324
ˈaː	ˈɛːi̯	0.095
ˈaː	ˈaːu̯	0.093
ˈaː	ˈaːi̯	0.087
ˈe	ˈi	0.209
ˈe	ˈiː	0.206
ˈe	ˈa	0.133
ˈe	ˈɛ	0.133
ˈe	ˈou̯	0.12
ˈeə̯	ˈʏː	0.425
ˈeə̯	ˈiː	0.228
ˈeə̯	ˈai̯	0.122
ˈeː	ˈɑːu̯	0.229
ˈeː	ˈɛːi̯	0.147
ˈeː	ˈou̯	0.141
ˈeː	ˈɪ	0.095
ˈeː	j	0.071
ˈi	ˈɪː	0.357
ˈi	j	0.1
ˈi	ɪ	0.1
ˈi	ˈɛ	0.1
ˈi	ˈɪ	0.1
ˈiə̯	ˈaːi̯	0.484
ˈiə̯	j	0.278
ˈiə̯	j_ˈuː	0.115
ˈiː	j	0.683
ˈiː	ˈiː	0.21
ˈo	ˈu	0.313
ˈo	ˈʏ_t	0.237
ˈo	ˈɔ	0.219
ˈo	ˈɑːu̯	0.093
ˈo	ˈɪ	0.069
ˈoː	ˈœːy̯	0.342
ˈoː	ˈa	0.154
ˈoː	ˈɔ	0.103
ˈoː	ˈʏ	0.099
ˈoː	ˈʏː	0.069
ˈu	ˈoːu̯	0.5
ˈu	ˈɪ	0.5
ˈuə̯	ˈoːu̯	0.796
ˈuə̯	ˈiː	0.202
ˈuː	ˈɔu̯	0.574
ˈuː	ˈuː	0.268
ˈɔ	ˈɔ	0.234
ˈɔ	ˈʏː	0.234
ˈɔ	ˈʏ	0.144
ˈɔ	ˈɪ	0.088
ˈɔ	ˈœː	0.084
ˈɔe̯	ˈɛːi̯	0.545
ˈɔe̯	ˈɛi̯	0.149
ˈɔe̯	ˈeːi̯	0.105
ˈɔe̯	ˈœː	0.098
ˈɔə̯	ˈoːu̯	1.0
ˈɔː	ˈɑːu̯	0.254
ˈɔː	ˈa	0.193
ˈɔː	ˈaː	0.193
ˈɔː	ˈɔː	0.124
ˈɔː	-	0.08
ˈəi̯	ˈiː	0.685
ˈəi̯	ˈɛ	0.162
ˈəi̯	ˈi	0.093
ˈəi̯	ˈʏː	0.051
ˈɛ	ˈɛ	0.311
ˈɛ	ˈa	0.221
ˈɛ	ˈɛː	0.173
ˈɛ	ˈɪ	0.131
ˈɛ	j_ˈɛ	0.087
ˈɛː	ˈɛː	0.461
ˈɛː	ˈɪː	0.163
ˈɛː	ˈœː	0.109
ˈɛː	ˈœ	0.059
ˈɪ	ˈɪ	0.384
ˈɪ	ˈai̯	0.253
ˈɪ	ˈɛ	0.147
ˈɪ	ˈi	0.091
ˈʌ	ˈɛ	0.354
ˈʌ	ˈɪ	0.165
