Yiddish	Dutch	probability
χ_t	χ_t	1.0
ˈɪ_n	ˈɛi̯	1.0
ˈɛɪ̯	ˈeː	1.0
ˈɛ_n	ˈi_n	1.0
ˈɔ_ɫ	ˈɔ_ɫ	1.0
ˈaɪ̯_ə	ˈyː	1.0
ˈa_ɫ	ˈɑu̯	1.0
ʧ	s	1.0
ʦ	t	1.0
ʀ_ɛ	ɾ	1.0
ʀ_t	ɾ_d̥	1.0
ɫ	ɫ	1.0
ɪ_k	ə_χ	1.0
ɪ	ɪ	1.0
ɛ	-	1.0
ə_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	ʋ	1.0
t_ʀ	d_ɾ	1.0
s_t	s_t	1.0
p	p	1.0
n_ə	n_ə	1.0
m	m	1.0
k_s	s	1.0
j	j	1.0
h	ɦ	1.0
d_z	z̥	1.0
b_#>	v̥_#>	1.0
<#_ˈʊ	<#_ˈɔ	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_ɾ	1.0
<#_n	<#_n	1.0
ʀ	ɾ	0.965
k	k	0.864
χ	k	0.857
ˈa	ˈɑ	0.781
b	b	0.773
n	n	0.75
ə	ə	0.735
z	z	0.72
ˈɔɪ̯	ˈoː	0.654
s	t	0.647
ɡ	χ	0.643
f	v	0.625
d	d	0.6
ʃ	s	0.538
ˈɪ	ˈɪ	0.5
ˈaɪ̯	ˈɛi̯	0.474
ˈɔ	ˈaː	0.429
t	d̥	0.415
ˈʊ	ˈɔ	0.407
ˈʊ	ˈu	0.407
d	d̥	0.4
t	d	0.366
s	t_ə	0.353
ˈɔɪ̯	ˈœy̯	0.346
ˈɛ	ˈɛ	0.333
ˈɛ	ˈeː	0.3
ɡ	χ_ə	0.286
z	z̥	0.28
f	p	0.275
ʃ	s_χ	0.269
t	t	0.22
n	ə_n	0.214
ˈaɪ̯	ˈi	0.211
ə	-	0.206
ʃ	z	0.192
ˈʊ	ˈoː	0.185
ˈɔ	ˈɔ	0.179
ˈɔ	ˈɑ	0.179
ˈɪ	ˈi	0.175
ˈɛ	ˈaː	0.167
ˈa	ˈaː	0.156
χ	χ	0.143
ˈɔ	ˈoː	0.143
k	χ	0.136
b	v_ə	0.136
ˈaɪ̯	ˈɪ	0.105
ˈaɪ̯	ˈœy̯	0.105
ˈaɪ̯	ˈeː	0.105
ˈɪ	ˈɛ	0.1
ˈɪ	ˈu	0.1
b	v	0.091
ˈɪ	ˈʏ	0.075
ˈɔ	ˈɛ	0.071
ɡ	-	0.071
ˈɛ	ˈʏ	0.067
ˈɛ	ˈɑ	0.067
ˈɛ	ˈoː	0.067
ˈa	ˈɛ	0.062
ə	d_ə	0.059
