East Low German	Bokmål Norwegian	probability
b	b	0.871
b	-	0.12
d	d	0.439
d	tʰ	0.329
d	-	0.224
f	f	0.68
f	-	0.158
f	ʋ	0.154
h	h	1.0
j	-	0.351
j	j	0.351
j	ɡ	0.266
k	k	0.599
k	-	0.196
k	ɡː	0.098
k	lː	0.07
kʰ	kʰ	0.761
kʰ	ç	0.17
l	l	0.763
l	lː	0.175
l	nː	0.033
l	l_ə	0.028
l	-	0.028
m	m	0.633
m	-	0.209
m	mː_ə	0.089
m	mː	0.045
m	n	0.031
n	n	0.376
n	-	0.22
n	ə	0.166
n	nː	0.153
n	ɳ	0.064
n_d	nː	1.0
p	p	0.824
p	ɾ	0.174
r	ɾ	0.939
r	-	0.061
s	s	0.807
s	sː	0.133
s	ɾ	0.053
t	t	0.475
t	-	0.24
t	d	0.12
t	tː	0.081
t	n	0.033
tʰ	tʰ	0.85
tʰ	ç	0.124
v	ʋ	0.723
v	-	0.265
v_ˈʊ	ˈʉ	1.0
w	ʋ	1.0
x	ɡ	0.284
x	j	0.225
x	-	0.215
x	tː	0.137
x_t	tː	1.0
z	s	0.796
z	ʂ	0.199
æ	ɾ	0.407
æ	-	0.172
æ	ə_ɾ	0.136
æ	ə	0.095
æ	ɾ_ə	0.072
ç	-	0.477
ç	ɡː	0.136
ç	tː	0.089
ç	ɾ	0.089
ç	k	0.071
ŋ	ŋː	0.73
ŋ	n	0.085
ŋ	ɡ	0.083
ŋ	-	0.081
ŋ_k	kː	1.0
ɡ	ɡ	0.867
ɡ	j	0.112
ɡ_l	l	1.0
ɣ	-	0.232
ɪ	ŋ	0.205
ɪ	ə	0.205
ɪ	i	0.123
ɪ	ɪ	0.123
ɾ	ɾ	0.746
ɾ	ˈæː	0.155
ɾ	ˈeː	0.073
ʃ	s	0.529
ʃ	s_k	0.358
ʃ	f	0.06
ʃ	ʃ	0.051
ˈa	ˈɑ	0.649
ˈa	ˈɑː	0.179
ˈa	ˈɛ	0.06
ˈa	ˈeː	0.053
ˈa	ˈɔ	0.053
ˈae̯	ˈyː	0.301
ˈae̯	ˈeː	0.262
ˈae̯	ˈiː	0.121
ˈae̯	ˈæɪ̯	0.102
ˈae̯	ˈøː	0.08
ˈaɪ̯	ˈyː	1.0
ˈaʊ̯	ˈuː	0.463
ˈaʊ̯	ˈøː	0.226
ˈaʊ̯	ˈoː	0.111
ˈaʊ̯	ˈʉː	0.058
ˈaʊ̯	ˈœʏ̯	0.05
ˈaʊ̯_t	ˈuː	0.517
ˈaʊ̯_t	ˈøː	0.45
ˈaː	ˈɑ_ɾ	0.596
ˈaː	ˈæ	0.152
ˈaː	ˈɛ	0.097
ˈaː	ˈɑː	0.039
ˈeː	ˈøː	1.0
ˈiː	ˈiː	0.504
ˈiː	j	0.134
ˈiː	ˈyː	0.117
ˈiː	ˈæɪ̯	0.062
ˈiː	ˈɛ	0.062
ˈoː	ˈoː	0.53
ˈoː	ˈøː	0.349
ˈoː	ˈʊ	0.064
ˈuː	ˈʉː	0.587
ˈuː	ˈɔ	0.109
ˈuː	ˈʉ	0.109
ˈuː	ˈuː	0.09
ˈuː	ˈøː	0.062
ˈuː_æ	ˈuː	1.0
ˈyː	ˈyː	0.308
ˈyː	ˈʏ	0.308
ˈyː	ˈøː	0.148
ˈyː	ˈɪ	0.14
ˈøː	ˈœ	0.574
ˈøː	ˈʊ	0.277
ˈœ	ˈuː	0.392
ˈœ	ˈɔ	0.217
ˈœ	ˈɛ	0.217
ˈœː	ˈoː	0.28
ˈœː	ˈʉː	0.28
ˈœː	ˈœ	0.168
ˈœː	ˈʉ	0.168
ˈɒː	ˈoː	0.467
ˈɒː	ˈɑː	0.237
ˈɒː	ˈɑ	0.083
ˈɒː	ˈæɪ̯	0.082
ˈɒː	ˈʉː	0.061
ˈɔ	ˈɑ	0.247
ˈɔ	ˈʉː	0.187
ˈɔ	ˈʏ	0.129
ˈɔ	ˈœ	0.125
ˈɔ	ˈʉ	0.119
ˈɔʏ̯	ˈœ	0.66
ˈɔʏ̯	ˈøː	0.222
ˈɛ	ˈɛ	0.318
ˈɛ	ˈæɪ̯	0.164
ˈɛ	j	0.094
ˈɛ	ˈøː	0.094
ˈɛ	ˈœ	0.094
ˈɛː	ˈeː	0.474
ˈɛː	ˈiː	0.187
ˈɛː	ˈɑ	0.124
ˈɛː	ˈæː	0.085
ˈɪ	ˈɪ	0.463
ˈɪ	ˈiː	0.156
ˈɪ	ˈɛ	0.136
ˈɪ	ˈyː	0.051
ˈɪ	ˈæɪ̯	0.051
ˈʊ	ˈʉ	0.598
ˈʊ	ˈɔ	0.145
ˈʊ	ˈʊ	0.111
ˈʊ	ˈuː	0.103
ˈʏ	ˈʏ	0.492
ˈʏ	ˈœ	0.292
ˈʏ	ˈɛ	0.193
