Gothic	Mecklenburgisch-Vorpommersch	probability
θ_s	d̥	1.0
θ_iː	d̥	1.0
β_a	m	1.0
β	m	1.0
ˈɛ_r	ˈaː	1.0
ˈuː	ˈuː	1.0
ˈoː	ˈaʊ̯	1.0
ˈiː_s_#>	ˈiː_#>	1.0
ˈi_n	ˈɪ	1.0
ˈa_r	ˈaː	1.0
ʍ	v	1.0
ɣ_a	ŋ	1.0
ŋ_ɡ	ŋ	1.0
ð	-	1.0
x	ç	1.0
u	-	1.0
t_a	t	1.0
t_#>	d̥_#>	1.0
t	t	1.0
s_ˈɛ	z	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_n	æ_n	1.0
r_#>	æ_#>	1.0
p	p	1.0
oː	-	1.0
nː	-	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
k	k	1.0
iː	-	1.0
i	-	1.0
f_s	v̥	1.0
f	f	1.0
d_u	d̥	1.0
d_s	d̥	1.0
aː	-	1.0
a_r	æ	1.0
a_#>	#>	1.0
<#_θ	<#_d	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_h	<#	1.0
b	b	0.833
d	d	0.75
w	v	0.727
ˈiː	ˈiː	0.714
ˈɛː	ˈae̯	0.667
ˈeː	ˈɒː	0.667
a	-	0.625
ˈɛ	-	0.6
s	s	0.6
h	h	0.577
ɡ	-	0.556
j	-	0.556
θ	d̥	0.545
<#_s	<#_z	0.529
ˈu	ˈʊ	0.5
ˈiu̯	ˈae̯	0.5
ˈa	ˈa	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
ˈi	ˈɪ	0.483
r	r	0.471
<#_s	<#_ʃ	0.471
θ	-	0.455
ˈɔː	-	0.444
ˈɛ	ˈiː	0.4
r	æ	0.353
ˈɛː	ˈɪ	0.333
ˈɔː	ˈaʊ̯	0.333
ˈɔ	ˈœ	0.333
ˈɔ	ˈuː	0.333
ˈɔ	ˈaʊ̯	0.333
ˈeː	-	0.333
ˈiu̯	-	0.3
ˈiː	ˈɪ	0.286
d	-	0.25
a	nː	0.25
h	-	0.231
ˈɔː	ˈoː	0.222
ɡ	ɡ	0.222
ɡ	j	0.222
j	ç	0.222
j	j	0.222
ˈa	ˈɒː	0.208
ˈiu̯	ˈiː	0.2
s	ɣ̊	0.2
s	t	0.2
h	x	0.192
w	-	0.182
r	-	0.176
ˈu	ˈɔ	0.167
ˈu	ˈœː	0.167
ˈu	-	0.167
b	v̥	0.167
ˈi	ˈɛ	0.138
ˈa	ˈaʊ̯	0.125
a	m	0.125
ˈi	ˈʏ	0.103
ˈi	ˈiː	0.103
ˈi	-	0.103
w	w	0.091
ˈa	ˈɔ	0.083
ˈa	-	0.083
ˈi	ˈɛː	0.069
