Phone1	Phone2	Surprisal
b	b	0.0
d	d	0.023
d	dː	5.977
f	f	0.0
h	h	0.119
h	h_ˈɛː	3.653
k	k	0.312
k	k_ə	2.362
l	l	0.225
l	l_ˈi̯aː	2.793
m	m	0.121
m	m_ˈɔː	4.631
m	mː	4.643
n	n	0.167
n	nː	3.616
n	ə_n	5.176
p	p	0.127
p	pː	3.572
pʰ	p	0.0
s	s	0.0
t	t	0.185
t	tː	3.737
t	x_t	4.459
v	v	0.828
v	f	1.906
v	bː	2.558
w	w	0.147
w	h_w	3.37
z	z	0.0
ð	d	1.0
ð	ð	1.0
ŋ	ŋ_ɡ	0.703
ŋ	ŋ	1.374
ə	ə_r	1.23
ə	ə	1.878
ə	r	2.511
ə	r_ə	2.989
əʊ̯	-	0.0
ɜː	r_ˈe	0.0
ɡ	ɡ	0.0
ɪ	ə	0.796
ɪ	i_ɣ̥	1.238
ɫ	l	0.202
ɫ	ə_l	3.588
ɫ	lː	4.388
ɹ	r	0.12
ɹ	h_r	3.646
ʃ	s_k	0.0
ʤ	ɡː	0.0
ʧ	ʦ	0.906
ʧ	k_ə	1.101
ˈaɪ̯	ˈiː	1.009
ˈaɪ̯	ˈi	1.867
ˈaɪ̯	x	3.712
ˈaɪ̯	ˈa_x	3.712
ˈaɪ̯	ˈi_x	3.712
ˈaʊ̯	ˈuː	0.482
ˈaʊ̯	-	1.815
ˈe	ˈe	1.196
ˈe	ˈaː	2.301
ˈe	-	2.588
ˈe	ˈi̯aː	3.364
ˈe	ˈi̯uː	3.364
ˈeɪ̯	ˈe_j	1.255
ˈeɪ̯	ˈa	1.299
ˈeɪ̯	ˈaː	2.517
ˈiː	ˈeː	0.906
ˈiː	ˈaː	2.495
ˈiː	ˈi̯aː	2.726
ˈiː	ˈɛː	3.553
ˈiː	ˈi	4.247
ˈiː_d	ˈeː_d	0.0
ˈuː	-	1.238
ˈuː	ˈoː	1.263
ˈuː	w	2.65
ˈæ	ˈɔː	1.21
ˈæ	ˈa	1.565
ˈæ	ˈe	2.121
ˈɐ	ˈu	0.744
ˈɐ	ˈuː	2.666
ˈɐ	ˈoː	2.91
ˈɐ	-	3.153
ˈɑː	ˈe_r	0.909
ˈɑː	ˈe	1.834
ˈɑː	ˈa_l	2.419
ˈɒ	-	0.855
ˈɒ	ˈo	1.162
ˈɔː	ˈɔː_r	1.32
ˈɔː	ˈo_r	2.075
ˈɔː	r	2.42
ˈɔː	ˈa_r	2.514
ˈəʊ̯	ˈɛː	0.648
ˈəʊ̯	-	2.218
ˈəʊ̯	ˈa	2.767
ˈɛ	ˈe	0.594
ˈɛ	-	1.567
ˈɜː	r	0.768
ˈɜː	ˈɔː_r	1.277
ˈɪ	ˈi	0.96
ˈɪ	ˈe	2.144
ˈɪ	ˈi̯aː	3.786
ˈɪ	-	3.831
ˈɪ	ˈe_n	3.831
ˈɪ	ˈi̯uː	4.426
ˈɪ_t	ˈi_t	0.0
ˈɪ_ə	ˈaː_r	0.0
ˈʊ	ˈoː	0.737
ˈʊ	ˈu	1.322
θ	θ	0.0
