Aromanian	Neapolitan	probability
a	r	0.458
a	-	0.298
a	ˈa	0.204
b	v	0.462
b	b	0.275
b	-	0.107
b	ɡ	0.107
d	d	0.656
d	ɾ	0.344
e	ə	0.808
e	-	0.192
e̯a	-	0.659
e̯a	ˈi	0.341
e̯ˈa	ˈe	0.425
e̯ˈa	ˈi	0.265
e̯ˈa	ˈɛ	0.187
e̯ˈa	ˈa	0.124
f	f	0.819
f	ʃ	0.072
f	ʃː	0.054
f	-	0.054
i	ə	0.63
i	-	0.25
j	v	0.503
j	j	0.258
j	-	0.177
j	ʤː	0.061
k	k	0.676
k	kː	0.176
k	p	0.089
l	l	0.415
l	-	0.244
l	j	0.165
l	lː	0.119
m	m	0.607
m	mː	0.165
m	ɡ	0.117
n	n	0.648
n	-	0.176
n	ɲː	0.054
n	nː	0.052
o̯ˈa	ˈɔ	0.462
o̯ˈa	ˈo	0.179
o̯ˈa	-	0.14
o̯ˈa	ˈu	0.136
o̯ˈa	ˈa	0.083
p	p	0.668
p	k	0.167
p	-	0.082
p	f	0.052
r	ɾ	0.415
r	-	0.349
r	l	0.121
s	s	0.651
s	ʃ	0.155
s	-	0.142
t	t	0.66
t	-	0.176
t	p	0.07
t	tː	0.061
u	ə	0.594
u	u	0.189
u	o	0.148
v	v	0.813
v	-	0.136
v	s	0.051
w	v	0.661
w	j	0.176
w	ə	0.163
z	v	1.0
ç	f	1.0
ŋ	n	0.461
ŋ	-	0.259
ŋ	ŋ	0.208
ŋ	ɲː	0.071
ə	ə	0.849
ə	a	0.054
ə	-	0.054
ɡ	-	0.444
ɡ	t	0.212
ɡ	ɡ	0.153
ɡ	p	0.125
ɡ	ʤ	0.066
ɨ	ˈa	1.0
ɲ	m	0.593
ɲ	n	0.132
ɲ	ʤ	0.129
ɲ	ʃ	0.084
ɲ	ɲ	0.062
ʃ	s	0.453
ʃ	ʃː	0.326
ʃ	-	0.104
ʃ	sː	0.074
ʎ	j	0.57
ʎ	l	0.182
ʎ	ʎː	0.159
ʎ	-	0.061
ʣ	ʤ	0.341
ʣ	-	0.307
ʣ	d	0.178
ʣ	ɾ	0.085
ʣ	ɲː	0.073
ʤ	ʤː	0.488
ʤ	ʤ	0.247
ʤ	-	0.212
ʤ	ɡ	0.053
ʦ	-	0.382
ʦ	ʃ	0.347
ʦ	k	0.1
ʦ	dː	0.057
ʧ	-	0.755
ʧ	ʃ	0.245
ˈa	ˈa	0.741
ˈa	ˈɛ	0.119
ˈa	ɾ_ˈa	0.064
ˈe	j_ˈɛ	0.33
ˈe	ˈi	0.244
ˈe	ˈe	0.178
ˈe	ˈɛ	0.15
ˈe	ˈa	0.063
ˈi	ˈi	0.496
ˈi	ˈɛ	0.165
ˈi	ˈe	0.139
ˈi	-	0.107
ˈo	w_ˈɔ	0.382
ˈo	ˈu	0.321
ˈo	ˈɔ	0.1
ˈo	ˈo	0.099
ˈo	ˈɛ	0.098
ˈu	ˈu	0.492
ˈu	w	0.211
ˈu	ˈo	0.173
ˈu	ˈi	0.053
ˈə	ˈi	1.0
ˈɨ	ˈa	0.878
ˈɨ	ʎː	0.113
