Megleno-Romanian	Ladin	probability
e̯ˈa	ˈe	1.0
f	f	1.0
o̯ˈa	w	1.0
ɡ	ɡ	1.0
ɲ	-	1.0
ʃ	s	1.0
ʎ	l	1.0
ʒ	ʒ	1.0
ˈɔ	ˈa	1.0
d	d	0.671
p	-	0.211
t	-	0.101
t	t	0.841
w	w	0.301
ʦ	-	0.081
ʦ	ʦ	0.111
ˈi	ˈe	0.181
ˈi	ˈɛ	0.541
ˈu	ˈe	0.071
ˈu	ˈɔ	0.181
k	-	0.12
w	-	0.132
w	j	0.302
b	b	0.663
k	k	0.313
m	ɲ	0.063
r	-	0.093
r	l	0.213
z	-	0.403
ə	a	0.743
j	j	0.784
k	ʨ	0.404
l	l	0.764
n	ŋ	0.074
r	r	0.694
s	ʃ	0.234
u	a	0.444
v	v	0.474
ˈa	ˈɛ	0.614
ˈu	ˈu	0.074
i	-	0.65
k	d	0.085
n	ɲ	0.065
n	n	0.775
p	f	0.075
w	ˈo	0.265
ˈo	-	0.365
i	e	0.246
j	-	0.216
n	-	0.086
s	s	0.766
u	e	0.556
v	f_#>	0.526
ə	e	0.066
ˈe	ˈɛ	0.456
b	-	0.337
k	ɡ	0.077
l	w	0.157
m	m	0.937
z	ʒ	0.417
ʦ	ʨ	0.797
ˈe	ˈe_j	0.097
ˈe	ˈe	0.447
ˈo	w_ˈɛ	0.137
ˈu	ˈɛ	0.067
p	p	0.668
t	d	0.058
z	d	0.18
ə	-	0.188
ˈi	ˈi	0.278
ˈo	ˈɔ	0.498
d	t	0.329
l	-	0.079
ˈa	ˈa	0.359
ˈu	ˈo	0.569
