American English	Ripuarian	probability
b	b	1.0
d	d	0.344
d	t	0.329
d	k	0.175
d	-	0.059
d	d_ə	0.041
d	p	0.03
d	ʦ	0.03
f	f	0.939
f	x	0.039
f	k	0.036
h	h	1.0
i	ə_ɕ	0.361
i	ɪ	0.274
j	j	1.0
k	k	0.409
k	k_ə	0.195
k	ɕ	0.17
k	-	0.129
k	x	0.07
kʰ	k	0.833
kʰ	f	0.136
l	l	1.0
m	m	0.869
m	m_ə	0.128
n	n	0.73
n	ŋ	0.181
n	-	0.08
oʊ̯	-	0.258
oʊ̯	ə	0.258
oʊ̯	ɐ	0.145
p	p	0.364
p	f	0.356
p	f_ə	0.249
pʰ	f	1.0
s	z	0.385
s	s	0.312
s	ʃ	0.299
t	t	0.244
t	s	0.208
t	x	0.16
t	ɕ	0.16
t	ʦ	0.105
t	s_ə	0.068
t	-	0.041
tʰ	ʦ	0.883
tʰ	b	0.103
v	v	0.565
v	f	0.2
v	n	0.097
v	ə_f	0.097
w	ʋ	0.806
w	-	0.075
w	v	0.065
w	ʀ	0.05
z	s	0.477
z	z	0.22
z	ʀ	0.123
ð	d	1.0
ŋ	ŋ	0.782
ŋ	ŋ_ə	0.209
ə	ə	0.093
ə	-	0.081
ə	ˈe	0.081
ɚ	ɐ	0.883
ɚ	-	0.073
ɚ	ə	0.044
ɡ	j	0.777
ɡ	-	0.166
ɪ	-	0.238
ɫ	l	0.738
ɫ	ə_l	0.145
ɫ	l_ə	0.114
ɹ	ʀ	0.662
ɹ	ɐ	0.172
ɹ	-	0.109
ɹ	ˈɛː	0.055
ɹ_t	ʦ	1.0
ɾ	s	1.0
ʃ	ʃ	1.0
ʤ	k	1.0
ʧ	ɕ	0.484
ʧ	k	0.206
ʧ	x	0.169
ˈaɪ̯	ˈiː	0.258
ˈaɪ̯	ˈeː	0.164
ˈaɪ̯	ˈyː	0.108
ˈaɪ̯	ˈaː	0.094
ˈaɪ̯	ˈɪ	0.082
ˈaɪ̯	ˈuː	0.071
ˈaɪ̯	ˈɛː	0.054
ˈaɪ̯	ˈɛ	0.047
ˈaɪ̯	ˈœ	0.046
ˈaɪ̯	ˈe	0.041
ˈaɪ̯	ˈʏ	0.041
ˈaʊ̯	ˈuː	0.331
ˈaʊ̯	ˈoː	0.186
ˈaʊ̯	ˈaʊ̯	0.125
ˈaʊ̯	ˈyː	0.093
ˈaʊ̯	ˈɔ	0.093
ˈaʊ̯	ˈu	0.073
ˈaʊ̯	ˈo	0.072
ˈeɪ̯	ˈaː	0.396
ˈeɪ̯	ˈɛː	0.233
ˈeɪ̯	ˈa	0.159
ˈeɪ̯	ˈoː	0.079
ˈeɪ̯	ˈuː	0.065
ˈi	ˈoː	0.228
ˈi	ˈøː	0.21
ˈi	ˈeː	0.168
ˈi	ˈiː	0.1
ˈi	ˈyː	0.076
ˈi	ˈaʊ̯	0.07
ˈi	ˈeɪ̯	0.064
ˈi	ˈɪ	0.034
ˈi	ˈuː	0.033
ˈoʊ̯	ˈa	0.177
ˈoʊ̯	ˈeː	0.177
ˈoʊ̯	ˈiː	0.128
ˈoʊ̯	ˈaː	0.102
ˈoʊ̯	ˈɔ	0.102
ˈoʊ̯	ˈo	0.08
ˈoʊ̯	ˈʏ	0.073
ˈoʊ̯	ˈɛ	0.058
ˈoʊ̯	ˈoː	0.055
ˈu	ˈoː	0.336
ˈu	ˈa	0.193
ˈu	ˈeː	0.13
ˈu	ˈɔ	0.13
ˈu	ˈɔʏ̯	0.13
ˈæ	ˈa	0.7
ˈæ	ˈaː	0.132
ˈæ	ˈɛ	0.1
ˈæ	-	0.057
ˈɑ	ˈa	0.23
ˈɑ	ˈɔ	0.184
ˈɑ	ˈɛː	0.17
ˈɑ	ˈaː	0.157
ˈɑ	ˈu	0.09
ˈɑ	ˈeː	0.07
ˈɑ	ˈɛ	0.07
ˈɔ	ˈɛ	0.255
ˈɔ	ˈoː	0.222
ˈɔ	ˈa	0.118
ˈɔ	ʋ	0.113
ˈɔ	ˈɔ	0.088
ˈɔ	ˈiː	0.079
ˈɛ	ˈɛ	0.256
ˈɛ	ˈuː	0.146
ˈɛ	ˈɛː	0.099
ˈɛ	ˈaː	0.066
ˈɛ	ˈœ	0.066
ˈɛ	ˈeː	0.061
ˈɛ	ˈaʊ̯	0.057
ˈɛ	ˈo	0.057
ˈɛ	ˈoː	0.056
ˈɛ	ˈa	0.053
ˈɛ	ə	0.04
ˈɛ	ˈɪ	0.038
ˈɛ	ˈeɪ̯	0.037
ˈɝ	ˈɛː	0.322
ˈɝ	ˈʊ	0.196
ˈɝ	ˈiː	0.18
ˈɝ	ˈoː	0.11
ˈɪ	ˈe	0.285
ˈɪ	ˈœ	0.187
ˈɪ	ˈɛ	0.17
ˈɪ	ˈɪ	0.154
ˈɪ	ˈʏ	0.075
ˈɪ	ˈiː	0.05
ˈɪ	ˈeː	0.04
ˈɪ	ˈa	0.039
ˈʊ	ˈoː	0.538
ˈʊ	ˈɔ	0.408
ˈʌ	ˈo	0.295
ˈʌ	ˈoː	0.257
ˈʌ	ˈɔ	0.116
ˈʌ	ˈu	0.083
ˈʌ	ˈʊ	0.083
ˈʌ	ˈeː	0.064
ˈʌ	ˈa	0.063
θ	d	0.567
θ	t	0.258
θ	-	0.078
θ	k	0.078
