Afrikaans	Swedish	probability
b	b	1.0
d	d	0.392
d	tʰ	0.295
d	-	0.208
d	ɕ	0.055
d	t	0.041
d_ə	d	1.0
f	f	0.704
f	v	0.148
f	v_a	0.085
f	m	0.049
j	-	1.0
k	k	0.442
k	kʰ	0.264
k	ɡ	0.117
k	-	0.104
k	ɕ	0.058
m	m	0.784
m	mː	0.213
n	n	0.727
n	-	0.148
n	nː	0.117
n_t	nː	1.0
p	p	0.661
p	pʰ	0.093
p	v	0.093
p	pː	0.063
p	-	0.044
r	r	0.758
r	-	0.107
r	ɳ	0.037
r	r_a	0.033
r	rː	0.032
r_t	ɖ	1.0
r_ə	ɳ	1.0
s	s	0.764
s	ɧ	0.12
s	sː	0.06
s	-	0.039
s	f	0.024
t	d	0.344
t	t	0.249
t	-	0.182
t	tʰ	0.085
t	tː	0.072
v	v	0.628
v	-	0.333
v	f	0.036
v_ˈɔ	ˈɵ	1.0
w	v	0.552
w	ɕ	0.189
w	ˈøː	0.189
w	ˈɔ	0.05
ŋ	ŋː	0.534
ŋ	ŋ	0.239
ŋ	-	0.22
ŋ_k	kː	1.0
ə	ɛ	0.453
ə	-	0.228
ə	ɪ	0.106
ə	ʊ	0.106
ə	a	0.053
ɦ	h	1.0
ɫ	l	0.822
ɫ	lː	0.081
ɫ	-	0.056
ɫ	ɛ_l	0.037
ˈa	ˈa	0.543
ˈa	ˈɑː	0.139
ˈa	ˈɛ	0.105
ˈa	ˈoː	0.078
ˈa	-	0.045
ˈi	j_ˈʉː	0.263
ˈi	ˈyː	0.263
ˈi	ˈeː	0.112
ˈi	ˈʉː	0.112
ˈi	ˈɛ	0.074
ˈoːi̯	ˈøː	0.473
ˈu	ˈuː	0.743
ˈu	ˈøː	0.148
ˈu	ˈœ	0.046
ˈuː	ˈuː	0.473
ˈuːi̯	ˈuː	1.0
ˈyː	ˈyː	1.0
ˈæ	ˈɑː	0.574
ˈæ	ˈa	0.272
ˈæː	ˈæː	0.5
ˈæː	ˈɛ	0.5
ˈœ	ˈʏ	0.61
ˈœ	ˈɵ	0.149
ˈœ	ˈʊ	0.149
ˈœi̯	ˈiː	0.224
ˈœu̯	ˈa	0.608
ˈœu̯	ˈɵ	0.251
ˈœɪ̯	ˈʉː	0.576
ˈœɪ̯	ˈɵ	0.175
ˈœɪ̯	ˈʏ	0.119
ˈœɪ̯	ˈœ	0.074
ˈɑː	ˈoː	0.461
ˈɑː	ˈɑː	0.342
ˈɑː	ˈa	0.111
ˈɑː	ˈæː	0.044
ˈɑː	-	0.035
ˈɔ	ˈɵ	0.303
ˈɔ	ˈɔ	0.289
ˈɔ	ˈʊ	0.267
ˈɔ	ˈʉː	0.081
ˈɔ	ˈœ	0.05
ˈɔː	ˈœ	0.574
ˈɔː	ˈɑː	0.272
ˈə	ˈɪ	0.589
ˈə	ˈɛ	0.105
ˈə	ˈiː	0.073
ˈə	ˈɵ	0.07
ˈə	ˈɔ	0.053
ˈəɪ̯	ˈiː	0.493
ˈəɪ̯	ˈeː	0.29
ˈəɪ̯	ˈɛ	0.127
ˈəɪ̯	ˈɛː	0.072
ˈɛ	ˈɛ	0.325
ˈɛ	ˈœ	0.114
ˈɛ	ˈæ	0.111
ˈɛ	ˈɪ	0.111
ˈɛ	ˈʏ	0.111
ˈɛː	jː	0.574
ˈɛː	ˈɑː	0.272
ˈɪ	ˈʉː	1.0
ˈɪø̯	ˈoː	0.35
ˈɪø̯	ˈɛː	0.126
ˈɪə̯	ˈeː	0.25
ˈɪə̯	ˈɛ	0.204
ˈɪə̯	ˈʉː	0.139
ˈɪə̯	ˈɛː_d	0.097
ˈɪə̯	ˈiː	0.08
ˈʊə̯	ˈøː	0.394
ˈʊə̯	ˈuː	0.152
ˈʊə̯	ˈœ	0.14
ˈʊə̯	ŋ	0.055
ˈʊə̯	ˈoː	0.052
χ	ɡ	0.351
χ	j	0.194
χ	-	0.158
χ	ɡ_a	0.113
χ	ɡː	0.089
