Swiss German	Swiss German	probability
χː_ə	k	1.0
χː_tː	x	1.0
χː_sː	s	1.0
ˈɒː_#>	ˈʊː_n_#>	1.0
ˈɒ_l	ˈaː	1.0
ˈøi̯	ˈœi̯	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈæi̯	ˈɛː	1.0
ˈyə̯	ˈøː	1.0
ˈeː	ˈi	1.0
ˈei̯	ˈɛːi̯	1.0
ˈe	-	1.0
ʦ	t	1.0
ʒ̊_tː	s_t	1.0
ʋ_ˈy	β	1.0
ʋ	β	1.0
ʃː_tː	s	1.0
ʃː	s	1.0
ɣ̊	k	1.0
ɡ̊_#>	ɣ̊_#>	1.0
æ	i_n	1.0
z̥_#>	z̥_#>	1.0
z̥	z	1.0
w	l	1.0
v̥	v	1.0
r_n	ʀ_ə	1.0
r_#>	#>	1.0
p͡f	p	1.0
pː	-	1.0
n_ə	n	1.0
n	n	1.0
m_ə	m	1.0
m_#>	ə_m_#>	1.0
m	m	1.0
kː	k	1.0
j	j	1.0
h	ɦ	1.0
b̥_ə	v_ə	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_ˈɒː	<#	1.0
<#_ɡ̊	<#	1.0
<#_tː	<#_d	1.0
<#_r	<#_ʀ	1.0
#>	n_#>	1.0
r	ʀ	0.894
sː	t	0.889
d̥_#>	d̥_#>	0.833
l	l	0.83
ə	ə	0.828
ˈuː	ˈuː	0.818
d̥	d	0.818
tː	d̥	0.765
ɡ̊	ɣ	0.75
fː	p	0.75
ˈy	-	0.714
χː	k	0.667
ˈiː	ˈiː	0.667
ˈiə̯	ˈeː	0.667
i	ə	0.667
ˈɒː	ˈɒː	0.636
tː_ə	j_ə	0.625
ˈau̯	ˈɔː	0.571
ˈyː	-	0.562
ŋ	ŋ	0.538
ˈøː	ˈyː	0.5
ˈøː	-	0.5
ˈoː	ˈu	0.5
ˈu	ˈʊː	0.474
ʒ̊	ʃ	0.467
ˈuə̯	ˈʊː	0.455
ˈyː	ˈeː	0.438
ˈæ	ˈeː	0.429
ˈau̯	-	0.429
ˈo	ˈɔ	0.4
ˈi	ˈɪː	0.391
ˈɒ	ˈaː	0.379
tː_ə	t_ə	0.375
ˈɒː	ˈaː	0.364
ˈuə̯	ˈoː	0.364
ˈiː	-	0.333
ˈiə̯	-	0.333
i	ɪ	0.333
ˈɒ	ˈɑ	0.31
ŋ	n_d̥	0.308
ˈy	ˈœ	0.286
ˈo	ˈʊː	0.267
ʒ̊	z	0.267
ʒ̊	s	0.267
ˈoː	ˈɒː	0.25
ˈoː	-	0.25
fː	ə_v̥	0.25
tː	-	0.235
ˈɒ	ˈɑː	0.207
ˈo	ˈɔː	0.2
ˈæ	-	0.19
ˈuː	ˈɔu̯	0.182
ˈuə̯	-	0.182
d̥	-	0.182
ˈi	ˈeː	0.174
ə	-	0.172
χː	x	0.167
χː	-	0.167
d̥_#>	#>	0.167
ˈu	ˈɔ	0.158
ˈu	-	0.158
ŋ	ŋ_k	0.154
ˈæ	ˈɪ	0.143
ˈæ	ˈæː	0.143
ˈo	ˈoː	0.133
ˈi	ˈɪ	0.13
ˈi	ˈɛ	0.13
sː	ˈeː_t	0.111
ˈu	ˈœː	0.105
ˈu	ˈœ	0.105
ˈɒ	-	0.103
ˈæ	ˈɛ	0.095
ˈi	ˈɛː	0.087
ˈi	-	0.087
l	l_ə	0.085
ɡ̊	ŋ	0.083
ɡ̊	k	0.083
ɡ̊	-	0.083
l	j	0.064
r	ʀ_ə	0.061
