West Flemish	Faroese	probability
b	b̥	0.971
d	tʰ	0.304
d	-	0.262
d	d̥	0.252
d	ʤ̊	0.091
d	ʧʰ	0.091
f	v_ʊ	0.863
f	v	0.107
h	-	0.62
h	k	0.284
h	w	0.096
iə̯	a	1.0
j	-	0.344
j	ˈɔ̯aː	0.344
j	ˈaːi̯	0.312
k	k	0.34
k	kʰ	0.256
k	ʧʰ	0.159
k	ʧ	0.053
k	-	0.051
l	l	0.742
l	l̥	0.104
l	l_ʊ	0.088
m	m	0.603
m	m_ʊ	0.331
m	-	0.066
n	n	0.401
n	a	0.311
n	-	0.168
p	p	0.471
p	v	0.233
p	ʰp	0.117
p	ʰpː	0.094
p	ɹ	0.06
s	s	0.808
s	s_k	0.103
t	t	0.408
t	-	0.141
t	d̥_ʊ	0.101
t	tʰ	0.096
t	ʰt	0.075
v	f	0.684
v	v	0.228
w	l	0.525
w	l̥	0.43
z	s	0.876
z	ʃ	0.124
ç	v	1.0
ŋ	ŋ	0.65
ŋ	ɡ̊	0.19
ŋ	-	0.108
ŋ	ɲ	0.052
ə	a	0.387
ə	-	0.248
ə	ʊ	0.22
ə	ɪ	0.067
ɦ	ɡ̊	0.389
ɦ	-	0.105
ɦ	j	0.104
ɦ	ʧː	0.096
ɦ	ɡ̊_f	0.074
ɦ	h	0.07
ɦ	ʤ̊	0.07
ɪ	ŋ	1.0
ɾ	ɹ	0.681
ɾ	-	0.089
ɾ	ɪ_ɹ	0.08
ɾ	ʊ_ɹ	0.079
ʃ	s	0.675
ʃ	f	0.325
ʋ	v	0.65
ʋ	kʰ_v	0.106
ʋ	-	0.1
ʋ	ʧʰ	0.073
ʋ	ʤ̊ː	0.067
ˈeː	ˈeː	0.243
ˈeː	ˈaːi̯	0.186
ˈeː	ˈiː	0.153
ˈeː	ˈɔ̯aː	0.115
ˈeː	ˈʊ	0.088
ˈeː	ˈeə̯	0.066
ˈeː	ˈuː	0.066
ˈi	ˈʊ̯iː	0.65
ˈi	ˈɛːa̯	0.31
ˈiə̯	ˈʊ̯iː	0.327
ˈiə̯	ˈʉːu̯	0.192
ˈiə̯	ˈʊ	0.176
ˈiə̯	ˈɔːu̯	0.086
ˈiə̯	ˈɛːa̯	0.058
ˈoː	ˈɔ	0.232
ˈoː	ˈɛːi̯	0.222
ˈoː	ˈoː	0.219
ˈoː	ˈɔːi̯	0.181
ˈoː	ˈɛːa̯	0.063
ˈu	ˈʊ	0.821
ˈu	ˈa	0.119
ˈuə̯	ˈɔːu̯	0.488
ˈuə̯	ˈøː	0.286
ˈuə̯	ˈɔːu̯_w	0.103
ˈuə̯	ˈɪ	0.073
ˈyː	ˈʉːu̯	0.802
ˈyː	ˈʊ	0.153
ˈæ	j	0.373
ˈæ	ˈɪ	0.354
ˈæ	ˈa	0.152
ˈøː	ˈɔ	0.473
ˈøː	ˈiː	0.249
ˈøː	ˈøː	0.174
ˈøː	ˈʊ	0.104
ˈœ	ˈɪ	0.609
ˈœ	ˈʊ	0.353
ˈɑ	ˈa	0.445
ˈɑ	ˈɔ	0.221
ˈɑ	ˈɛːa̯	0.141
ˈɑ	ˈɛ	0.087
ˈɑ	ˈɔ̯aː	0.06
ˈɒː	ˈɔ̯aː	0.352
ˈɒː	ˈa	0.245
ˈɒː	ˈɛːa̯	0.191
ˈɒː	ˈøː	0.075
ˈɒː	-	0.074
ˈɔ	ˈɔ	0.395
ˈɔ	ˈœ	0.338
ˈɔ	ˈʊ	0.1
ˈɔ	ʎ	0.079
ˈɔ	ˈuː	0.055
ˈɛ	ˈiː	0.393
ˈɛ	ˈɛ	0.287
ˈɛ	ˈɪ	0.122
ˈɛ	ˈʊ̯iː	0.122
ˈɛ	ˈai̯	0.074
ˈɛː	ˈai̯	0.328
ˈɛː	ˈaːi̯	0.325
ˈɛː	ˈɛːi̯	0.215
ˈɛː	ˈøː	0.079
ˈɛː	ˈɛ	0.053
ˈɪ	ˈɪ	0.672
ˈɪ	ˈɛ	0.168
ˈɪ	ˈʊ	0.064
