West Flemish	Faroese	probability
b	b̥	1.0
d	d̥	0.417
d	-	0.269
d	tʰ	0.204
d	ʤ̊	0.062
f	-	0.425
f	tː	0.236
f	v	0.131
h	-	0.709
h	k	0.158
h	v	0.109
h_t	ʰtː	1.0
j	-	0.25
j	ˈaːi̯	0.218
j	ˈɔ̯aː	0.218
k	k	0.38
k	kʰ	0.243
k	ɡ̊_ʊ	0.123
k	h	0.071
k	ʰkː	0.047
l	l	0.643
l	l̥	0.149
l	l_ʊ	0.096
l	-	0.05
l	ʎ	0.043
l_ə	l	0.484
m	m	0.61
m	m_ʊ	0.299
m	-	0.083
n	n	0.427
n	a	0.292
n	-	0.127
n	n̥	0.079
n	ʤ̊	0.045
n_d	nː	1.0
n_t	nː	1.0
p	ʰp	0.312
p	p	0.179
p	tː	0.179
p	v	0.179
p	ɹ	0.12
s	s	0.692
s	s_k	0.157
s	ʃ	0.056
s	sː	0.049
s	k_s	0.043
t	t	0.374
t	-	0.173
t	tʰ	0.121
t	d̥_ʊ	0.067
t	ʰt	0.06
v	f	0.661
v	v	0.196
v	-	0.081
v	kʰ	0.056
w	l̥	0.594
w	w	0.392
z	s	0.943
z	ʃ	0.057
ç	v	0.484
ŋ	ŋ	0.731
ŋ	ɲ	0.09
ŋ	ɡ̊	0.087
ŋ	-	0.064
ə	a	0.42
ə	-	0.246
ə	ʊ	0.189
ə	ʤ̊_ʊ	0.047
ə	ɪ	0.035
ə_l	l	1.0
ɦ	ɡ̊	0.591
ɦ	ʤ̊	0.145
ɦ	j	0.082
ɦ	ʧ	0.053
ɦ	ʧː	0.053
ɪ	ŋ	0.484
ɾ	ɹ	0.607
ɾ	-	0.147
ɾ	ɪ_ɹ	0.105
ɾ	ʊ_ɹ	0.079
ʃ	s	0.415
ʃ	f	0.201
ʃ	ʃ	0.201
ʋ	v	0.602
ʋ	-	0.231
ʋ	kʰ	0.07
ʋ	ʧʰ	0.047
ʋ	ʤ̊	0.045
ˈeː	ˈeː	0.28
ˈeː	ˈuː	0.137
ˈeː	ˈɛ	0.137
ˈeː	ˈɛːi̯	0.095
ˈeː	ˈʊ	0.095
ˈi	ˈʊ̯iː	0.792
ˈi	ˈɛːa̯	0.105
ˈi	ʊ̯ˈiː	0.073
ˈiə̯	ˈʊ̯iː	0.383
ˈiə̯	ˈʊ	0.093
ˈiə̯	ˈuː	0.076
ˈiə̯	r	0.069
ˈiə̯	ˈɔːu̯	0.069
ˈoː	ˈɛːi̯	0.359
ˈoː	ˈɔːi̯	0.186
ˈoː	ˈɔ	0.158
ˈoː	ˈoː	0.096
ˈoː	ˈiː	0.073
ˈu	ˈʊ	0.659
ˈu	ˈa	0.128
ˈu	ˈoː	0.104
ˈu	-	0.049
ˈuə̯	ˈɔːu̯	0.636
ˈuə̯	ˈøː	0.291
ˈuə̯	ˈœ	0.063
ˈyː	ˈʉːu̯	0.852
ˈyː	ˈʊ	0.097
ˈæ	ˈɛ	0.24
ˈæ	ˈɪ	0.182
ˈæ	j	0.175
ˈæ	ˈa	0.12
ˈæ	ˈɛːa̯	0.12
ˈøː	ˈɔ	0.5
ˈøː	ˈøː	0.278
ˈøː	ˈʊ	0.048
ˈœ	ˈɪ	0.6
ˈœ	ˈʊ_t	0.4
ˈɑ	ˈa	0.306
ˈɑ	ˈɔ	0.266
ˈɑ	ˈɛːa̯	0.173
ˈɑ	ˈɛ	0.061
ˈɑ	v_ˈɛːa̯	0.058
ˈɒː	ˈɔ̯aː	0.293
ˈɒː	ˈa	0.27
ˈɒː	ˈɛːa̯	0.209
ˈɒː	ˈoː	0.082
ˈɒː	-	0.065
ˈɔ	ˈœ	0.494
ˈɔ	ˈɔ	0.305
ˈɔ	ˈuː	0.088
ˈɔ	ˈɪ	0.088
ˈɛ	ˈiː	0.354
ˈɛ	ˈɪ	0.203
ˈɛ	ˈai̯	0.136
ˈɛ	ˈɛ	0.125
ˈɛ	ˈʊ̯iː	0.041
ˈɛː	ˈai̯	0.496
ˈɛː	ˈaːi̯	0.194
ˈɛː	ˈɛːi̯	0.13
ˈɛː	ˈøː	0.124
ˈɪ	ˈɪ	0.621
ˈɪ	-	0.103
ˈɪ	ˈɛ	0.08
ˈɪ	ˈʊ̯iː	0.071
ˈɪ	ˈʊ	0.066
