East Low German	Nynorsk Norwegian	probability
b	b	0.91
b	-	0.071
d	d	0.443
d	-	0.257
d	tʰ	0.252
d	ç	0.043
f	f	0.689
f	ʋ	0.262
f	-	0.047
h	h	0.938
h	-	0.062
j	-	0.364
j	ɡ	0.317
j	j	0.276
k	k	0.686
k	ɡ	0.104
k	ɡː	0.098
k	ç	0.064
kʰ	kʰ	0.743
kʰ	ç	0.187
l	l	0.801
l	lː	0.147
l	nː	0.031
l	l_e	0.028
l	-	0.027
m	m	0.789
m	ʋ_ɑ	0.072
m	-	0.06
m	mː	0.039
m	ʋ	0.038
n	n	0.471
n	-	0.2
n	ɑ	0.167
n	nː	0.13
n_d	nː	1.0
p	p	1.0
r	ɾ	0.942
r	-	0.058
s	s	0.83
s	-	0.085
s	sː	0.085
t	t	0.594
t	-	0.227
t	d	0.087
t	ç	0.037
t	çː	0.034
tʰ	tʰ	0.907
tʰ	-	0.074
v	ʋ	0.551
v	-	0.402
v	v	0.048
v_ˈʊ	ˈʉ	1.0
w	ʋ	0.561
w	ˈʏ	0.425
x	ɡ	0.626
x	-	0.202
x	ʰtː	0.133
x_t	ʰtː	1.0
z	s	0.79
z	ʃ	0.2
æ	ɾ	0.539
æ	-	0.186
æ	e_ɾ	0.122
æ	ɑ	0.054
æ	e	0.035
æ_t	ɾ	1.0
ç	ɡ	0.231
ç	-	0.213
ç	ʰtː	0.149
ç	ɡː	0.13
ç	ç	0.129
ŋ	ŋː	0.349
ŋ	ŋː_e	0.34
ŋ	ɡ	0.129
ŋ	ɑ	0.112
ŋ_k	ŋː	0.561
ŋ_k	ʰkː	0.425
ɡ	ɡ	0.803
ɡ	j	0.187
ɣ	-	0.479
ɪ	ɑ	0.291
ɪ	-	0.139
ɪ	ŋ	0.139
ɾ	ɾ	0.6
ɾ	ˈuː	0.103
ɾ	d	0.096
ɾ	-	0.068
ɾ	ˈøː	0.068
ʃ	s	0.573
ʃ	s_k	0.215
ʃ	ʃ	0.203
ˈa	ˈɑ	0.554
ˈa	ˈɑː	0.197
ˈa	ˈɔ	0.115
ˈa	ˈɛ	0.063
ˈa	ˈeː	0.057
ˈae̯	ˈʉː	0.215
ˈae̯	ˈæɪ̯	0.169
ˈae̯	ˈiː	0.109
ˈae̯	ˈyː	0.109
ˈae̯	ˈeː	0.098
ˈaɪ̯	ˈyː	0.479
ˈaʊ̯	ˈuː	0.532
ˈaʊ̯	ˈæʉ̯	0.177
ˈaʊ̯	ˈoː	0.102
ˈaʊ̯	ˈœʏ̯	0.067
ˈaʊ̯	ˈɑ	0.056
ˈaʊ̯_t	ˈæʉ̯	1.0
ˈaː	ˈɑ_ɾ	0.679
ˈaː	ˈæ	0.127
ˈaː	ˈɑː	0.097
ˈeː	ˈoː	0.199
ˈeː	ˈøː	0.095
ˈiː	ˈiː	0.477
ˈiː	ˈɛ	0.154
ˈiː	ˈeː	0.117
ˈiː	ˈyː	0.117
ˈiː	j	0.062
ˈiː_t	ˈiː	1.0
ˈoː	ˈoː	0.347
ˈoː	ˈæʉ̯	0.229
ˈoː	ˈɔ	0.229
ˈoː	ˈœ	0.144
ˈuː	ˈʉː	0.487
ˈuː	ˈuː	0.143
ˈuː	ˈʊ	0.124
ˈuː	ˈœʏ̯	0.082
ˈuː	ˈɔ	0.082
ˈyː	ˈyː	0.339
ˈyː	ˈœʏ̯	0.257
ˈyː	ˈʉ	0.153
ˈyː	ˈʏ	0.153
ˈøː	ˈʉ	0.66
ˈøː	ˈʊ	0.151
ˈœ	ˈɔ	0.45
ˈœ	ˈoː	0.216
ˈœ	ˈɛ	0.119
ˈœː	ˈʉː	0.331
ˈœː	ˈoː	0.219
ˈœː	ˈɔ	0.219
ˈœː	ˈʉ	0.219
ˈɒː	ˈoː	0.384
ˈɒː	ˈɑː	0.242
ˈɒː	ˈɑ	0.179
ˈɒː	ˈʉ	0.081
ˈɒː	ˈɔ	0.061
ˈɔ	ˈɑ	0.202
ˈɔ	ˈʉː	0.202
ˈɔ	ˈʏ	0.193
ˈɔ	ˈɔ	0.133
ˈɔ	ˈʉ	0.133
ˈɔʏ̯	ˈøː	0.692
ˈɔʏ̯	ˈœʏ̯	0.287
ˈɛ	ˈɛ	0.324
ˈɛ	j	0.158
ˈɛ	-	0.12
ˈɛ	ˈœ	0.087
ˈɛ	ˈʉː	0.068
ˈɛː	ˈeː	0.397
ˈɛː	ˈɑː	0.199
ˈɛː	ˈiː	0.118
ˈɛː	ˈɑ	0.118
ˈɛː	ˈɛː	0.078
ˈɪ	ˈɪ	0.498
ˈɪ	ˈiː	0.147
ˈɪ	ˈæɪ̯	0.118
ˈɪ	ˈeː	0.084
ˈɪ	ˈɛ	0.082
ˈʊ	ˈʊ	0.397
ˈʊ	ˈʉ	0.337
ˈʊ	ˈɔ	0.143
ˈʊ	-	0.098
ˈʏ	ˈʏ	0.778
ˈʏ	ˈɛ	0.214
