Limburgish	Danish	probability
b	b̥	0.944
b	-	0.055
d	d̥	0.494
d	ʦʰ	0.358
d	-	0.124
f	-	0.32
f	v	0.211
f	mˀ	0.135
f	ʋ	0.129
f	w	0.079
j	-	0.423
j	ð̞ˠ	0.318
j	lˀ	0.171
k	-	0.462
k	kʰ	0.375
k	ɡ̊	0.094
k	k	0.057
l	l	0.832
l	lˀ	0.125
m	m	0.865
m	mˀ	0.09
n	n	0.754
n	-	0.15
n	nˀ	0.084
n_t	nˀ	1.0
p	b̥	0.534
p	-	0.225
p	pʰ	0.129
p	p	0.091
s	s	0.972
t	ð̞ˠ	0.577
t	t	0.173
t	-	0.121
t	ʦʰ	0.093
t_β	ʦʰ	1.0
v	f	0.83
v	-	0.113
v_ə	w	1.0
w	lˀ	0.463
x	j	0.382
x	t	0.271
x	-	0.239
x	s	0.06
z	s	1.0
ŋ	ŋˀ	0.529
ŋ	ŋ	0.463
ŋ_k	k	1.0
ə	-	0.555
ə	ə	0.361
ə	w	0.053
ə_x	w	1.0
ɡ	-	0.463
ɣ	ɡ̊	0.644
ɣ	-	0.233
ɣ	jˀ	0.105
ɦ	h	0.917
ɦ	j	0.072
ɪ	e	0.306
ɪ	-	0.142
ɪː	ˈe	1.0
ʀ	ʁ	0.331
ʀ	ɐ	0.325
ʀ	-	0.206
ʀ	ɐˀ	0.105
ʀ_t	ɐˀ	1.0
ʃ	k	0.715
ʃ	f	0.28
ʦ	k	0.215
ˈaː	ˈɑ	0.286
ˈaː	ˈɛ	0.222
ˈaː	ˈa	0.205
ˈaː	ˈʌ	0.092
ˈaː	ˈæˀ	0.06
ˈaː	ˈɑː	0.059
ˈeː	ˈyˀ	0.146
ˈeː	ˈiˀ	0.145
ˈeː	ˈeˀ	0.141
ˈeː	ˈyː	0.116
ˈeː	ˈɛˀ	0.084
ˈi	ˈɑ	0.224
ˈi	j	0.129
ˈi	ˈe	0.129
ˈi	ˈɛ	0.129
ˈi	ˈeˀ	0.088
ˈi	ˈoˀ	0.088
ˈi	ˈɔˀ	0.088
ˈi	ˈiˀ	0.062
ˈiː	ˈiˀ	0.471
ˈiː	ˈiː	0.215
ˈiː	ˈeː	0.087
ˈiː	ˈyˀ	0.087
ˈiː	ˈɛ	0.087
ˈoː	ˈoˀ	0.441
ˈoː	ˈʌ	0.155
ˈoː	ˈoː	0.146
ˈoː	ˈuˀ	0.095
ˈu	ˈœˀ	0.758
ˈu	ˈʌˀ	0.172
ˈuː	ˈuˀ	0.662
ˈuː	ˈøː	0.148
ˈuː	ˈu	0.098
ˈv	f	1.0
ˈyː	ˈøː	0.282
ˈyː	ˈi	0.214
ˈyː	ɐ	0.114
ˈæ	ˈɑˀ	0.28
ˈæ	ˈɛ	0.28
ˈæ	ˈa	0.162
ˈæ	ˈʌ	0.162
ˈæː	ˈæ	0.297
ˈæː	ˈɑˀ	0.297
ˈæː	ˈa	0.172
ˈæː	ˈɛ	0.099
ˈøː	ˈœˀ	0.295
ˈøː	ˈo	0.194
ˈøː	ˈœ	0.119
ˈøː	ˈyˀ	0.079
ˈøː	ˈʌ	0.079
ˈøː	ˈoː	0.076
ˈœ	ˈœ	0.304
ˈœ	ˈɛː	0.176
ˈœ	ˈoː	0.162
ˈœ	ˈy	0.162
ˈœi̯	ˈuˀ	0.275
ˈœi̯	ˈuː	0.146
ˈœi̯	ˈyˀ	0.146
ˈœi̯	ˈœ	0.103
ˈœi̯	ˈy	0.089
ˈœː	ˈo	0.5
ˈœː	ˈɔˀ	0.5
ˈɑ	ˈɛ	0.217
ˈɑ	ˈa	0.152
ˈɑ	ˈe	0.132
ˈɑ	ˈo	0.132
ˈɑ	ˈɑ	0.132
ˈɑ	ˈeː	0.09
ˈɑ	ˈeˀ	0.062
ˈɑː	ˈa	0.761
ˈɑː	ˈɛˀ	0.108
ˈɑː	ˈʌ	0.075
ˈɒː	ˈɒˀ	0.242
ˈɒː	ˈɔˀ	0.18
ˈɒː	ˈa	0.098
ˈɒː	ˈɒː	0.095
ˈɒː	ˈɔː	0.095
ˈɒː	ˈɑː	0.067
ˈɒː	ˈɛː	0.065
ˈɔ	ˈu	0.413
ˈɔ	ˈʌ	0.219
ˈɔ	ˈɛ	0.089
ˈɔ	ˈœˀ	0.086
ˈɔ	ˈœ	0.052
ˈɔu̯	ˈʌ	0.215
ˈɔː	ˈu	0.367
ˈɔː	ˈœˀ	0.242
ˈɔː	ˈʌˀ	0.242
ˈɔː	ˈøː	0.086
ˈɛ	ˈiː	0.257
ˈɛ	ˈɛ	0.216
ˈɛ	ˈe	0.194
ˈɛ	ˈiˀ	0.079
ˈɛ	ˈeˀ	0.076
ˈɛi̯	ˈɛˀ	1.0
ˈɛː	ˈeˀ	0.564
ˈɛː	ˈe	0.097
ˈɛː	ˈɛ	0.097
ˈɛː	ˈi	0.094
ˈɛː	ˈiː	0.063
ˈɛːi̯	ˈeˀ	0.306
ˈɛːi̯	ˈɛˀ	0.306
ˈɪ	ˈe	0.336
