Northern Low Saxon	American English	probability
b	b	0.717
b	p	0.246
b_m	p	1.0
d	d	0.51
d	t	0.174
d	θ	0.158
d	ð	0.055
d	-	0.052
d_n	t	1.0
f	f	0.947
f	v	0.051
h	h	1.0
i	i	1.0
j	ɡ	0.49
k	k	1.0
kʰ	kʰ	0.422
kʰ	ʧ	0.422
kʰ	-	0.102
l	l	0.517
l	ɫ	0.38
l	ð	0.05
m	m	0.85
m	v	0.147
n	n	0.671
n	-	0.279
p	p	1.0
r	ɹ	0.967
s	s	0.753
s	z	0.108
s	k_s	0.082
s	-	0.052
t	t	0.66
t	d	0.336
tʰ	tʰ	1.0
v	w	0.882
v	-	0.07
x	t	0.538
x	-	0.257
x	f	0.194
z	s	0.886
z	z	0.073
ç	-	0.711
ç	t	0.176
ç	ʤ	0.101
ŋ	ŋ	0.826
ŋ	-	0.106
ŋ	n	0.061
ɐ	ɚ	0.677
ɐ	ɹ	0.264
ə	ɚ	0.49
ɡ	k	0.356
ɡ	ɡ	0.322
ɡ	ʧ	0.102
ɡ	-	0.094
ɡ	ʤ	0.062
ɡ	j	0.054
ɡ_l	ɫ	0.49
ɪ	i	0.74
ɪ	ŋ	0.192
ʃ	ʃ	0.576
ʃ	s	0.419
ʒ	j	1.0
ˈa	ˈæ	0.449
ˈa	ˈeɪ̯	0.179
ˈa	ˈɑ	0.128
ˈa	ˈʌ	0.1
ˈa	ˈaɪ̯	0.076
ˈa	ˈɔ	0.05
ˈaɪ̯	ˈi	0.403
ˈaɪ̯	ˈoʊ̯	0.27
ˈaɪ̯	ˈaɪ̯	0.112
ˈaɪ̯	ˈu	0.068
ˈaɪ̯	ˈɔ	0.068
ˈaɪ̯	ˈɛ	0.066
ˈaʊ̯	ˈi	0.188
ˈaʊ̯	ˈɛ	0.132
ˈaʊ̯	ˈʌ	0.132
ˈaʊ̯	ˈu	0.122
ˈaʊ̯	ˈɔ	0.112
ˈaʊ̯	ˈoʊ̯	0.106
ˈaʊ̯	ˈʊ	0.083
ˈaʊ̯_x	ˈaɪ̯	1.0
ˈaː	ˈɑ_ɹ	0.375
ˈaː	ˈæ	0.284
ˈaː	ˈɔ	0.187
ˈaː	ˈɝ	0.121
ˈeɪ̯	ˈɛ	0.425
ˈeɪ̯	ˈeɪ̯	0.146
ˈeɪ̯	ˈi	0.135
ˈeː	ˈɛ	0.336
ˈeː	ˈi	0.151
ˈeː	ˈaɪ̯	0.098
ˈeː	ˈɪ	0.098
ˈeː	ˈu	0.073
ˈeː	ˈoʊ̯	0.071
ˈeː	ˈɔ	0.071
ˈiː	ˈaɪ̯	0.5
ˈiː	ˈi	0.286
ˈiː	ˈɪ	0.132
ˈiː	ˈu	0.069
ˈoː	ˈi	0.318
ˈoː	ˈeɪ̯	0.311
ˈoː	ˈɛ	0.16
ˈoː	ˈɑ	0.072
ˈoː	ˈu	0.068
ˈoː	ˈaʊ̯	0.055
ˈuː	ˈaʊ̯	0.812
ˈuː	ˈaɪ̯	0.089
ˈuː	ˈʊ	0.086
ˈyː	ˈaɪ̯	0.488
ˈyː	ˈɪ	0.208
ˈyː	ˈi	0.127
ˈø	ˈɪ	1.0
ˈøː	ˈoʊ̯	0.367
ˈøː	ˈaʊ̯	0.242
ˈøː	ˈɛ	0.148
ˈøː	ˈʌ	0.148
ˈœ	ˈɛ	0.24
ˈœː	ə	0.49
ˈɔ	ˈɑ	0.606
ˈɔ	ˈɛ	0.233
ˈɔ	ˈɔ	0.124
ˈɔʏ̯	ˈi	0.683
ˈɔʏ̯	ˈaɪ̯	0.126
ˈɔʏ̯	ˈɪ	0.093
ˈɔʏ̯	ˈɛ	0.071
ˈɔː	ˈɝ	1.0
ˈɛ	ˈɛ	0.343
ˈɛ	ˈeɪ̯	0.276
ˈɛ	ˈæ	0.158
ˈɛ	ˈaɪ̯	0.107
ˈɛ	ˈɪ	0.075
ˈɛɪ̯	ˈi	0.361
ˈɛɪ̯	ˈɑ	0.361
ˈɛɪ̯	ˈʌ	0.203
ˈɪ	ˈɪ	0.474
ˈɪ	ˈaɪ̯	0.291
ˈɪ	ˈɛ	0.105
ˈɪ	ˈoʊ̯	0.092
ˈʊ	ˈʌ	0.417
ˈʊ	ˈʊ	0.207
ˈʊ	ˈaʊ̯	0.176
ˈʊ	ˈoʊ̯	0.153
ˈʏ	ˈɪ	0.756
ˈʏ	ˈɛ	0.173
ˈʏ	ˈʌ	0.057
