Palatine German	Palatine German	probability
ˈɛ̃ː	-	1.0
ˈɛ_ɐ	r	1.0
ˈɑ̃ː	-	1.0
ˈɑ̃ɪ̯	-	1.0
ˈɑ_n_#>	ˈɒː_#>	1.0
ˈõː	ˈoː_n	1.0
ˈo	ˈɒː	1.0
ˈĩː	ˈyə̯_n	1.0
ˈi	ˈyː	1.0
ˈau̯̯	ˈuː	1.0
ˈau̯	ˈuː	1.0
ʣ̥	ʦ	1.0
ɡ̊_r	ɡ̊_r	1.0
ɑ	ə	1.0
ɐ_n	r_n	1.0
ŋ	ŋ	1.0
pʰ	p͡f	1.0
n_d̥_#>	#>	1.0
n_d̥	ŋ	1.0
m	m	1.0
kʰ	ɣ̊	1.0
h	h	1.0
eː	æ	1.0
<#_r	<#_r	1.0
#>	ˈɒː_#>	1.0
ə	ə	0.953
l	l	0.941
ˈɑ	ˈɒ	0.897
β	ʋ	0.879
b̥	b̥	0.833
x	χː	0.786
n	n	0.756
ˈuː	ˈuə̯	0.75
ˈu	ˈu	0.75
d̥	tː	0.706
ˈɛ	ˈæ	0.696
ˈɔ	ˈo	0.688
ɪ	i	0.667
ˈɪ	ˈi	0.645
ˈoː	ˈoː	0.632
f	v̥	0.625
d̥_r	tː_r	0.625
ɐ	r	0.619
j	ɡ̊	0.6
ˈɛː	ˈæi̯	0.571
r	r	0.565
s	z̥	0.56
ˈaɪ̯	ˈiː	0.476
ˈeː	-	0.455
ɡ̊	ɡ̊	0.448
s	sː	0.44
ˈɑː	ˈau̯	0.421
j	j	0.4
ʃ	ʒ̊	0.385
ɐ	ə_r	0.381
d̥_r	d̥_r	0.375
ˈɑː	ˈɒː	0.368
ˈeː	ˈeː	0.364
ɡ̊	kː	0.345
ˈiː	ˈyː	0.333
ˈiː	ˈiə̯	0.333
ɪ	-	0.333
f	fː	0.325
ˈɔ	ˈu	0.312
d̥	d̥	0.294
ˈɛː	ˈæ	0.286
ˈaɪ̯	-	0.286
ˈuː	-	0.25
ʃ	ʃː	0.25
ˈaɪ̯	ˈyː	0.238
ˈɪ	ˈy	0.226
x	ɡ̊	0.214
ˈɑː	ˈɒ	0.211
ˈoː	ˈɒː	0.211
ˈiː	-	0.2
ʃ	ɡ̊	0.192
ˈeː	ˈøː	0.182
ˈɛ	ˈe	0.174
r	d̥	0.174
ˈoː	ˈo	0.158
n	n_d̥	0.146
ˈɛː	ˈøi̯	0.143
ɡ̊	χː	0.138
ʃ	χː	0.135
ˈiː	ˈyə̯	0.133
ˈɛ	ˈø	0.13
r	tː_ə	0.13
r	tː	0.13
ˈu	ˈuə̯	0.125
ˈu	-	0.125
ˈɑ	-	0.103
b̥	p͡f	0.1
n	-	0.098
ɡ̊	ɣ̊	0.069
b̥	pː	0.067
ˈɪ	ˈyː	0.065
ˈɪ	ˈu	0.065
β	b̥_ə	0.061
β	b̥	0.061
