Ripuarian	Mainland North Frisian	probability
ˈʏ	-	1.0
ˈʊ	-	1.0
ˈɛ_ɐ	ʀ	1.0
ˈɔː	ˈɔ	1.0
ˈu	-	1.0
ˈoː_#>	ˈʏ_#>	1.0
ˈoʊ̯	-	1.0
ˈeː_#>	ʀ_#>	1.0
ˈeɪ̯_#>	ˈi_#>	1.0
ˈeɪ̯	ˈiː	1.0
ˈa_ŋ	ˈœ	1.0
ʦ	t	1.0
ʋ_ˈɔ	ˈʊ	1.0
ʀ_ˈœ	ʀ_ˈʏ	1.0
ʀ_ˈe	ʀ	1.0
ɫ_d̥	lʲ	1.0
ɪ	i	1.0
ɣ̊	-	1.0
ɣ	j	1.0
ɡ̊_#>	#>	1.0
ə_ɕ	i	1.0
ə_#>	#>	1.0
ɕ_#>	#>	1.0
z̥_#>	s_#>	1.0
v̥	v̥	1.0
t	t	1.0
p	p	1.0
h	h	1.0
f_ˈɔ	f	1.0
f_#>	n_#>	1.0
d̥_#>	#>	1.0
b	b	1.0
<#_d	<#_tʲ	1.0
ə	ə	0.955
l	l	0.923
ʋ	v	0.909
z	s	0.905
m	m	0.905
k	k	0.773
ˈeː	ˈiː	0.722
ʀ	ʀ	0.714
f	f	0.704
n	n	0.69
ɫ	l	0.682
ˈɔʊ̯	ˈuː	0.667
v	v	0.667
d	d	0.645
ɕ	k	0.636
#>	ə_#>	0.625
ˈɔ	-	0.6
ˈyː	ˈœː	0.6
ɐ	ə_ʀ	0.593
ʃ	s	0.577
x	k	0.571
ˈo	ˈʊ	0.538
j	ɡ	0.538
ŋ	ŋ	0.524
ˈɛ	ˈeː	0.5
ˈœ	ˈeː	0.5
ˈœ	-	0.5
ɡ̊	nʲ	0.5
ɡ̊	d̥	0.5
ŋ	n	0.476
ˈiː	ˈi	0.455
ˈɛː	-	0.429
ˈuː	ˈʏ	0.429
x	x_t	0.429
ʃ	ʃ	0.423
d̥	dʲ	0.417
ˈɪ	ˈi	0.4
ˈɔ	ˈɔu̯	0.4
ˈyː	-	0.4
ˈøː	ˈɛi̯	0.375
ˈøː	ˈɛ	0.375
#>	t_#>	0.375
ˈiː	ˈiː	0.364
ˈe	ˈa	0.357
ˈoː	-	0.353
ˈɔʊ̯	ˈœː	0.333
ɐ	ʀ	0.333
v	-	0.333
s	tʲ	0.316
ˈo	-	0.308
ˈaː	-	0.308
j	j	0.308
ˈɪ	ˈa	0.3
ˈɪ	-	0.3
ˈoː	ˈœ	0.294
d	t	0.29
ˈɛː	ˈɛː	0.286
ˈɛː	j_ˈa	0.286
ˈuː	ˈyː	0.286
ˈuː	-	0.286
ˈe	ˈi	0.286
ˈeː	-	0.278
ˈa	-	0.273
ˈɛ	ˈɛː	0.25
ˈɛ	ˈi	0.25
ˈøː	-	0.25
d̥	d̥	0.25
ˈaː	ˈɔː	0.231
ˈaː	ˈɒː	0.231
ˈaː	ˈɒ	0.231
k	-	0.227
f	p	0.222
ˈe	-	0.214
s	t	0.211
s	s	0.211
ˈiː	-	0.182
ˈa	ˈɒ	0.182
ɕ	ç	0.182
ɕ	x_t	0.182
d̥	ʀ_d̥	0.167
d̥	z̥	0.167
s	d	0.158
ˈo	ˈʏ	0.154
j	-	0.154
ˈe	ˈʊ	0.143
n	nʲ	0.143
ˈa	ˈʊ	0.136
ˈa	ˈɒː	0.136
ˈa	ˈœ	0.136
ˈa	ˈuː	0.136
ɫ	l_ə	0.136
ˈoː	ˈɛi̯	0.118
ˈoː	ˈɛ	0.118
ˈoː	ˈuː	0.118
s	z	0.105
ʀ	ʀ_ˈɔu̯	0.095
ʀ	ʀ_ˈiː	0.095
ʀ	-	0.095
z	-	0.095
n	ʀ_n	0.095
m	m_ˈɔː	0.095
ʋ	-	0.091
ɫ	ə_l	0.091
ɫ	lʲ	0.091
l	l_v	0.077
ɐ	ə	0.074
f	v̥	0.074
n	-	0.071
d	dʲ	0.065
