Pennsylvania German	Afrikaans	probability
b	b	1.0
d	d	0.826
d	t	0.089
d	-	0.076
d_ə	t	1.0
f	f	0.822
f	p	0.126
f	t	0.041
f	v	0.038
f_ə	p	0.517
h	ɦ	0.936
h	k	0.068
j	-	0.457
j	n	0.263
j	j	0.206
k	χ	0.697
k	-	0.156
k	k	0.136
k_s	s	1.0
k_ə	k	1.0
kʰ	k	0.888
kʰ	-	0.103
l	ɫ	0.951
m	m	1.0
n	n	0.879
n	n_d	0.058
n	-	0.046
n	ŋ	0.045
p	f	0.559
p	p	0.439
p͡f	p	1.0
s	s	0.677
s	t	0.317
s_ə	t	1.0
t	t	0.676
t	-	0.323
v	-	0.464
v	v	0.372
v	f	0.134
x	χ	0.679
x	k	0.304
ç	k	0.5
ç	χ	0.257
ç	ŋ	0.175
ç	-	0.065
ç_t	χ	1.0
ŋ	ŋ	1.0
ɑ	r	0.611
ɑ	ə	0.352
ɑ	-	0.042
ə	-	0.862
ə	ə	0.135
ə_f	p	0.517
ɡ	χ	0.931
ɡ	k	0.072
ɣ	-	0.297
ɣ	n	0.297
ɣ_l	ɫ	1.0
ɪ	ə	0.711
ɪ	-	0.283
ɾ	r	0.908
ɾ	-	0.087
ɾ_ɪ	r	1.0
ʃ	s	0.871
ʃ	s_k	0.125
ʋ	v	0.703
ʋ	w	0.25
ʋ	-	0.051
ʦ	t	0.917
ʦ	d	0.084
ˈa	ˈa	0.68
ˈa	ˈɑː	0.117
ˈa	ˈɔː	0.043
ˈa	ˈɪ	0.043
ˈa	ˈə	0.042
ˈa	ˈɛː	0.041
ˈa	ˈʊə̯	0.041
ˈa_l	ˈœu̯	1.0
ˈaɪ̯	ˈəɪ̯	0.454
ˈaɪ̯	ˈi	0.13
ˈaɪ̯	ˈœɪ̯	0.13
ˈaɪ̯	ˈyː	0.096
ˈaɪ̯	ˈə	0.096
ˈaɪ̯	ˈœi̯	0.063
ˈaʊ̯	ˈœɪ̯	0.644
ˈaʊ̯	ˈɔ	0.15
ˈaʊ̯	ˈʊə̯	0.145
ˈaː	ˈa_r	0.219
ˈaː	ˈa	0.144
ˈaː	ˈɔ	0.144
ˈaː	ˈʊə̯_r	0.144
ˈaː	ˈœ	0.11
ˈaː	ˈæ	0.107
ˈaː	ə	0.08
ˈeː	ˈəɪ̯	0.209
ˈeː	ˈɪə̯	0.209
ˈeː	ˈi	0.2
ˈeː	ˈʊə̯	0.188
ˈeː	ˈɪə̯_n	0.108
ˈeː	ˈɛ	0.058
ˈiː	ˈi	0.691
ˈiː	ˈu	0.289
ˈoː	ˈɑː	0.422
ˈoː	ˈʊə̯	0.413
ˈoː	ˈoːi̯	0.089
ˈoː	ˈɪø̯	0.073
ˈuː	ˈu	0.708
ˈuː	ˈuː	0.179
ˈuː	ˈuːi̯	0.095
ˈɔ	ˈɔ	0.656
ˈɔ	ˈʊə̯	0.255
ˈɔ	ˈœu̯	0.085
ˈɔː	ˈɑː	0.343
ˈɔː	ˈa	0.243
ˈɔː	ˈʊə̯	0.202
ˈɔː	ˈɔ	0.057
ˈɔː	ˈɪø̯	0.057
ˈɔː	ˈœu̯	0.056
ˈɔː	ˈɛː	0.053
ˈɛ	ˈɪə̯	0.362
ˈɛ	ˈɛ	0.319
ˈɛ	ˈa	0.121
ˈɛ	ˈɑː	0.097
ˈɛ	ˈœ	0.074
ˈɛ_d	ˈɪə̯	1.0
ˈɛː	ˈɑː	0.306
ˈɛː	ˈæː	0.168
ˈɛː	ˈɛ	0.142
ˈɛː	ˈa	0.127
ˈɛː	ˈɔ	0.127
ˈɛː	ˈɪə̯	0.057
ˈɛː	-	0.046
ˈɪ	ˈə	0.528
ˈɪ	ˈœ	0.127
ˈɪ	ˈɛ	0.094
ˈɪ	ˈɪə̯	0.075
ˈɪ	ˈəɪ̯	0.07
ˈɪ	ˈʊə̯	0.044
ˈɪ	-	0.043
ˈɪ	ˈæ	0.043
ˈʊ	ˈɔ	0.69
ˈʊ	ˈɪø̯	0.067
ˈʊ	ˈu	0.066
ˈʊ	ˈɔː	0.066
ˈʊ	ˈœ	0.065
ˈʊ	ˈʊə̯	0.065
