West Frisian	Faroese	probability
b	b̥	0.898
b	tʰ	0.06
d	-	0.391
d	d̥	0.391
d	tʰ	0.139
f	f	0.707
f	v	0.091
f	v_ʊ	0.09
f	-	0.082
h	h	0.907
h	-	0.093
j	-	0.431
j	ˈɔːu̯	0.162
j	ʤ̊	0.107
j	j	0.052
k	k	0.261
k	kʰ	0.235
k	k_ʊ	0.2
k	-	0.109
k	ʧ	0.066
k	ʰʧː	0.056
l	l	0.658
l	l̥	0.111
l	l_ʊ	0.079
l	l̥_ʊ	0.066
l	-	0.056
m	m	0.651
m	m_ʊ	0.172
m	-	0.146
n	n	0.48
n	-	0.216
n	n̥	0.123
n	nː	0.101
n	ʤ̊ː	0.057
p	p	0.644
p	v	0.132
p	ɹ	0.102
p	ʰp	0.094
r	ɹ	0.728
r	-	0.062
r	ʊ_ɹ	0.061
s	s	0.8
s	ʃ	0.135
t	t	0.352
t	-	0.217
t	tʰ	0.189
t	ʰt	0.092
v	v	0.843
v	-	0.083
v	ʧʰ	0.073
z	j	0.747
z	s	0.253
ŋ	ŋ	0.918
ɕ	s	1.0
ə	a	0.511
ə	-	0.192
ə	ɪ	0.129
ə	ʊ	0.092
ɡ	ɡ̊	0.826
ɡ	ʧ	0.174
ɣ	ʎ	0.29
ɣ	ʤ̊ː	0.29
ɣ	ɡ̊	0.22
ɣ	ɡ̊ː	0.152
ɪ	a	0.574
ɪ	-	0.371
ɪ	ɛ	0.055
ʋ	v	0.676
ʋ	ˈɔ	0.135
ʋ	-	0.098
ʋ	kʰ	0.09
ʦ	tʰ	0.416
ʦ	ʧʰ	0.416
ʦ	t	0.167
ˈa	ˈa	0.346
ˈa	ˈɛ	0.292
ˈa	ˈɛːa̯	0.252
ˈa	ˈɔ	0.11
ˈaː	ˈa	0.328
ˈaː	ˈɛːa̯	0.194
ˈaː	ˈeː	0.177
ˈaː	ˈɛ	0.083
ˈaː	ˈɔ̯aː	0.067
ˈaː	ˈɔ	0.052
ˈeː	ˈʊ	0.541
ˈeː	ˈɔ	0.285
ˈeː	ˈɔ̯aː	0.109
ˈeː	ˈiː	0.065
ˈi	ˈʊ̯iː	0.56
ˈi	ˈeː	0.129
ˈi	ˈɪ	0.12
ˈi	ˈaːi̯	0.059
ˈi	ˈɛːa̯	0.059
ˈiə̯	ˈɔ̯aː	0.262
ˈiə̯	ˈai̯	0.178
ˈiə̯	ˈaːi̯	0.164
ˈiə̯	ˈʊ	0.124
ˈiə̯	ˈøː	0.085
ˈiə̯	ˈɔːu̯	0.062
ˈiː	ˈɪ	0.426
ˈiː	ˈʊ̯iː	0.2
ˈiː	ˈai̯	0.088
ˈiː	ʊ̯ˈiː	0.086
ˈiː	ˈɔ	0.078
ˈiː	ˈiː	0.061
ˈiː	ˈʉːu̯	0.061
ˈoə̯	ˈɔ	0.416
ˈoə̯	ˈɔ̯aː	0.327
ˈoə̯	ˈiː	0.083
ˈoə̯	nː	0.078
ˈoː	ˈɪ_ɡ̊	0.563
ˈoː	ˈɔːu̯	0.282
ˈoː	ˈʉːu̯	0.155
ˈu	ˈʊ	1.0
ˈuə̯	ˈɔːu̯	0.382
ˈuə̯	ɹ_ʊ	0.278
ˈuə̯	ˈʉːu̯	0.111
ˈuə̯	ˈiː	0.071
ˈuə̯	ˈɔ̯aː	0.055
ˈuə̯	ʊ	0.053
ˈuː	ˈʉːu̯	0.38
ˈuː	ˈʊ	0.313
ˈuː	ˈʊ̯iː	0.131
ˈuː	ˈɔ	0.111
ˈuː	ˈʏ	0.065
ˈy	ˈuː	0.68
ˈy	ˈɪ	0.32
ˈyː	ˈɔ	0.5
ˈyː	ˈʉːu̯	0.5
ˈø	ˈøː	0.509
ˈø	ˈɔ̯aː	0.245
ˈø	ˈɪ	0.245
ˈøə̯	r	1.0
ˈɔ	ˈʊ	0.376
ˈɔ	ˈœ	0.157
ˈɔ	ˈoː	0.127
ˈɔ	ˈɪ	0.095
ˈɔ	-	0.081
ˈɔ	ʊ	0.081
ˈɔu̯	ˈʊ̯iː	0.526
ˈɔu̯	ˈʊ	0.474
ˈɔː	ˈa	0.54
ˈɔː	ˈɛːi̯	0.292
ˈɔː	ˈɔ	0.168
ˈɛ	-	0.25
ˈɛ	ˈœ	0.196
ˈɛ	ˈa	0.126
ˈɛ	ˈʊ	0.118
ˈɛ	ˈɪ	0.098
ˈɛ	ˈɛːi̯	0.079
ˈɛ	ˈɔ	0.067
ˈɛi̯	ˈɛ	0.354
ˈɛi̯	ˈʉːu̯	0.309
ˈɛi̯	ˈaːi̯	0.139
ˈɛi̯	w	0.081
ˈɛi̯	ˈeː	0.067
ˈɛi̯	ˈa	0.05
ˈɛː	ˈa_t	0.425
ˈɛː	ˈɛːa̯	0.287
ˈɛː	ˈɪ	0.287
ˈɪ	ˈɪ	0.197
ˈɪ	ˈɛ	0.143
ˈɪ	ˈeː	0.14
ˈɪ	ˈɛːa̯	0.121
ˈɪ	ˈʊ	0.118
ˈɪ	-	0.089
ˈɪ	ˈiː	0.077
ˈɪə̯	ˈɛːi̯	0.216
ˈɪə̯	j	0.17
ˈɪə̯	ˈɔːi̯	0.143
ˈɪə̯	ˈɔ̯aː	0.099
ˈɪə̯	ˈɛːa̯	0.088
ˈɪə̯	-	0.08
ˈɪə̯	ˈʏ	0.066
ˈɪə̯	ˈa	0.061
ˈɵ	ˈøː	1.0
χ	ʰtː	0.458
χ	v_ʊ	0.15
χ	j	0.148
χ	-	0.111
χ	ɡ̊ː	0.088
