Swiss German	Westphalian	probability
χː_sː_#>	s_#>	1.0
χː_#>	k_#>	1.0
ˈøː	-	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈyː_#>	ˈaɪ̯_#>	1.0
ˈyə̯	ˈøː	1.0
ˈu_r	ˈuːə̯	1.0
ˈiə̯	-	1.0
ˈi_n	ˈɪ	1.0
ˈeː	-	1.0
ˈau̯	ˈaʊ̯	1.0
ʦ	t	1.0
ʒ̊	ʃ	1.0
ʃː_tː	s_t	1.0
ʃː	ʃ_k	1.0
ɣ̊	k	1.0
ə_r	ɐ	1.0
ŋ_#>	n_d̥_#>	1.0
ŋ	ŋ	1.0
z̥_#>	z̥_#>	1.0
tː_ə	d_n	1.0
sː_ə	t_n	1.0
sː	t	1.0
p͡f	p	1.0
n_ə	nː	1.0
n_d̥	n	1.0
n	n	1.0
m	m	1.0
l_tː	l_d̥	1.0
l	l	1.0
j	j	1.0
h	h	1.0
d̥_ə	nː	1.0
d̥_#>	#>	1.0
b̥_ə	v_n	1.0
b̥_#>	#>	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d̥	<#_d	1.0
v̥	f	0.913
d̥	d̥	0.833
ˈiː	ˈiː	0.818
z̥	s	0.81
ˈæi̯	ˈeː	0.8
ˈi	ˈɪ	0.8
ʋ	v	0.792
b̥	b	0.769
#>	n_#>	0.75
kː	k	0.714
ˈuə̯	ˈoː	0.7
ˈy	-	0.667
ɡ̊_#>	ç_#>	0.667
ˈɒ	ˈa	0.643
ˈu	ˈʊ	0.643
ˈo	-	0.636
χː_tː	x_t	0.6
ˈuː	ˈuː	0.6
fː	p	0.583
χː	k	0.556
ˈɒː	ˈɔː	0.533
ɡ̊	x	0.52
ˈæː	ˈaɪ̯	0.5
ˈæː	-	0.5
ˈe	ˈɛ	0.5
ˈe	-	0.5
i	ɪ	0.5
i	-	0.5
tː	d	0.486
ə	n	0.475
ˈoː	ˈaʊ̯	0.462
ˈæ	ˈɛ	0.444
r	r	0.442
χː_tː	ç	0.4
ˈuː	ˈʊ	0.4
ˈyː	ˈaɪ̯	0.385
ˈoː	ˈɔː	0.385
r	ɐ	0.372
ˈu	-	0.357
ˈy	ˈʏ	0.333
ɡ̊_#>	#>	0.333
tː	d̥	0.314
ˈyː	ˈyː	0.308
ˈyː	-	0.308
ˈuə̯	-	0.3
ə	-	0.3
kː	-	0.286
ˈæ	ˈɪɛ̯	0.278
ˈɒː	ˈa	0.267
fː	-	0.25
ə	ə	0.225
χː	ç	0.222
χː	x	0.222
ʋ	ʋ	0.208
ˈɒː	-	0.2
ˈæi̯	-	0.2
ɡ̊	ɡ	0.2
ɡ̊	-	0.2
tː	t	0.2
z̥	z	0.19
r	-	0.186
ˈo	ˈʊ	0.182
ˈo	ˈɔ	0.182
ˈiː	-	0.182
ˈɒ	ˈaː	0.179
ˈæ	ˈɛː	0.167
fː	v	0.167
d̥	d	0.167
ˈoː	-	0.154
b̥	v	0.154
#>	ˈaɪ̯_#>	0.125
#>	n_d̥_#>	0.125
ˈæ	ˈa	0.111
ˈɒ	ˈɔ	0.107
ˈi	ˈɪɛ̯	0.1
ˈi	-	0.1
v̥	f_ˈøː	0.087
ɡ̊	ŋ	0.08
b̥	ʋ	0.077
ˈɒ	-	0.071
