West Frisian	German	probability
b	b	0.902
b	-	0.093
d	tʰ	0.519
d	d	0.23
d	t	0.179
d	ʦ	0.051
f	f	0.909
f	p	0.081
f_j	f	0.494
h	h	0.951
h	ʁ	0.052
j	-	0.314
j	j	0.133
j	ə	0.116
j	ˈɔʏ̯	0.106
j	ˈaɪ̯	0.088
j	ˈʊ	0.088
j	ˈøː	0.058
j	ˈeː	0.045
j_ə	ə	1.0
j_ˈuə̯	ˈɔʏ̯	0.494
j_ˈɔ	ˈɪ	1.0
j_ˈɪ	ˈiː	0.494
k	kʰ	0.302
k	k	0.293
k	ç	0.27
k	x	0.116
l	l	0.907
l	-	0.055
l	l_p	0.037
l_j	l	0.494
m	m	1.0
n	n	0.762
n	n_t	0.131
n	-	0.088
p	f	0.737
p	p͡f	0.17
p	p	0.082
r	ʁ	0.517
r	ɐ	0.432
r	d_ɐ	0.047
s	ʃ	0.333
s	s	0.316
s	z	0.31
s	n_s	0.036
s_k	ʃ	1.0
t	t	0.486
t	s	0.213
t	ʦ	0.117
t	d	0.07
t	tʰ	0.035
t	ɐ_t	0.034
t	ɐ_ʦ	0.033
v	v	0.621
v	b	0.162
v	f	0.158
v	-	0.052
z	z	0.644
z	ɡ	0.113
z	ʁ	0.113
ŋ	ŋ	0.759
ŋ	ç	0.161
ŋ	n	0.074
ɕ	z	1.0
ə	ə	0.521
ə	-	0.421
ə	ɪ	0.057
ə_r	ɐ	1.0
ɡ	ɡ	1.0
ɣ	k	0.398
ɣ	ɡ	0.398
ɣ	-	0.149
ɪ	ɪ	1.0
ʋ	v	1.0
ʦ	kʰ	0.5
ʦ	d	0.379
ʦ	ʦ	0.069
ˈa	ˈa	0.575
ˈa	ˈaː	0.25
ˈa	ˈɛ	0.063
ˈa	ˈeː	0.054
ˈa	ˈɪ	0.054
ˈaː	ˈa	0.426
ˈaː	ˈaː	0.232
ˈaː	ˈaɪ̯	0.115
ˈaː	ˈɛ	0.099
ˈaː	ˈaʊ̯	0.06
ˈaː	ə	0.045
ˈeː	ˈeː	0.684
ˈeː	ˈøː	0.175
ˈeː	ˈoː	0.066
ˈi	ˈaɪ̯	0.545
ˈi	ˈɪ	0.215
ˈi	ˈiː	0.1
ˈi	ˈɛ	0.089
ˈiə̯	ˈaː	0.238
ˈiə̯	ˈaɪ̯	0.172
ˈiə̯	ˈyː	0.163
ˈiə̯	ˈeː	0.131
ˈiə̯	ˈiː	0.131
ˈiə̯	ˈɛ	0.07
ˈiə̯	ˈɛː	0.064
ˈiː	ˈaɪ̯	0.579
ˈiː	ˈɛː	0.117
ˈiː	ˈɪ	0.117
ˈiː	ˈʏ	0.117
ˈiː	ˈaː	0.066
ˈoə̯	ˈɔ_ɐ	0.366
ˈoə̯	ˈoː	0.236
ˈoə̯	ˈʊ	0.189
ˈoə̯	ˈaː	0.109
ˈoə̯	ˈɔ	0.085
ˈoː	ˈuː	1.0
ˈu	ˈoː	0.326
ˈu	ˈʊ	0.161
ˈuə̯	ˈuː	0.637
ˈuə̯	ˈyː	0.133
ˈuə̯	ˈʊ	0.069
ˈuə̯	ˈɔ	0.057
ˈuə̯	ˈa	0.05
ˈuə̯	ˈɔʏ̯	0.05
ˈuː	ˈaʊ̯	0.369
ˈuː	ˈʊ	0.191
ˈuː	-	0.131
ˈuː	ˈɔʏ̯	0.131
ˈuː	ˈoː	0.114
ˈuː	ˈɔ	0.049
ˈy	ˈoː	1.0
ˈyː	ˈɔʏ̯	0.256
ˈyː	ˈaʊ̯	0.223
ˈyː	ˈʊ	0.223
ˈø	ˈaː	0.322
ˈø	ˈeː	0.322
ˈø	ˈɛ	0.241
ˈøə̯	ˈɔʏ̯	0.494
ˈɔ	ˈɔ	0.479
ˈɔ	ˈʊ	0.175
ˈɔ	ˈɪ	0.129
ˈɔ	ˈœ	0.074
ˈɔ	ˈɛ	0.074
ˈɔ	-	0.059
ˈɔu̯	ˈiː	0.326
ˈɔu̯	ˈɔ	0.326
ˈɔː	ˈa	0.432
ˈɔː	ˈa_l	0.398
ˈɔː	ˈiː	0.09
ˈɛ	ˈɛ	0.293
ˈɛ	ˈa	0.229
ˈɛ	ˈɪ	0.15
ˈɛ	ˈiː	0.101
ˈɛ	ˈaʊ̯	0.096
ˈɛ	-	0.066
ˈɛ_j	ˈaɪ̯	1.0
ˈɛi̯	ˈaː	0.301
ˈɛi̯	ˈeː	0.301
ˈɛi̯	ˈaɪ̯	0.122
ˈɛi̯	ˈa	0.118
ˈɛi̯	ˈɛ	0.083
ˈɛː	ˈa	0.372
ˈɛː	ˈɛ	0.324
ˈɛː	ˈʏ	0.186
ˈɛː	ˈaː	0.061
ˈɛː	ˈaɪ̯	0.042
ˈɪ	ˈɪ	0.449
ˈɪ	ˈʏ	0.142
ˈɪ	ˈɛ	0.12
ˈɪ	ˈaɪ̯	0.078
ˈɪ	ˈiː	0.051
ˈɪ	ˈœ	0.046
ˈɪ	ˈa	0.046
ˈɪ	-	0.042
ˈɪ	ˈaː	0.04
ˈɪ_r	ɐ	1.0
ˈɪə̯	ˈaʊ̯	0.198
ˈɪə̯	ˈa	0.183
ˈɪə̯	ˈoː	0.133
ˈɪə̯	ˈøː	0.101
ˈɪə̯	ˈoː_t	0.101
ˈɪə̯	ˈiː	0.088
ˈɪə̯	ˈeː	0.066
ˈɪə̯	ˈɛː	0.058
ˈɪə̯	ˈaɪ̯	0.056
ˈɵ	ˈyː	1.0
χ	ç	0.421
χ	x	0.308
χ	k	0.191
χ	-	0.059
χ	ɡ	0.035
