Proto-Slavic	Proto-Slavic	probability
ˀ_#>	#>	1.0
ʦ	ʦ	1.0
ʎ	-	1.0
ʃ	ʃ	1.0
ɲ	-	1.0
ɨː_̂	ˈ	1.0
x	x	1.0
ŭ_#>	#>	1.0
u	ʉ	1.0
t_i_#>	ʦ_#>	1.0
s_ŭ_#>	s_#>	1.0
s	s	1.0
rʲ	r̝	1.0
r_ŭ_#>	r_#>	1.0
p	p	1.0
o_#>	ɔ_#>	1.0
n_ĭ	ɲ	1.0
n	n	1.0
m	m	1.0
l_ŭ	w	1.0
l_ĭ_#>	l_#>	1.0
l_a	w_a	1.0
k_ŭ_#>	#>	1.0
ĭ_#>	#>	1.0
iː	ə	1.0
ẽː	j_ã	1.0
ẽ	ã	1.0
d_ŭ	d̥	1.0
b_ĭ	p	1.0
aː	ɞ	1.0
<#_v	<#_v	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_r	1.0
<#_o	<#_u̯ɛ	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
<#_a	<#_j	1.0
#>	ˈ_#>	1.0
a	a	0.929
̌_#>	#>	0.882
z	z	0.857
k	k	0.846
̌	ˈ	0.818
̂	ˈ	0.8
ɨ	ə	0.75
v	v	0.733
ʒ	ʒ	0.714
b	b	0.714
ʧ	ʧ	0.667
ɡ	ɡ	0.667
d	d	0.667
<#	<#_j	0.667
r	r	0.643
õː	õ	0.625
t	t	0.615
j	i	0.6
ŭ	i	0.593
ˀ	ˈ	0.545
uː	ə	0.5
uː	w_ʉ	0.5
l	w	0.5
i	ə	0.5
e	ɛ	0.5
o	u̯ɛ	0.469
oː	-	0.429
j	-	0.4
ĭ	-	0.389
t	ʦ	0.385
õː	ã	0.375
ʧ	-	0.333
ŭ	-	0.333
d	ʣ	0.333
<#	<#_v	0.333
ʒ	ʒ̊	0.286
oː	ɔ	0.286
oː	w_ɔ	0.286
b	b̥	0.286
ˀ	a_ˈ	0.273
ɛː	j	0.273
ɛː	a	0.273
v	f	0.267
ɨ	-	0.25
r	r̝	0.25
l	l	0.25
l	-	0.25
i	i	0.25
i	-	0.25
ɛː	e	0.227
ĭ	ɞ	0.222
ĭ	ɛ	0.222
o	ɔ	0.219
e	u	0.192
o	u	0.188
̌	-	0.182
ˀ	-	0.182
ɡ	ʤ	0.167
ɡ	ɡ̊	0.167
ĭ	ə	0.167
k	-	0.154
e	ɔ	0.154
e	-	0.154
z	z̥	0.143
ɛː	j_ɞ	0.136
̌_#>	ˈ_#>	0.118
ɛː	ɛ	0.091
ŭ	u_ˈ	0.074
r	-	0.071
a	ɞ	0.071
o	w_ɔ	0.062
o	-	0.062
̂	ɛ_ˈ	0.06
̂	a_ˈ	0.06
