Bavarian	Bavarian	probability
β_a	β_ɐ	1.0
ˈuɐ̯	ˈuː	1.0
ˈoː	ˈoː	1.0
ˈoɐ̯_#>	#>	1.0
ˈou̯	ˈoː	1.0
ˈiː	ˈɪ	1.0
ˈi_ɐ	ˈɛ_ɐ	1.0
ˈeɐ̯	ˈĩː	1.0
ˈai̯_n	ˈɑ̃ɪ̯	1.0
ʦ	ʣ̥	1.0
ʋ	β	1.0
ʃ	ʃ	1.0
ɡ̊_a	ɡ̊	1.0
ə	-	1.0
ɑ	-	1.0
ɐ_d̥	ɐ_d̥	1.0
ɐ	ɐ	1.0
ç	ʃ	1.0
s_n	s_ə	1.0
s	s	1.0
l	l	1.0
j_d̥	l_d̥	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
eɐ̯	eː	1.0
d̥	d̥	1.0
<#_ˈo	<#_ˈɑ	1.0
b̥	b̥	0.926
ˈiɐ̯	ˈiː	0.923
ˈai̯	ˈaɪ̯	0.9
j	l	0.895
ˈau̯	ˈau̯	0.889
r	r	0.889
ɡ̊	ɡ̊	0.871
ˈe	ˈɛ	0.857
kʰ	kʰ	0.846
m	m	0.844
n	n	0.824
ˈɑ	ˈɑ	0.818
ˈi	ˈɪ	0.808
b̥͡v̥	b̥	0.75
x	x	0.688
ˈaː	ˈɑː	0.667
ˈa	ˈɑ	0.667
ɡ̊_#>	ʃ_#>	0.667
ˈoɐ̯	ˈɛː	0.636
d̥_a	r_ɐ	0.625
ˈo	ˈɔ	0.619
ˈɑː	ˈɑ	0.6
d̥_n	r_ə	0.6
ˈɒː	ˈɑː	0.5
ˈu	ˈu	0.478
ŋ	ŋ	0.444
a	ə	0.441
a	ɐ	0.441
#>	ʃ_#>	0.429
ˈɑː	ˈɑː	0.4
d̥_n	ə	0.4
ˈeː	ˈeː	0.375
d̥_a	ɐ	0.375
ˈɒː	ˈɑ	0.333
ˈaː	-	0.333
ˈa	-	0.333
ɡ̊_#>	#>	0.333
x	ʃ	0.312
ˈo	ˈɑ	0.286
#>	n_#>	0.286
#>	b̥_#>	0.286
ŋ	n	0.278
ˈoɐ̯	ˈeː	0.273
ˈeː	ˈɛ	0.25
b̥͡v̥	pʰ	0.25
ˈɑ	-	0.182
ˈu	ˈɪ	0.174
ˈɒː	ˈoː	0.167
ŋ	j_ə	0.167
kʰ	kʰ_ˈeː	0.154
ˈe	ˈɛː	0.143
ˈu	ˈɔ	0.13
ˈu	-	0.13
ˈeː	ˈɛː	0.125
ˈeː	ˈẽː	0.125
ˈeː	-	0.125
ˈi	ˈiː	0.115
ˈau̯	ˈau̯̯	0.111
ŋ	ə	0.111
r	ɐ	0.111
j	j	0.105
ˈai̯	ˈɛː	0.1
n	ə	0.098
ˈo	ˈoː	0.095
m	β_ə	0.094
ˈoɐ̯	ˈɑːɪ̯	0.091
a	-	0.088
ˈu	ˈuː	0.087
n	-	0.078
ˈiɐ̯	ˈi	0.077
ˈi	-	0.077
b̥	-	0.074
ɡ̊	ʃ	0.065
ɡ̊	x	0.065
m	n	0.062
