Bellunese	Gallurese	probability
ˈɛ_r	ˈa_rː	1.0
ˈɔ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈo_v	ˈɔ	1.0
ˈe_r_#>	ˈe_#>	1.0
ˈa_r_#>	ˈa_#>	1.0
ʧ	cː	1.0
ɲ	-	1.0
ŋ_#>	n_u_#>	1.0
w_e	u	1.0
w	-	1.0
v_e	i	1.0
r_o	r_u	1.0
r_#>	#>	1.0
p	p	1.0
m	m	1.0
j_ˈe	ˈe	1.0
i	i	1.0
b	b	1.0
a_v	a_p	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_c	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_a	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
a	a	0.966
k	k	0.944
ˈa	ˈa	0.939
o	u	0.925
f	f	0.895
ˈi	ˈi	0.818
d	d	0.818
v	v	0.75
r	r	0.744
θ	ʧ	0.733
e	i	0.714
s	s	0.667
n	n	0.63
e_r_#>	ˈe_#>	0.6
ŋ	n	0.593
#>	u_#>	0.576
l	l	0.56
t	t	0.543
j	-	0.538
ˈɛ	ˈɛ	0.5
ˈɛ	ˈe	0.5
ð	ɟ	0.5
ð	-	0.5
ˈe	ˈɛ	0.472
ɡ	k	0.467
l	ɖː	0.44
ˈo	ˈɔ	0.424
ɡ	ɡ	0.4
z	ʧ	0.4
z	-	0.4
t	tː	0.4
e_r_#>	ˈi_#>	0.4
#>	i_#>	0.394
ˈo	ˈu	0.333
ˈe	ˈi	0.333
j	j	0.308
ŋ	ŋ	0.259
v	-	0.25
ˈo	ˈo	0.242
r	l	0.205
z	z	0.2
e	a	0.19
n	nː	0.185
d	t	0.182
s	sː	0.167
j	ɟ	0.154
ˈe	i	0.139
θ	ʧː	0.133
θ	ʦ	0.133
ɡ	-	0.133
n	-	0.111
f	-	0.105
s	u	0.1
e	-	0.095
ˈi	ˈe	0.091
ˈi	-	0.091
o	-	0.075
ŋ	ɲː	0.074
ŋ	u	0.074
n	ɲː	0.074
s	ʃː	0.067
ˈa	-	0.061
t	d	0.057
ˈe	ˈe	0.056
k	-	0.056
r	rː	0.051
