Russian	Russian	probability
ˈ_#>	ˈ_#>	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʉ	u	1.0
ʂ	ʃ	1.0
ɪ_lʲ	ɛ_l	1.0
ɨ_ˈ	i_ˈ	1.0
ɡ̊	ɡ̊	1.0
ɡʲ	ɐ_ɡ̊	1.0
ɛ	-	1.0
ɐ_r	r	1.0
æ	ɛ	1.0
z̥	-	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
x	x	1.0
v_ɨ	f	1.0
v	v	1.0
u_ˈ	u	1.0
u	ɤ	1.0
t_ə	t_o	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
rʲ	r	1.0
r_ɨ_j_#>	r_#>	1.0
r_#>	r_#>	1.0
r	r	1.0
p	p	1.0
nʲ_#>	n_#>	1.0
nʲ	nʲ	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ_#>	ɫ_#>	1.0
kʲ_ɪ	ɐ_k	1.0
k	k	1.0
j	-	1.0
i	i	1.0
fʲ	f	1.0
f	f	1.0
d̥ʲ	d̥	1.0
d̥	d̥	1.0
d	d	1.0
b̥ʲ	b̥	1.0
b̥	b̥	1.0
b	b	1.0
<#_ɐ	<#_o	1.0
<#_tʲ	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_d	<#_d	1.0
ɫ	ɫ	0.929
a	a	0.906
ɡ	ɡ	0.882
ˈ	ˈ	0.881
dʲ	d	0.875
ʦ	ʦ	0.857
e_ˈ	ɛ_ˈ	0.846
pʲ	p	0.833
e	a	0.8
bʲ	b	0.75
#>	ˈ_#>	0.75
ʨ	ʧ	0.714
ɵ	ɛ	0.714
ə_#>	ɐ_#>	0.688
tʲ	t	0.647
ɪ	ɛ	0.615
n_ɨ	ɛ_n	0.6
lʲ	lʲ	0.6
<#_j	<#_j	0.6
vʲ	v	0.583
ɨ	-	0.545
ɐ	o	0.538
ʊ	ɐ	0.5
ʊ	u_ˈ	0.5
o	ɔ	0.467
vʲ	vʲ	0.417
n_ɨ	n	0.4
lʲ	l	0.4
<#_j	<#	0.4
ə_#>	o_#>	0.312
ʨ	-	0.286
ɵ	ɤ	0.286
ɨ	ɛ	0.273
bʲ	bʲ	0.25
#>	ɐ_#>	0.25
o	ɤ	0.244
ə	a	0.235
ə	-	0.235
ɐ	ɛ	0.231
ɐ	-	0.231
e	ɤ	0.2
ɪ	-	0.192
ɨ	i	0.182
o	-	0.178
ə	ɛ	0.176
ə	ɔ	0.176
ə	ɐ	0.176
tʲ	j_ɐ	0.176
pʲ	pʲ	0.167
e_ˈ	ɐ	0.154
ʦ	ʦʲ	0.143
dʲ	dʲ	0.125
ɡ	-	0.118
tʲ	-	0.118
ɪ	ɐ	0.115
o	a	0.111
a	ɛ	0.094
ˈ	-	0.089
ɪ	a_ˈ	0.077
ɫ	-	0.071
tʲ	tʲ	0.059
