Mainland North Frisian	Insular North Frisian	probability
ˈʏ_s	s	1.0
ˈœi̯	-	1.0
ˈœ_lʲ	l	1.0
ˈuː_ʀ	ˈɔa̯	1.0
ˈu	-	1.0
ˈaː	-	1.0
ʀ_ˈiː	r	1.0
ʀ_ˈi	r_ˈiː	1.0
ʀ_n	ɐ_n	1.0
ɡ	ɡ	1.0
ə_ʀ	ɐ	1.0
ə_n	ə_n	1.0
ŋ	ŋ	1.0
ç	ç	1.0
z̥	ɾ	1.0
z_ə	s	1.0
v̥	f	1.0
tʲ	t	1.0
t_ə	t	1.0
s	s	1.0
n_ˈɔː	n	1.0
n_ə	nʲ	1.0
m	m	1.0
lʲ	l	1.0
l_ˈiː	l	1.0
l_ə	l	1.0
h	h	1.0
dʲ	ɾ	1.0
d_ə	ɾ	1.0
d	d	1.0
b	b	1.0
<#_ˈiː	<#_j	1.0
<#_j	<#	1.0
<#	<#_j	1.0
f	f	0.913
n	n	0.907
l	l	0.905
ˈi	ˈɪ	0.882
ˈʏ	ˈʏ	0.833
v	v	0.833
p	p	0.833
ʃ	s_k	0.786
ˈyː	ˈɔa̯	0.778
ˈɛi̯	-	0.7
x	x	0.7
ə	-	0.684
ˈɛː	-	0.667
ˈɔ	ˈuː	0.667
nʲ	n	0.667
i	ɪ	0.667
t	t	0.633
ˈai̯	-	0.6
ˈœː	ˈʏ	0.571
ˈa	ˈɛ	0.562
ˈɔː	-	0.556
ˈʊ	ˈʊ	0.55
ˈɒ	ˈa	0.545
ʀ	r	0.523
k	k	0.519
ˈɛ	-	0.5
ˈɔu̯	ˈuː	0.5
ˈɔu̯	ˈaʊ̯	0.5
ˈɒː	ˈɔː	0.5
ˈa_ʀ	ɐ_x	0.5
ˈa_ʀ	ɐ	0.5
d̥	ɾ	0.5
d̥	t	0.5
ˈiː	ˈiː	0.476
ˈœː	ˈyː	0.429
ˈeː	ˈɛ	0.417
k	kʰ	0.407
ˈœ	ˈœ	0.4
ˈai̯	ˈɪ	0.4
j	j	0.4
t	tʰ	0.367
ˈuː	ˈoː	0.364
ˈɛː	ˈɛ	0.333
ˈɔ	-	0.333
ˈœ	ˈʊ	0.333
ˈeː	-	0.333
nʲ	-	0.333
i	-	0.333
ə	ə	0.316
ˈɛi̯	ˈaɪ̯	0.3
ˈɒː	ˈeː	0.3
x	ç	0.3
ˈɒ	-	0.273
ˈuː	ˈɔa̯	0.273
ʀ	ɐ	0.273
ˈœ	-	0.267
ˈʊ	-	0.25
ˈɛ	ˈɪ	0.25
ˈɛ	ˈɛ	0.25
ˈeː	ˈeː	0.25
ˈa	-	0.25
ˈiː	ˈɛ	0.238
ˈɔː	ˈɛ	0.222
ˈɔː	ˈɔː	0.222
ˈyː	-	0.222
ʃ	ʃ	0.214
ˈʊ	ˈœ	0.2
ˈɒː	-	0.2
j	ɪ_ç	0.2
j	ç	0.2
j	-	0.2
ˈiː	ˈeː	0.19
ˈa	ˈa	0.188
ˈɒ	ˈɛ	0.182
ˈuː	ˈuː	0.182
ˈuː	-	0.182
ˈʏ	ˈɪ	0.167
v	-	0.167
p	pʰ	0.167
ˈi	ˈɛ	0.118
ˈiː	ˈɪ	0.095
f	f_ˈɔ	0.087
k	ɡ	0.074
ʀ	ɐ_x	0.068
ʀ	x	0.068
ʀ	r_ə	0.068
