Swedish	Scots	probability
a	-	1.0
b	b	1.0
d	d	0.82
d	ð	0.095
d	θ	0.081
e	ɪ	0.492
f	f	1.0
h	h	1.0
j	-	0.595
j	e	0.153
j	j	0.088
j	ç	0.088
j	ɡ	0.069
jː	ˈeː	0.492
k	k	0.778
k	-	0.135
k	x	0.052
kʰ	kʰ	0.809
kʰ	k	0.187
kː	ŋ_k	0.683
kː	k	0.221
l	l	0.868
l	-	0.099
l_ɛ	l	1.0
lː	-	0.517
lː	ɫ	0.193
lː	l	0.118
m	m	0.908
m	v	0.091
mː	m	1.0
n	n	0.9
n	-	0.098
nː	n	0.837
nː	θ	0.136
p	p	1.0
pʰ	pʰ	0.119
pː	p	0.492
r	r	0.942
r	-	0.056
rː	ˈəi̯	0.324
rː	θ	0.324
s	s	0.952
s	z	0.052
s_k	ʃ	1.0
sː	s	1.0
t	t	0.944
t	θ	0.058
tʰ	tʰ	0.546
tʰ	θ	0.378
tʰ	d	0.069
tː	x	0.572
tː	t	0.421
v	w	0.453
v	-	0.17
v	f	0.17
v	ʍ	0.083
v	v	0.063
ŋ	-	0.416
ŋ	ŋ	0.362
ŋ	n	0.155
ŋː	ŋ	1.0
ɕ	θ	0.32
ɕ	k	0.242
ɕ	tʰ	0.242
ɕ	ʧ	0.148
ɖ	r_d	1.0
ɛ	ə	0.628
ɛ	-	0.3
ɛ	əi̯	0.061
ɛ_l	l	1.0
ɡ	-	0.541
ɡ	ɡ	0.304
ɡ	j	0.074
ɡ	x	0.074
ɡː	ɡ	1.0
ɧ	s	0.633
ɧ	ʃ	0.347
ɪ	əi̯	0.683
ɪ	ɪ	0.221
ɳ	r_n	0.603
ɳ	r	0.389
ɳː	n	0.492
ɵ	əi̯	0.758
ɵ	-	0.09
ʈː	t	0.492
ʊ	n	0.784
ʊ	ˈɛ	0.125
ˈa	ˈɑ	0.318
ˈa	ˈɑː	0.287
ˈa	ˈɛ	0.181
ˈa	ˈɪ	0.077
ˈa	ˈe	0.054
ˈa	ˈø	0.051
ˈa_l	ˈɑː	1.0
ˈeː	ˈe	0.54
ˈeː	ˈiː	0.183
ˈeː	ˈɑː	0.105
ˈeː	ˈɑ	0.08
ˈeː	ˈɪ	0.078
ˈiː	ˈəi̯	0.703
ˈiː	ˈiː	0.126
ˈiː	ˈɪ	0.067
ˈiː	-	0.064
ˈoː	ˈø	0.169
ˈoː	j	0.097
ˈoː	ˈe	0.088
ˈoː	ˈeː	0.084
ˈoː	ˈɑː	0.084
ˈoː	ˈʌ	0.084
ˈoː	ˈɔ	0.069
ˈoː	ˈɛ	0.067
ˈoː	ˈei̯	0.064
ˈoː	ˈiː	0.064
ˈoː	ˈɑ	0.064
ˈoː	ˈʉ	0.053
ˈuː	ˈø	0.332
ˈuː	ˈɔ	0.207
ˈuː	ˈɪ	0.176
ˈuː	ˈɪ_ð	0.176
ˈuː	ˈʉ	0.092
ˈyː	j	0.214
ˈyː	ˈiː	0.198
ˈyː	ˈei̯	0.145
ˈyː	ˈʌʉ̯	0.145
ˈyː	ˈəi̯	0.089
ˈæ	ˈoe̯	0.574
ˈæ	ˈɛ	0.282
ˈæː	ˈɛ	0.428
ˈæː	ˈi	0.104
ˈøː	ˈiː	0.33
ˈøː	ˈei̯	0.318
ˈøː	ˈe	0.147
ˈøː	ˈʌʉ̯	0.074
ˈøː	ˈɛ	0.062
ˈøː	ˈɑː	0.061
ˈœ	ˈɪ	0.389
ˈœ	ˈɔ	0.312
ˈœ	ˈiː	0.179
ˈœ	ˈi	0.083
ˈœː	ˈei̯	1.0
ˈɑː	ˈe	0.424
ˈɑː	ˈɑ	0.17
ˈɑː	ˈɑː	0.17
ˈɑː	ˈeː	0.11
ˈɑː	ˈɛ	0.084
ˈɔ	ˈɔ	0.263
ˈɔ	ˈe	0.147
ˈɔ	ˈʌʉ̯	0.147
ˈɔ	r	0.11
ˈɔ	ˈa	0.096
ˈɔ	ˈʌ	0.096
ˈɔ	ˈɪ	0.071
ˈɛ	ˈɪ	0.213
ˈɛ	ˈe	0.186
ˈɛ	ˈɛ	0.158
ˈɛ	ˈiː	0.11
ˈɛ	ˈaːɪ̯	0.084
ˈɛ	ˈɑ	0.084
ˈɛ	ˈʌ	0.068
ˈɛ	-	0.066
ˈɛː	ˈei̯	0.252
ˈɛː	ˈiː	0.22
ˈɛː	ˈɔ	0.145
ˈɛː	ˈɛ	0.13
ˈɛː	ˈe	0.098
ˈɛː	ˈəi̯	0.071
ˈɪ	ˈɪ	0.644
ˈɪ	ˈəi̯	0.103
ˈɪ	ˈei̯	0.081
ˈɪ	ˈɛ	0.081
ˈɪ	ˈi	0.075
ˈɵ	ˈʉ	0.396
ˈɵ	ˈɪ	0.281
ˈɵ	w_ˈɔ	0.132
ˈɵ	-	0.076
ˈɵ	ˈʌʉ̯	0.076
ˈʉː	ˈʉ	0.442
ˈʉː	ˈɛ	0.168
ˈʉː	ˈe	0.127
ˈʉː	ˈei̯	0.079
ˈʉː	ˈaːɪ̯	0.075
ˈʉː	ˈɔ	0.074
ˈʉː_ɡ	ˈɛ	1.0
ˈʊ	ˈʌ	0.463
ˈʊ	ˈɔ	0.232
ˈʊ	ˈø	0.142
ˈʊ	w	0.092
ˈʏ	ˈɪ	1.0
