Asturian	Portuguese	probability
θ_j	s	1.0
θ_#>	ʃ_#>	1.0
β_ˈa	v_ˈa	1.0
ˈu_n	ˈũ	1.0
ˈo_s	l	1.0
ˈo_n	ˈõ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈe_ɲ	ˈe_n	1.0
ˈe_ŋ	j̃	1.0
ˈe_u	ɣ_u	1.0
ˈe_n	ˈẽ	1.0
ˈe_k	ˈe_k	1.0
ˈe_#>	ˈɨ_#>	1.0
ˈa_β	ˈa_v	1.0
ˈa_ŋ	ˈɐ̃	1.0
ˈa_n	ˈɐ̃	1.0
ʎ	l	1.0
ɾ_ˈe	ɾ_ˈɐ	1.0
ɾ_u	u	1.0
ɾ_t	ɾ_t	1.0
ɾ_n	ɾ_n	1.0
ɾ_m	ˈɛ	1.0
ɾ_k	ɾ_k	1.0
ɾ_e	ɾ_ɨ	1.0
ɾ_a	ɾ_ɐ	1.0
ɾ_#>	ɾ_#>	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
w_a	w_ɐ	1.0
u_#>	#>	1.0
s_u	s_u	1.0
s_a	ɐ	1.0
s_#>	ʃ_#>	1.0
r	ʁ	1.0
p_e	p_ɨ	1.0
p	p	1.0
o_ɾ	u_ɾ	1.0
n_u	w̃	1.0
l_#>	ɫ_#>	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
j_#>	j_#>	1.0
i_#>	ɨ_#>	1.0
f_e	b	1.0
f	f	1.0
e_n	ẽ	1.0
d	d	1.0
b_j	v	1.0
a_θ	ɐ_z	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_ʃ	1.0
<#_ɡ	<#	1.0
<#_n	<#_n	1.0
<#_e	<#_i	1.0
#>	ɨ_#>	1.0
u	u	0.961
t	t	0.951
a	ɐ	0.944
ˈu	ˈu	0.9
ð	ð	0.9
ˈi	ˈi	0.889
m	m	0.889
ɾ	ɾ	0.861
ʃ	ʒ	0.818
ɲ	ɲ	0.8
θ	s	0.765
<#_a	<#_ɐ	0.75
ˈa	ˈa	0.745
l	-	0.739
e	ɨ	0.723
β	v	0.654
s	s	0.622
i	i	0.6
w_ˈe	ˈo	0.591
ʧ	t	0.571
ŋ	w̃	0.556
j	-	0.545
ˈe	ˈe	0.521
ʝ	ʎ	0.5
w	ˈo	0.5
w	w	0.5
n_a	ɐ	0.5
n_a	j_ɐ	0.5
b	v	0.5
b	b	0.5
ˈo	ˈo	0.463
n	-	0.438
ʧ	j_t	0.429
w_ˈe	ˈɔ	0.409
o	u	0.409
i	-	0.4
s	ʃ	0.378
β	β	0.346
o	-	0.318
n	ɲ	0.312
j	j	0.273
ˈe	ˈɐ	0.271
l	ɫ	0.261
ʝ	j_ʎ	0.25
<#_a	<#	0.25
θ	z	0.235
ŋ	ɲ	0.222
ŋ	-	0.222
ˈo	ˈɔ	0.22
ɲ	n	0.2
e	-	0.191
ʃ	j_ʃ	0.182
o	ɔ	0.182
j	ˈɐ̃	0.182
ˈa	ˈɐ̃	0.145
ʝ	ʒ	0.125
ʝ	-	0.125
n	n	0.125
n	j̃	0.125
ˈi	ˈe	0.111
m	-	0.111
ˈa	ˈɐ	0.109
ˈu	-	0.1
ð	-	0.1
ˈo	ˈo_w	0.098
o	o	0.091
ˈe	ˈɛ	0.083
ˈe	ˈi	0.083
ɾ	-	0.083
ˈo	ˈɐ̃	0.073
ɾ	j_ɾ	0.056
