Yiddish	Swiss German	probability
b	b̥	0.924
b	-	0.073
d	d̥	0.749
d	-	0.147
d	ɡ̊	0.056
d	t	0.046
f	f	0.922
f	p͡f	0.044
f	fː	0.043
h	h	0.95
h	χ	0.053
j	j	0.489
k	χ	0.553
k	k	0.261
k	ɡ̊	0.134
k	ɡ̊ː	0.05
l	l	0.95
l	-	0.03
l	w	0.03
m	m	0.893
m	mː	0.06
m	ŋ	0.05
n	n	0.426
n	ə	0.274
n	-	0.25
n_t	ŋ	1.0
p	p͡f	0.699
p	p	0.146
s	sː	0.574
s	s	0.228
s	ʃ	0.183
t	t	0.902
t	d̥	0.042
t	tː	0.039
v	ʋ	0.958
v	f	0.046
z	s	1.0
ŋ	ŋ	0.912
ŋ	-	0.083
ə	ə	0.712
ə	-	0.273
ə	i	0.031
ɛ	-	0.5
ɛ	ə	0.5
ɛ_m	m	1.0
ɡ	ɡ̊	0.743
ɡ	-	0.255
ɪ	i	1.0
ʀ	r	0.996
ʁ	r	0.489
ʃ	ʃ	1.0
ʎ	l	1.0
ʦ	ʦ	1.0
ʧ	ʃ	1.0
ˈa	ˈɒ	0.637
ˈa	ˈa	0.175
ˈa	ˈæ	0.077
ˈa	ˈe	0.041
ˈa	ˈæː	0.04
ˈa	ˈɒː	0.04
ˈaɪ̯	ˈiː	0.454
ˈaɪ̯	ˈyː	0.301
ˈaɪ̯	ˈøi̯	0.068
ˈaɪ̯	ˈiə̯	0.058
ˈaɪ̯	ˈy	0.057
ˈaɪ̯	ˈei̯	0.056
ˈi	ˈy	0.489
ˈɔ	ˈɒː	0.403
ˈɔ	ˈo	0.264
ˈɔ	ˈɒ	0.174
ˈɔ	ˈoː	0.06
ˈɔ	ˈu	0.06
ˈɔ	ˈæ	0.034
ˈɔɪ̯	ˈoː	0.299
ˈɔɪ̯	ˈuː	0.288
ˈɔɪ̯	ˈou̯	0.155
ˈɔɪ̯	ˈau̯	0.15
ˈɔɪ̯	ˈo	0.06
ˈɔɪ̯	ˈøi̯	0.035
ˈɔɪ̯	ˈøː	0.035
ˈɛ	ˈæ	0.511
ˈɛ	ˈø	0.15
ˈɛ	ˈæː	0.128
ˈɛ	ˈe	0.091
ˈɛ	ˈøː	0.069
ˈɛ	ˈeː	0.034
ˈɛɪ̯	ˈei̯	0.413
ˈɛɪ̯	ˈɛi̯	0.186
ˈɛɪ̯	ˈøi̯	0.123
ˈɛɪ̯	ˈøː	0.123
ˈɛɪ̯	ˈeː	0.091
ˈɛɪ̯	ˈæi̯	0.049
ˈɪ	ˈi	0.512
ˈɪ	ˈy	0.161
ˈɪ	ˈyː	0.137
ˈɪ	ˈyə̯	0.086
ˈɪ	ˈiə̯	0.068
ˈɪ	ˈu	0.032
ˈʊ	ˈuə̯	0.428
ˈʊ	ˈu	0.351
ˈʊ	ˈo	0.083
ˈʊ	ˈyə̯	0.055
ˈʊ	ˈøi̯	0.048
ˈʊ	ˈoː	0.042
χ	χ	0.9
χ	-	0.073
χ	ɡ̊	0.04
