Eastphalian	Faroese	probability
b	b̥	0.796
b	v	0.11
b	p	0.063
b	tʰ	0.037
d	-	0.313
d	d̥	0.296
d	tʰ	0.205
d	d̥_ʊ	0.133
d	ʤ̊	0.033
f	f	0.778
f	v	0.083
f	-	0.073
f	m	0.055
h	h	0.935
h	-	0.064
j	ɡ̊	0.366
j	-	0.25
j	j	0.143
j	w	0.143
j	ʤ̊	0.071
k	kʰ	0.315
k	k	0.287
k	ɡ̊ː	0.083
k	-	0.067
k	ʧ	0.066
k	ʧʰ	0.066
k	h	0.065
k	ʰʧ	0.042
l	l	0.625
l	l̥	0.19
l	l_ʊ	0.097
l	-	0.032
l	nː	0.032
l	ʎ	0.03
m	m	0.57
m	m_ʊ	0.169
m	a	0.133
m	-	0.076
m	n̥	0.038
n	n	0.39
n	a	0.292
n	nː	0.129
n	-	0.064
n	n_ʊ	0.055
n	n̥	0.042
p	ʰp	0.403
p	p	0.266
p	tː	0.134
p	ɹ	0.128
r	ɹ	0.836
r	-	0.104
r	r	0.056
s	s	0.936
s	ʃ	0.063
t	t	0.44
t	-	0.144
t	tʰ	0.125
t	ʰt	0.122
t	j	0.048
t	w	0.048
t	ʈ	0.046
t	n	0.027
v	v	0.587
v	-	0.355
v	ʧʰ	0.052
w	v	0.758
w	ˈɪ	0.179
x	-	0.28
x	v	0.28
x	ʰtː	0.28
x	w	0.101
x_t	ʰtː	1.0
z	s	0.904
z	ʃ	0.095
ç	v_ʊ	0.334
ç	ʰtː	0.291
ç	-	0.14
ç	ŋ	0.14
ŋ	ŋ	0.803
ŋ	ɡ̊	0.122
ŋ	ɲ	0.065
ŋ_k	ʰkː	1.0
ɐ	ɹ	0.459
ɐ	ɪ_ɹ	0.179
ɐ	ʊ_ɹ	0.163
ɐ	ˈœ_t	0.063
ɐ	ɹ_ʊ	0.056
ɐ	ə	0.038
ɐ	n̥	0.034
ɐ_t	ɹ	1.0
ə	a	0.346
ə	ʊ	0.286
ə	-	0.258
ə	ɡ̊_a	0.049
ə	w	0.035
ə	ɪ	0.029
ɡ	ʤ̊	0.233
ɣ	ɡ̊	0.637
ɣ	ʤ̊ː	0.128
ɣ	ɹː	0.094
ɣ	ʧː	0.05
ɣ	j	0.049
ɣ	ʧ	0.036
ɪ	a	0.236
ɪ	ɛ	0.236
ɪ	ʊ	0.236
ʃ	ʃ	0.43
ʃ	s_k	0.42
ʃ	f	0.096
ʃ	sː	0.037
ˈa	ˈa	0.483
ˈa	ˈɔ	0.234
ˈa	ˈɛːa̯	0.126
ˈa	ˈɛ	0.054
ˈa	ˈeː	0.054
ˈa	ˈœ	0.044
ˈaʊ̯	ˈɔːu̯	0.695
ˈaʊ̯	ˈœ	0.174
ˈaʊ̯	ˈɔ̯aː	0.077
ˈaʊ̯	ˈɪ	0.037
ˈaː	ˈɛːa̯	0.425
ˈaː	ˈa	0.28
ˈaː	ˈɔ̯aː	0.28
ˈeo̯	ˈɛːi̯	0.509
ˈeo̯	ˈɔ̯aː	0.286
ˈeo̯	ˈɔːi̯	0.109
ˈeo̯	ˈɛːa̯	0.054
ˈeː	ˈøː	0.254
ˈeː	ˈɛːi̯	0.168
ˈeː	ˈeə̯	0.119
ˈeː	j	0.112
ˈeː	ˈɔ̯aː	0.112
ˈeː	ˈeː	0.08
ˈeː	ˈʊ	0.053
ˈiː	ˈʊ̯iː	0.554
ˈiː	ˈeː	0.182
ˈiː	ʊ̯ˈiː	0.105
ˈiː	ˈɪ	0.105
ˈiː	ˈɛːa̯	0.046
ˈoː	ˈɔ	0.413
ˈoː	ˈoː	0.202
ˈoː	ˈɛːi̯	0.202
ˈoː	ˈiː	0.134
ˈuː	ˈʉːu̯	0.619
ˈuː	ˈʊ	0.377
ˈyː	ˈʊ̯iː	0.445
ˈyː	ˈɛ	0.09
ˈøː	ˈʊ	0.318
ˈøː	ˈɔːi̯	0.154
ˈœ	ˈʊ	0.392
ˈœ	ˈœ	0.217
ˈœ	ˈɛ	0.217
ˈɒː	ˈɔ̯aː	0.356
ˈɒː	ˈɛːa̯	0.249
ˈɒː	ˈa	0.184
ˈɒː	ˈoː	0.14
ˈɔ	ˈuː	0.238
ˈɔ	ˈœ	0.224
ˈɔ	ˈa	0.207
ˈɔ	ˈʊ	0.136
ˈɔ	ˈɪ	0.069
ˈɔ	ˈɔ	0.067
ˈɔʏ̯	ˈøː	0.784
ˈɔʏ̯	ˈɔːi̯	0.12
ˈɛ	ˈiː	0.198
ˈɛ	ˈeː	0.172
ˈɛ	ˈuː	0.114
ˈɛ	ˈɛ	0.114
ˈɛ	ˈɛːa̯	0.112
ˈɛ	-	0.085
ˈɛ	ˈœ	0.083
ˈɛ	ˈøː	0.064
ˈɛə̯	ˈɛːa̯	1.0
ˈɛɪ̯	ˈai̯	0.21
ˈɛɪ̯	ˈʊ̯iː	0.194
ˈɛɪ̯	ˈaːi̯	0.125
ˈɛɪ̯	ˈuː	0.082
ˈɛɪ̯	ˈɛːi̯	0.082
ˈɛɪ̯	ˈʏ	0.082
ˈɛɪ̯	ˈɔːu̯	0.075
ˈɛɪ̯	ˈɛːa̯	0.063
ˈɛɪ̯	ˈʊ	0.063
ˈɛː	ˈeː	0.246
ˈɛː	ˈa	0.141
ˈɛː	ˈøː	0.141
ˈɛː	ˈɛ	0.141
ˈɛː	ˈɪ	0.1
ˈɛː	j	0.094
ˈɛː	ˈɔ	0.094
ˈɪ	ˈɪ	0.394
ˈɪ	ˈɛ	0.163
ˈɪ	ˈiː	0.142
ˈɪ	ˈʊ̯iː	0.1
ˈɪ	ˈa	0.064
ˈɪ	ˈʉːu̯	0.053
ˈɪ	ˈai̯	0.052
ˈʊ	ˈʊ	0.687
ˈʊ	ˈɔːu̯	0.195
ˈʊ	ˈʏ	0.092
ˈʏ	ˈɪ	0.561
ˈʏ	ˈa	0.169
ˈʏ	ˈʊ	0.101
ˈʏ	ˈɔ	0.044
