Proto-Slavic	Macedonian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ɡ_ŭ	k	1.0
ɡ	ɡ	1.0
ɛ̌	ˈɛ	1.0
ɛ̂ː	ˈɛ	1.0
ɛˀ	ˈɛ	1.0
z	z	1.0
x	-	1.0
v_ŭ	f	1.0
v	v	1.0
ŭ̂_v	v	1.0
ŭ̂	-	1.0
ŭ_#>	#>	1.0
ŭ	-	1.0
ûː	ˈu	1.0
t_i_#>	ɛ_#>	1.0
t	t	1.0
s	s	1.0
p	p	1.0
ôː_l	ɫ_ˈa	1.0
ôː	ˈo	1.0
ô	ˈo	1.0
oˀ	r	1.0
o_#>	o_#>	1.0
o	ˈo	1.0
n	n	1.0
k	k	1.0
ǐ	ˈi	1.0
ĭ̌_r	ˈr̩	1.0
ĭˀ	ˈo	1.0
ĭ	-	1.0
i	ˈi	1.0
ẽ̂ː	ˈɛ	1.0
ê	ˈɛ	1.0
d_ŭ	t	1.0
d_l	ɫ	1.0
d	d	1.0
b_ĭ	p	1.0
ǎ	a	1.0
aˀ	ˈa	1.0
a	a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_ǒ	<#_ˈo	1.0
<#_ô	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ĭ_#>	#>	0.895
m	m	0.867
b	b	0.75
l	ɫ	0.731
ʒ	ʒ	0.714
ǒ	ˈo	0.714
e	ˈɛ	0.643
ɛː	ˈɛ	0.6
ẽ	ɛ	0.6
r	r	0.522
ĭ̂	ˈo	0.5
ĭ̂	-	0.5
ɛː	ɛ	0.4
ẽ	ˈɛ	0.4
e	ɛ	0.357
r	ˈr̩	0.304
ʒ	ʃ	0.286
ǒ	o	0.286
b	p	0.25
l	l	0.192
r	ˈa	0.174
m	u	0.133
ĭ_#>	m_#>	0.105
l	ˈɛ	0.077
