West Frisian	Scots	probability
b	b	0.979
d	d	0.876
d	ð	0.082
f	f	0.909
h	h	1.0
j	-	0.71
j	j	0.199
j	e	0.054
k	k	0.49
k	-	0.265
k	kʰ	0.188
k	ʧ	0.057
l	l	0.733
l	ɫ	0.152
l	f	0.105
m	m	0.95
m	-	0.05
n	n	0.84
n	-	0.09
p	p	0.922
p	pʰ	0.078
r	r	0.968
s	s	0.935
t	t	0.518
t	θ	0.174
t	d	0.163
t	tʰ	0.081
v	w	0.619
v	v	0.151
v	-	0.118
v	ʍ	0.112
z	z	0.451
z	-	0.362
z	r	0.187
ŋ	ŋ	0.734
ŋ	ŋ_ɡ	0.145
ŋ	n	0.079
ɕ	s	1.0
ə	ə	0.601
ə	-	0.368
ɡ	ɡ	1.0
ɣ	ɡ	0.478
ɣ	-	0.434
ɣ	k	0.088
ɪ	-	0.592
ɪ	iː	0.272
ɪ	əi̯	0.136
ʋ	w	0.894
ʋ	ʍ	0.106
ʦ	k	0.344
ʦ	ʧ	0.344
ʦ	θ	0.194
ʦ	tʰ	0.118
ˈa	ˈɑ	0.451
ˈa	ˈe	0.154
ˈa	ˈɑː	0.089
ˈa	ˈɪ	0.087
ˈa	ˈi	0.068
ˈaː	ˈɛ	0.343
ˈaː	ˈe	0.284
ˈaː	ˈɑ	0.194
ˈaː	ˈeː	0.077
ˈaː	ˈei̯	0.059
ˈeː	ˈiː	0.511
ˈeː	ˈɪ	0.489
ˈi	ˈəi̯	0.277
ˈi	ˈiː	0.265
ˈi	ˈɪ	0.238
ˈi	ˈɛ	0.098
ˈi	ˈe	0.07
ˈi	ˈei̯	0.052
ˈiə̯	ˈe	0.537
ˈiə̯	ˈiː	0.212
ˈiə̯	ˈɛ	0.123
ˈiː	ˈəi̯	0.635
ˈiː	ˈiː	0.122
ˈiː	ˈe	0.072
ˈiː	ˈaːɪ̯	0.07
ˈiː	ˈʉ	0.053
ˈoə̯	ˈɔ	0.85
ˈoː	ˈʉ	0.464
ˈoː	ˈø	0.27
ˈoː	ˈʉː	0.266
ˈu	ˈʌ	0.783
ˈu	ˈɔ	0.149
ˈu	ˈʉ	0.068
ˈuə̯	ˈø	0.255
ˈuə̯	ˈɪ_ð	0.198
ˈuə̯	ˈʉ	0.13
ˈuə̯	ˈei̯	0.11
ˈuə̯	ˈəi̯	0.092
ˈuə̯	ˈɪ	0.062
ˈuə̯	ˈe	0.062
ˈuə̯	ˈʌʉ̯	0.061
ˈuː	ˈʉ	0.699
ˈuː	ˈəi̯	0.148
ˈuː	ˈaːɪ̯	0.086
ˈuː	ˈei̯	0.067
ˈy	ˈʌ	1.0
ˈyː	ˈʉ	0.5
ˈyː	ˈʌ	0.5
ˈø	ˈei̯	0.5
ˈø	ˈɪ	0.5
ˈøə̯	ˈiː	1.0
ˈɔ	ˈʌ	0.274
ˈɔ	ˈɔ	0.222
ˈɔ	ˈʉ	0.19
ˈɔ	ˈɪ	0.139
ˈɔ	-	0.108
ˈɔu̯	ˈʌʉ̯	1.0
ˈɔː	ˈɑː	0.777
ˈɔː	ˈei̯	0.223
ˈɛ	ˈɛ	0.612
ˈɛ	-	0.136
ˈɛ	ˈʌ	0.115
ˈɛ	ˈei̯	0.082
ˈɛi̯	ˈe	0.517
ˈɛi̯	ˈɛ	0.14
ˈɛi̯	ˈeː	0.133
ˈɛi̯	ˈəi̯	0.117
ˈɛi̯	ˈɑ	0.092
ˈɛː	ˈɛ_r	0.334
ˈɛː	ˈɪ	0.26
ˈɛː	r_ˈɛ	0.172
ˈɛː	ˈɛ	0.124
ˈɛː	ˈe	0.111
ˈɪ	ˈɪ	0.441
ˈɪ	ˈiː	0.224
ˈɪ	ˈɛ	0.118
ˈɪ	ˈi	0.103
ˈɪə̯	ˈei̯	0.502
ˈɪə̯	ˈeː	0.172
ˈɪə̯	ˈɛ	0.093
ˈɪə̯	ˈe	0.071
ˈɪə̯	ˈi	0.067
ˈɪə̯	ˈɑː	0.063
ˈɵ	ˈɪ	1.0
χ	x	0.74
χ	-	0.156
χ	ɡ	0.087
