West Frisian	Scots	probability
b	b	0.953
b	-	0.05
d	d	0.873
d	ð	0.1
f	f	0.914
f_j	f	0.242
h	h	1.0
j	-	0.707
j	ˈəi̯	0.091
j	j	0.081
j	ˈʉ	0.06
j	e	0.054
j_ˈɔ	ˈɪ	1.0
k	k	0.49
k	kʰ	0.341
k	-	0.152
k_ə	k	1.0
l	l	0.769
l	ɫ	0.105
l	-	0.099
l_j	l	1.0
m	m	1.0
n	n	0.768
n	-	0.13
n	r_n	0.053
p	p	0.871
p	pʰ	0.129
r	r	1.0
s	s	0.987
s_k	ʃ	1.0
t	t	0.606
t	d	0.145
t	θ	0.115
t	tʰ	0.084
v	w	0.471
v	v	0.207
v	-	0.154
v	ʍ	0.154
z	-	0.341
z	z	0.292
z	r	0.128
ŋ	ŋ	0.627
ŋ	ŋ_ɡ	0.218
ŋ	-	0.109
ɕ	s	0.492
ə	-	0.707
ə	ə	0.22
ə	əi̯	0.056
ɡ	ɡ	0.948
ɡ	j	0.052
ɣ	-	0.525
ɣ	ɡ	0.447
ɪ	əi̯	0.594
ɪ	-	0.392
ʋ	w	0.923
ʋ	ʍ	0.075
ʦ	θ	0.333
ʦ	k	0.204
ʦ	tʰ	0.204
ʦ	ʧ	0.077
ʦ_j	θ	0.242
ˈa	ˈɑ	0.277
ˈa	ˈe	0.198
ˈa	ˈɪ	0.198
ˈa	ˈɑː	0.105
ˈa	ˈi	0.06
ˈa	ˈɛ	0.053
ˈa	ə	0.05
ˈaː	ˈe	0.218
ˈaː	ˈei̯	0.185
ˈaː	ˈɑ	0.185
ˈaː	ˈɛ	0.185
ˈaː	ˈɑː	0.107
ˈaː	ˈeː	0.081
ˈeː	ˈiː	0.519
ˈeː	ˈɪ	0.441
ˈi	ˈiː	0.252
ˈi	ˈɪ	0.238
ˈi	ˈəi̯	0.22
ˈi	ˈe	0.145
ˈi	ˈei̯	0.105
ˈiə̯	ˈe	0.3
ˈiə̯	ˈiː	0.27
ˈiə̯	ˈɛ	0.121
ˈiə̯	ˈɑː	0.105
ˈiə̯	j	0.06
ˈiə̯	ˈi	0.06
ˈiə̯	ˈei̯	0.052
ˈiː	ˈəi̯	0.609
ˈiː	ˈaːɪ̯	0.128
ˈiː	ˈe	0.128
ˈiː	ˈø	0.069
ˈiː	ˈiː	0.053
ˈoə̯	ˈɔ	0.493
ˈoə̯	ˈɔ_r	0.171
ˈoə̯	r	0.113
ˈoə̯	ˈe	0.084
ˈoə̯	ˈø	0.082
ˈoː	ˈʉ	0.723
ˈoː	ˈø	0.204
ˈu	ˈɔ	0.317
ˈu	ˈʉ	0.136
ˈu	ˈʌ	0.136
ˈuə̯	ˈø	0.406
ˈuə̯	ˈɪ_ð	0.206
ˈuə̯	ˈe	0.103
ˈuə̯	ˈʌʉ̯	0.082
ˈuə̯	ˈɪ	0.077
ˈuə̯	-	0.061
ˈuə̯	ˈei̯	0.058
ˈuː	ˈʉ	0.68
ˈuː	ˈəi̯	0.185
ˈuː	ˈei̯	0.083
ˈy	ˈʌ	1.0
ˈyː	ˈʉ	0.282
ˈyː	ˈʌ	0.282
ˈø	ˈei̯	0.183
ˈø	ˈɪ	0.183
ˈøə̯	ˈiː	0.492
ˈɔ	ˈɔ	0.431
ˈɔ	ˈʌ	0.124
ˈɔ	ˈʉ	0.109
ˈɔ	ˈɪ	0.093
ˈɔ	ˈʌʉ̯	0.076
ˈɔ	-	0.07
ˈɔ	ˈa	0.057
ˈɔu̯	ˈʌʉ̯	1.0
ˈɔː	ˈɑː	0.851
ˈɔː	ˈei̯	0.123
ˈɛ	ˈɛ	0.4
ˈɛ	ˈei̯	0.126
ˈɛ	ˈɑ	0.126
ˈɛ	j	0.096
ˈɛ	ˈɪ	0.091
ˈɛ	ˈʌ	0.068
ˈɛ	-	0.066
ˈɛ_j	ˈiː	1.0
ˈɛi̯	ˈe	0.436
ˈɛi̯	ˈɑ	0.171
ˈɛi̯	ˈəi̯	0.171
ˈɛi̯	ˈeː	0.111
ˈɛi̯	ˈɛ	0.075
ˈɛː	ˈɛ_r	0.339
ˈɛː	r_ˈɛ	0.194
ˈɛː	ˈe	0.194
ˈɛː	ˈɪ	0.194
ˈɛː	ˈɛ	0.058
ˈɪ	ˈɪ	0.572
ˈɪ	ˈɛ	0.109
ˈɪ	ˈi	0.093
ˈɪ	ˈiː	0.061
ˈɪ	ˈeː	0.053
ˈɪ	ˈɑ	0.053
ˈɪə̯	ˈei̯	0.474
ˈɪə̯	ˈiː	0.201
ˈɪə̯	ˈe	0.114
ˈɪə̯	ˈɛ	0.11
ˈɪə̯	ˈi	0.073
ˈɵ	ˈɪ	0.492
χ	x	0.596
χ	-	0.349
χ	ç	0.051
