West Frisian	Scots	probability
b	b	0.953
b	-	0.05
d	d	0.873
d	ð	0.1
d	θ	0.039
f	f	0.914
f	v	0.048
f	ʍ	0.043
f_j	f	0.242
h	h	1.0
j	-	0.691
j	ˈəi̯	0.096
j	j	0.084
j	ˈʉ	0.062
j	e	0.056
j_ˈɔ	ˈɪ	1.0
j_ˈɛ	ˈɪ	0.492
k	k	0.49
k	kʰ	0.341
k	-	0.152
k_ə	k	1.0
l	l	0.756
l	ɫ	0.108
l	-	0.108
l	θ	0.031
l_j	l	1.0
m	m	1.0
n	n	0.768
n	-	0.13
n	r_n	0.053
n	θ	0.036
p	p	0.871
p	pʰ	0.129
r	r	1.0
s	s	0.987
s	z	0.03
s_k	ʃ	1.0
t	t	0.606
t	d	0.145
t	θ	0.115
t	tʰ	0.084
t	l_d	0.035
v	w	0.471
v	v	0.207
v	-	0.154
v	ʍ	0.154
z	-	0.341
z	z	0.292
z	r	0.128
ŋ	ŋ	0.627
ŋ	ŋ_ɡ	0.218
ŋ	-	0.109
ŋ	n	0.048
ɕ	s	0.492
ə	-	0.736
ə	ə	0.229
ə_χ	əi̯	1.0
ɡ	ɡ	0.948
ɡ	j	0.052
ɣ	-	0.525
ɣ	ɡ	0.447
ɪ	əi̯	0.594
ɪ	-	0.392
ʋ	w	0.923
ʋ	ʍ	0.075
ʦ	θ	0.333
ʦ	k	0.204
ʦ	tʰ	0.204
ʦ	ʧ	0.077
ʦ_j	θ	0.242
ˈa	ˈɑ	0.272
ˈa	ˈe	0.194
ˈa	ˈɪ	0.194
ˈa	ˈɑː	0.133
ˈa	ˈi	0.06
ˈaː	ˈe	0.218
ˈaː	ˈei̯	0.185
ˈaː	ˈɑ	0.185
ˈaː	ˈɛ	0.185
ˈaː	ˈɑː	0.107
ˈeː	ˈiː	0.519
ˈeː	ˈɪ	0.441
ˈi	ˈiː	0.252
ˈi	ˈɪ	0.238
ˈi	ˈəi̯	0.22
ˈi	ˈe	0.145
ˈi	ˈei̯	0.105
ˈiə̯	ˈe	0.3
ˈiə̯	ˈiː	0.27
ˈiə̯	ˈɛ	0.121
ˈiə̯	ˈɑː	0.105
ˈiə̯	j	0.06
ˈiː	ˈəi̯	0.609
ˈiː	ˈaːɪ̯	0.128
ˈiː	ˈe	0.128
ˈiː	ˈø	0.069
ˈiː	ˈiː	0.053
ˈoə̯	ˈɔ	0.493
ˈoə̯	ˈɔ_r	0.171
ˈoə̯	r	0.113
ˈoə̯	ˈe	0.084
ˈoə̯	ˈø	0.082
ˈoː	ˈʉ	0.723
ˈoː	ˈø	0.204
ˈu	ˈɔ	0.317
ˈu	ˈʉ	0.136
ˈu	ˈʌ	0.136
ˈuə̯	ˈø	0.406
ˈuə̯	ˈɪ_ð	0.206
ˈuə̯	ˈe	0.103
ˈuə̯	ˈʌʉ̯	0.082
ˈuə̯	ˈɪ	0.077
ˈuː	ˈʉ	0.68
ˈuː	ˈəi̯	0.185
ˈuː	ˈei̯	0.083
ˈuː	ˈaːɪ̯	0.047
ˈy	ˈʌ	1.0
ˈyː	ˈʉ	0.282
ˈyː	ˈʌ	0.282
ˈø	ˈei̯	0.183
ˈø	ˈɪ	0.183
ˈøə̯	ˈiː	0.492
ˈɔ	ˈɔ	0.393
ˈɔ	ˈɪ	0.176
ˈɔ	ˈʌ	0.113
ˈɔ	ˈʉ	0.102
ˈɔ	ˈʌʉ̯	0.071
ˈɔu̯	ˈʌʉ̯	1.0
ˈɔː	ˈɑː	0.851
ˈɔː	ˈei̯	0.123
ˈɛ	ˈɛ	0.444
ˈɛ	ˈei̯	0.14
ˈɛ	ˈɑ	0.14
ˈɛ	j	0.104
ˈɛ	ˈʌ	0.071
ˈɛ_j	ˈiː	1.0
ˈɛi̯	ˈe	0.436
ˈɛi̯	ˈɑ	0.171
ˈɛi̯	ˈəi̯	0.171
ˈɛi̯	ˈeː	0.111
ˈɛi̯	ˈɛ	0.075
ˈɛː	ˈɛ_r	0.339
ˈɛː	r_ˈɛ	0.194
ˈɛː	ˈe	0.194
ˈɛː	ˈɪ	0.194
ˈɛː	ˈɛ	0.058
ˈɪ	ˈɪ	0.572
ˈɪ	ˈɛ	0.109
ˈɪ	ˈi	0.093
ˈɪ	ˈiː	0.061
ˈɪ	ˈeː	0.053
ˈɪə̯	ˈei̯	0.474
ˈɪə̯	ˈiː	0.201
ˈɪə̯	ˈe	0.114
ˈɪə̯	ˈɛ	0.11
ˈɪə̯	ˈi	0.073
ˈɵ	ˈɪ	0.492
χ	x	0.689
χ	-	0.249
χ	ç	0.056
