Hessian	East Low German	probability
ˈɛː	ˈɛ	1.0
ˈɔ	ˈuː	1.0
ˈɑː_#>	ˈoː_æ_#>	1.0
ˈɑ	ˈa	1.0
ˈuː	ˈaʊ̯	1.0
ˈoi̯	ˈyː	1.0
ˈeː	ˈeː	1.0
ˈe	ˈɛ	1.0
ˈãː	ˈae̯_n	1.0
ˈau̯	ˈuː	1.0
ˈai̯_#>	ˈae̯_#>	1.0
ʒ̥_ə	ŋ	1.0
ʒ̥	ʃ	1.0
ʃ_t	ç	1.0
ʃ_d̥	ʃ_t	1.0
ʀ	r	1.0
ɡ̊_ə	k_n	1.0
ə_#>	#>	1.0
ə	n	1.0
ŋ	ŋ	1.0
æ̆	æ	1.0
v̥	p	1.0
n_ə	n	1.0
n	n	1.0
m_ə	m	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	s	1.0
j_ə	ŋ	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f_#>	p_#>	1.0
f	f	1.0
v	v	0.917
ɐ	æ	0.875
p	b	0.8
#>	n_#>	0.8
ˈa	ˈa	0.75
ˈi	ˈɪ	0.677
d̥	d	0.674
ˈu	ˈʊ	0.667
ɡ̊	ɡ	0.667
b̥	b	0.667
ˈɑː	ˈɒː	0.636
ˈiː	ˈae̯	0.636
ˈai̯	ˈiː	0.625
ˈaː	ˈaʊ̯	0.6
ɣ̥	ɡ	0.6
v_ə	m	0.6
ʃ	ʃ	0.593
ʦ	tʰ	0.583
ˈɛ	ˈɛ	0.571
x	x	0.556
ˈæ	ˈiː	0.5
ˈæ	ˈaː	0.5
ˈoː	ˈɒː	0.5
ˈoː	ˈaʊ̯	0.5
ˈo	ˈʊ	0.5
ˈo	ˈɔ	0.5
x	k	0.444
t	t	0.444
t	d	0.444
ˈɛ	ˈɛː	0.429
ʦ	t	0.417
s	z	0.415
ˈaː	ˈae̯	0.4
ɣ̥	x	0.4
v_ə	b_m	0.4
ˈai̯	ˈɪ	0.375
ˈɑː	ˈaː	0.364
ɡ̊	j	0.333
k	ɡ	0.333
b̥	f	0.333
ʃ	ç	0.296
s	t	0.293
s	s	0.293
ˈa	ˈɒː	0.25
k	ç	0.222
k	kʰ	0.222
k	k	0.222
p	p	0.2
#>	k_#>	0.2
d̥	t	0.196
ˈi	ˈʏ	0.194
ˈiː	ˈɔʏ̯	0.182
ˈiː	ˈiː	0.182
ˈu	ˈɔ	0.167
ˈu	ˈaʊ̯	0.167
d̥	ɾ	0.13
ɐ	-	0.125
ʃ	k	0.111
t	-	0.111
v	w	0.083
ˈi	ˈɛ	0.065
ˈi	ˈœː	0.065
