Bavarian	Bavarian	probability
β	b̥	1.0
ˈou̯	ˈoː	1.0
ˈo_ɐ	ˈoː_r	1.0
ˈiː	-	1.0
ˈeɐ̯	-	1.0
ˈau̯	ˈuː	1.0
ˈai̯_a	ˈyː_r	1.0
ʦ	ʦ	1.0
ʋ	ʋ	1.0
ɡ̊_s	χː_sː	1.0
ɡ̊_#>	#>	1.0
ə	-	1.0
ɑ	-	1.0
ɐ	r	1.0
ŋ_#>	#>	1.0
ç	χː	1.0
r	r	1.0
n_d̥	ŋ	1.0
n_a	n_ə	1.0
n_#>	#>	1.0
l	l	1.0
kʰ	ɣ̊	1.0
i	i	1.0
h	h	1.0
eɐ̯	æ	1.0
d̥_r	tː_r	1.0
d̥_n	tː_ə	1.0
b̥͡v̥	p͡f	1.0
<#_r	<#_r	1.0
<#	<#_ɡ̊	1.0
#>	ɡ̊_#>	1.0
b̥	b̥	0.923
x	χː	0.867
j	l	0.864
m	m	0.833
ˈuɐ̯	ˈuə̯	0.818
ˈɑ	ˈɒ	0.8
ˈoɐ̯	ˈæi̯	0.769
ɡ̊	ɡ̊	0.727
ˈe	ˈæ	0.7
n	n	0.694
ˈu	ˈu	0.682
ˈoː	ˈoː	0.667
ʃ	ʒ̊	0.667
ˈi	ˈi	0.643
f	v̥	0.639
d̥	tː	0.61
ŋ	ŋ	0.6
s	z̥	0.578
ˈa	ˈɒ	0.571
ˈai̯	ˈiː	0.55
ˈo	ˈo	0.545
ˈɒː	ˈɒː	0.538
ˈɑː	ˈɒ	0.5
ˈɑː	-	0.5
ˈaː	ˈau̯	0.5
ˈaː	-	0.5
a	ə_r	0.5
ˈa	-	0.429
s	sː	0.422
ŋ	ɡ̊_ə	0.4
d̥	d̥	0.39
ˈo	ˈɒ	0.364
f	fː	0.361
a	ə	0.35
ˈoː	-	0.333
ˈiɐ̯	ˈyː	0.333
ˈiɐ̯	ˈiə̯	0.333
ˈeː	ˈeː	0.333
ʃ	ʃː	0.333
ˈɒː	ˈɒ	0.308
ɡ̊	kː	0.273
ˈeː	ˈæ	0.267
n	ə	0.265
ˈoɐ̯	-	0.231
ˈu	-	0.227
ˈi	ˈy	0.214
ˈɑ	-	0.2
ˈeː	ˈøː	0.2
ˈeː	ˈæː	0.2
ˈai̯	ˈyː	0.2
ˈuɐ̯	ˈyə̯	0.182
ˈiɐ̯	ˈyə̯	0.167
ˈiɐ̯	-	0.167
ˈɒː	-	0.154
ˈe	ˈø	0.15
ˈe	ˈe	0.15
ˈai̯	-	0.15
ˈi	-	0.143
x	χː_ə	0.133
ˈai̯	ˈæi̯	0.1
m	-	0.1
ˈu	ˈy	0.091
ˈo	ˈu	0.091
j	j	0.091
b̥	-	0.077
a	r	0.075
a	-	0.075
m	b̥_ə	0.067
